1007299507-f075 | http://is2.auto.ru/all/images/a8/cc/60x45/a8cc491d.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 65 000 |  2000  |  152 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006811765-78a1 | http://is10.auto.ru/all/images/e3/e5/60x45/e3e5b3db.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 50 000 |  1989  |  270 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Орел | 15.01.15
1006811695-10e0 | http://is12.auto.ru/all/images/b1/a7/60x45/b1a7287c.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0088ff | 35 000 |  1989  |  150 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Дмитров | 15.01.15
1006810887-ef43 | http://is2.auto.ru/all/images/f0/6c/60x45/f06c07b0.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 40 000 |  2001  |  143 700 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 15.01.15
1006810381-e6b397 | http://is9.auto.ru/all/images/b3/05/60x45/b305afa5.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 40 000 |  2001  |  183 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Наро-Фоминск | 15.01.15
1006809449-c396 | http://is10.auto.ru/all/images/23/cf/60x45/23cf0607.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #0000FF | 29 172 |  1988  |  150 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Старый Оскол | 15.01.15
1006809723-6f340 | http://is7.auto.ru/all/images/a4/cc/60x45/a4cc2ecc.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 40 000 |  1991  |  170 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Иваново | 15.01.15
1006808091-152f | http://is16.auto.ru/all/images/da/08/60x45/da08714b.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FFFFFF | 105 000 |  2004  |  87 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Курск | 15.01.15
1006462967-9313f | http://is12.auto.ru/all/images/13/e4/60x45/13e4e536.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 110 000 |  2005  |  130 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Уфа | 15.01.15
1006805415-9582b | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0088ff | 35 000 |  1989  |  156 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1006806419-f76875 | http://is7.auto.ru/all/images/ff/df/60x45/ffdffad0.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 80 000 |  2003  |  178 600 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Брянск | 15.01.15
1006804537-9f048 | http://is17.auto.ru/all/images/27/c4/60x45/27c4de2d.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #000000 | 75 000 |  1990  |  10 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Омск | 15.01.15
1006804517-9165 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 55 000 |  2002  |  132 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Кострома | 15.01.15
1004023554-a75208 | http://is17.auto.ru/all/images/e6/bf/60x45/e6bf99aa.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 65 000 |  1994  |  25 306 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Воронеж | 15.01.15
1006800821-0e7711 | http://is6.auto.ru/all/images/af/03/60x45/af03df19.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 60 000 |  2004  |  147 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Владимир | 15.01.15
1006800947-980a60 | http://is7.auto.ru/all/images/b2/45/60x45/b245c2f2.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 60 000 |  1998  |  47 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Ярославль | 15.01.15
43589408-97e86 | http://is3.auto.ru/all/images/d4/ce/60x45/d4ce9798.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 35 000 |  1998  |  57 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Воронеж | 15.01.15
1006799153-c7a5 | http://is9.auto.ru/all/images/76/4b/60x45/764b2bdd.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 85 000 |  2005  |  160 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Ижевск | 15.01.15
1002667887-47f2c | http://is5.auto.ru/all/images/49/d3/60x45/49d345b6.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 75 000 |  2003  |  70 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1006798045-6bee0 | http://is5.auto.ru/all/images/6b/d1/60x45/6bd18864.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 59 990 |  2004  |  118 500 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 15.01.15
1006752937-f3649b | http://is14.auto.ru/all/images/35/f2/60x45/35f2e4dc.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 100 000 |  2003  |  126 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Сараи | 15.01.15
1005388215-cccd | http://is8.auto.ru/all/images/50/74/60x45/507484dc.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 75 000 |  2001  |  212 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Рязань | 15.01.15
12534886-f42a4 | http://is5.auto.ru/all/images/7a/72/60x45/7a72d82a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 88 000 |  2000  |  58 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Валуйки | 15.01.15
1006363197-39fb | http://is2.auto.ru/all/images/54/1f/60x45/541fc45d.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 70 000 |  2000  |  230 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Иваново | 15.01.15
1006753173-3c009 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 85 000 |  2003  |  57 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Подольск | 14.01.15
1006752357-28b9 | http://is9.auto.ru/all/images/bd/9a/60x45/bd9ada69.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 30 000 |  1999  |  189 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Лобня | 14.01.15
1005980121-311b5d | http://is17.auto.ru/all/images/af/66/60x45/af66f705.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #ffefd5 | 75 000 |  2001  |  134 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 14.01.15
1006751337-f7b0cc | http://is10.auto.ru/all/images/6c/01/60x45/6c014110.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 80 000 |  2000  |  157 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 14.01.15
1006751283-feaeb | http://is3.auto.ru/all/images/cd/c0/60x45/cdc03b89.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FFCC00 | 57 000 |  2001  |  100 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Пушкино | 14.01.15
1006750851-3ace4 | http://is14.auto.ru/all/images/ea/5c/60x45/ea5cccc2.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 40 000 |  2002  |  100 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Ярославль | 14.01.15
1005858759-c8d3 | http://is16.auto.ru/all/images/71/0b/60x45/710b168f.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 70 000 |  2002  |  154 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Киров | 14.01.15
1006749899-fac370 | http://is9.auto.ru/all/images/2e/4f/60x45/2e4ff352.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 100 000 |  2003  |  140 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 14.01.15
1006417463-ba3f9 | http://is3.auto.ru/all/images/17/69/60x45/176978a7.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 25 000 |  1990  |  200 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Серпухов | 14.01.15
1006747073-bf69f | http://is5.auto.ru/all/images/11/00/60x45/1100ec63.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FFCC00 | 45 000 Правый руль |  1997  |  100 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Махачкала | 14.01.15
1006747071-63f6 | http://is17.auto.ru/all/images/af/11/60x45/af1144af.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 50 000 |  1995  |  80 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Саранск | 14.01.15
1006746757-d5a6f8 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 30 000 |  1991  |  80 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Куровское | 14.01.15
1006745479-aa9b | http://is18.auto.ru/all/images/8b/5e/60x45/8b5e2e0e.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 65 000 |  2000  |  185 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 14.01.15
1006684027-5deb11 | http://is8.auto.ru/all/images/14/14/60x45/1414bf12.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 85 000 |  1998  |  101 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Луховицы | 14.01.15
1002940070-1fadeb | http://is5.auto.ru/all/images/c6/82/60x45/c68270d7.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #fde910 | 40 000 |  1988  |  300 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 14.01.15
1005979469-858f | http://is2.auto.ru/all/images/dc/d5/60x45/dcd5f1f3.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 78 000 |  2003  |  160 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Воскресенск | 14.01.15
1006740903-ea3432 | http://is9.auto.ru/all/images/ea/09/60x45/ea099e65.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 100 000 |  2004  |  140 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 14.01.15
1006740847-8c99cc | http://is10.auto.ru/all/images/4a/4a/60x45/4a4ade6a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 45 000 |  1992  |  130 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Петрозаводск | 14.01.15
1006681219-7921 | http://is12.auto.ru/all/images/ab/02/60x45/ab02bd83.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 72 000 |  1999  |  60 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 14.01.15
1005976383-52ef | http://is12.auto.ru/all/images/75/ef/60x45/75ef34ad.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 60 000 |  1999  |  100 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 14.01.15
1006739613-312f | http://is15.auto.ru/all/images/61/3a/60x45/613ab861.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #926547 | 80 000 |  1999  |  170 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Тамбов | 14.01.15
1006739873-fa6059 | http://is2.auto.ru/all/images/d8/78/60x45/d878b931.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 40 000 |  1999  |  155 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Сургут | 14.01.15
1006409079-c128 | http://is2.auto.ru/all/images/dc/fa/60x45/dcfa4120.jpg |  ВАЗ 2109 210911.1 MT (54 л.с.)  | #FF0000 | 50 000 |  1994  |  80 000 км  |  1.1 MT (54 л.с.)хэтчбек, бензин, передний  | Тверь | 14.01.15
1006308217-52031 | http://is14.auto.ru/all/images/bb/2c/60x45/bb2c33e5.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 33 000 |  1998  |  152 950 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 14.01.15
1006734673-8eb0 | http://is17.auto.ru/all/images/a6/1a/60x45/a61aad59.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 55 000 |  1999  |  100 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Волгоград | 14.01.15
1006735727-62715 | http://is2.auto.ru/all/images/21/ea/60x45/21ea09ed.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CC0033 | 26 000 |  1997  |  110 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 14.01.15
1005588943-2d75f | http://is3.auto.ru/all/images/fa/fc/60x45/fafc7ead.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0088ff | 40 000 |  2002  |  150 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 14.01.15
1006686095-eb8b | http://is17.auto.ru/all/images/7d/55/60x45/7d55720b.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 55 000 |  2003  |  120 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Киров | 14.01.15
1005171643-95e2 | http://is2.auto.ru/all/images/4b/c7/60x45/4bc798ea.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 30 000 |  2000  |  180 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Муром | 14.01.15
45197714-ab03 | http://is17.auto.ru/all/images/2c/76/60x45/2c76466a.jpg |  ВАЗ 2109 210961.3 MT (64 л.с.)  | #FF0000 | 100 000 |  1992  |  10 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Москва | 14.01.15
1006507989-40abc | http://is7.auto.ru/all/images/6f/94/60x45/6f94410b.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 35 000 |  2001  |  178 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Балашиха | 14.01.15
1005914319-f1c94 | http://is15.auto.ru/all/images/15/67/60x45/1567b554.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 45 000 |  1996  |  60 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Волоколамск | 14.01.15
1006732685-4039cd | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 120 000 |  2003  |  103 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 14.01.15
1006732659-927f4 | http://is8.auto.ru/all/images/17/9d/60x45/179d1fea.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0088ff | 45 000 |  1990  |  180 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 14.01.15
1006732573-e85d | http://is5.auto.ru/all/images/0f/a5/60x45/0fa563d3.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 80 000 |  2000  |  30 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Сочи | 14.01.15
1004973127-8999 | http://is13.auto.ru/all/images/92/69/60x45/9269dc01.jpg |  ВАЗ 21091.5 MT  | #9966CC | 110 000 |  2001  |  84 000 км  |  1.5 MTхэтчбек, бензин, передний  | Углич | 14.01.15
1006731137-2b78 | http://is18.auto.ru/all/images/b1/a2/60x45/b1a2b72d.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 50 000 |  1997  |  150 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Тула | 14.01.15
1006725281-a5b269 | http://is17.auto.ru/all/images/1b/d1/60x45/1bd192aa.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 99 000 |  1997  |  200 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Омск | 14.01.15
1006680089-f76a50 | http://is9.auto.ru/all/images/50/c9/60x45/50c990e0.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 99 876 |  2004  |  140 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Курск | 14.01.15
1006691675-2e6b4 | http://is16.auto.ru/all/images/c3/e0/60x45/c3e0677b.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FF0000 | 40 000 |  1998  |  40 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Клин | 14.01.15
1002036707-41c0 | http://is13.auto.ru/all/images/af/47/60x45/af474d88.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #000000 | 40 000 |  1992  |  200 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Таруса | 14.01.15
1006469647-d91be | http://is9.auto.ru/all/images/36/2b/60x45/362b381a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #926547 | 60 000 |  1999  |  139 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Узловая | 14.01.15
1006691215-ecf586 | http://is2.auto.ru/all/images/29/4e/60x45/294efc22.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #ffefd5 | 69 900 |  1997  |  10 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Жуков | 14.01.15
1006690625-4128 | http://is5.auto.ru/all/images/18/73/60x45/18734d3a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #000000 | 39 000 |  2000  |  120 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Великий Новгород | 13.01.15
1006689721-c0b3 | http://is18.auto.ru/all/images/21/fd/60x45/21fd9219.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FFFFFF | 65 000 |  1999  |  100 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Воронеж | 13.01.15
1005865135-d08d | http://is7.auto.ru/all/images/47/b2/60x45/47b234b1.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 145 000 |  2003  |  78 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Орел | 13.01.15
1006688221-caa8 | http://is15.auto.ru/all/images/f6/fd/60x45/f6fda24f.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 85 000 |  2003  |  78 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Владимир | 13.01.15
1006688027-d3f487 | http://is5.auto.ru/all/images/ec/1a/60x45/ec1a86b6.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 85 000 |  2002  |  309 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Старый Оскол | 13.01.15
1006686905-ceb2 | http://is15.auto.ru/all/images/f8/a4/60x45/f8a485bc.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 65 000 |  2000  |  250 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Петровское | 13.01.15
1006622949-994d45 | http://is14.auto.ru/all/images/c1/fd/60x45/c1fdcaac.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 65 000 |  2000  |  250 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Грязи | 13.01.15
1006461333-ae854 | http://is15.auto.ru/all/images/3a/49/60x45/3a49ff0b.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 55 000 |  2001  |  75 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 13.01.15
1006633047-ec1d | http://is15.auto.ru/all/images/53/90/60x45/5390f113.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 90 000 |  2003  |  85 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 13.01.15
1006570841-a84d6 | http://is6.auto.ru/all/images/ce/db/60x45/cedb2afa.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #000000 | 80 000 |  1996  |  130 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Вешенская | 13.01.15
1006683367-455e11 | http://is2.auto.ru/all/images/32/39/60x45/3239ab29.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 65 000 |  2004  |  55 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 13.01.15
1002885515-fdb5 | http://is7.auto.ru/all/images/f2/5f/60x45/f25fb0ec.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 70 000 |  2004  |  60 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Киров | 13.01.15
1006682715-a1e68c | http://is15.auto.ru/all/images/d4/dc/60x45/d4dc3116.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 60 000 |  2003  |  150 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 13.01.15
1005185023-b3119 | http://is9.auto.ru/all/images/21/d6/60x45/21d6d48f.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #ffefd5 | 55 000 |  1989  |  150 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Минводы | 13.01.15
1006681255-fd56 | http://is12.auto.ru/all/images/82/6c/60x45/826cceff.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 75 000 |  2003  |  150 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Орел | 13.01.15
1006681221-2da6c | http://is14.auto.ru/all/images/07/33/60x45/0733896a.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0088ff | 88 000 |  2003  |  130 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Россошь | 13.01.15
1006680385-f15f30 | http://is8.auto.ru/all/images/5e/48/60x45/5e483196.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 75 000 |  2003  |  160 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Ногинск | 13.01.15
1006471937-4655dc | http://is9.auto.ru/all/images/96/39/60x45/9639a973.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 65 000 |  2000  |  92 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 13.01.15
1006678985-3a894 | http://is3.auto.ru/all/images/27/11/60x45/2711b747.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 55 000 |  2001  |  97 070 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 13.01.15
1004696651-e382 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #ffefd5 | 65 000 |  1996  |  130 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Воронеж | 13.01.15
1004019498-8c12 | http://is6.auto.ru/all/images/a4/31/60x45/a431f5cb.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 65 000 |  2000  |  200 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Новомосковск | 13.01.15
1006676729-b13b | http://is4.auto.ru/all/images/01/a9/60x45/01a961c8.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #FF0000 | 65 000 |  1991  |  150 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Тула | 13.01.15
1006675733-7d591 | http://is14.auto.ru/all/images/5e/22/60x45/5e223491.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 95 000 |  2003  |  130 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 13.01.15
1005761839-39315c | http://is14.auto.ru/all/images/96/94/60x45/9694b1a0.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #000000 | 25 000 |  1995  |  200 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Новочебоксарск | 13.01.15
1006673839-5e5bf0 | http://is5.auto.ru/all/images/93/86/60x45/9386d9ad.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 115 000 |  2003  |  100 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 13.01.15
1006674327-d2978 | http://is6.auto.ru/all/images/bb/89/60x45/bb89f57c.jpg |  ВАЗ 2109 210911.1 MT (54 л.с.)  | #FFFFFF | 69 000 |  1992  |  38 000 км  |  1.1 MT (54 л.с.)хэтчбек, бензин, передний  | Омск | 13.01.15
19239864-d884 | http://is11.auto.ru/all/images/15/95/60x45/1595a821.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 80 000 |  2002  |  85 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Задонск | 13.01.15
1006468265-f1d3 | http://is11.auto.ru/all/images/c3/af/60x45/c3afe6ac.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 40 000 |  2000  |  50 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 13.01.15
1006671949-0dfae8 | http://is12.auto.ru/all/images/a8/41/60x45/a841fed3.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #ffefd5 | 63 000 |  1989  |  157 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Курганинск | 13.01.15
1004340277-ae4e89 | http://is3.auto.ru/all/images/a2/99/60x45/a2990e75.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 50 000 |  2000  |  300 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Дедовск | 13.01.15
48935744-c5284 | http://is5.auto.ru/all/images/1f/83/60x45/1f83d7b5.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9966CC | 55 000 |  1998  |  37 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Ярославль | 13.01.15
1006633747-d09f | http://is16.auto.ru/all/images/ad/b7/60x45/adb7fdb4.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 65 000 |  2002  |  129 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Иваново | 13.01.15
