1007247951-d1d745 | http://is13.auto.ru/all/images/20/9f/60x45/209f7e7b.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 235 000 |  2011  |  53 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Хлевное | 22.01.15
1006936841-e9bf | http://is9.auto.ru/all/images/2c/a5/60x45/2ca586cc.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 175 000 |  2011  |  63 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Иваново | 17.01.15
1006936645-d1ff9a | http://is4.auto.ru/all/images/5b/c2/60x45/5bc2a210.jpg |  ВАЗ 21141.6 MT (98 л.с.) 211440-26  | #FFFFFF | 135 000 |  2012  |  40 000 км  |  1.6 MT (98 л.с.) 211440-26хэтчбек, бензин, передний  | Москва | 17.01.15
1002029109-8874 | http://is17.auto.ru/all/images/4a/76/60x45/4a76c316.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #000000 | 251 000 |  2012  |  68 800 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Ростов-на-Дону | 17.01.15
1006751823-b72c40 | http://is18.auto.ru/all/images/3d/6e/60x45/3d6e99cf.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 160 000 |  2005  |  7 815 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 17.01.15
1003067416-a7935 | http://is9.auto.ru/all/images/64/a1/60x45/64a14c25.jpg |  ВАЗ 21141.6 MT (98 л.с.) 211440-26  | #CACECB | 200 000 |  2010  |  107 500 км  |  1.6 MT (98 л.с.) 211440-26хэтчбек, бензин, передний  | Бронницы | 17.01.15
1006936299-dde64 | http://is2.auto.ru/all/images/b3/82/60x45/b382873d.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 180 000 |  2008  |  79 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Стерлибашево | 17.01.15
1006934649-47085 | http://is14.auto.ru/all/images/7e/7a/60x45/7e7a7bc8.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #34ba2b | 225 000 |  2011  |  60 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Нальчик | 17.01.15
1006934649-47085 | http://is14.auto.ru/all/images/7e/7a/60x45/7e7a7bc8.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #34ba2b | 225 000 |  2011  |  60 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Нальчик | 17.01.15
1006936067-1afaaa | http://is18.auto.ru/all/images/0f/e6/60x45/0fe6ae65.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 130 000 |  2006  |  139 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Смоленск | 17.01.15
1006935829-e50d | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #FFCC00 | 6 500 000 Правый руль |  2002  |  148 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Мытищи | 17.01.15
1006902323-4cc6 | http://is2.auto.ru/all/images/22/05/60x45/22050c12.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 235 000 |  2011  |  60 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 17.01.15
1006935649-165502 | http://is4.auto.ru/all/images/b3/48/60x45/b348c91d.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 110 000 |  2004  |  200 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Коломна | 17.01.15
1006262395-f48c0 | http://is8.auto.ru/all/images/82/f7/60x45/82f7ad02.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 135 000 |  2007  |  153 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Орел | 17.01.15
1006935465-e0632 | http://is7.auto.ru/all/images/15/30/60x45/1530cb41.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 100 000 |  2002  |  80 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Орел | 17.01.15
1005797709-5e26db | http://is16.auto.ru/all/images/bd/45/60x45/bd45a77e.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 85 000 |  2005  |  140 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 17.01.15
1006934663-c0f69 | http://is18.auto.ru/all/images/c2/da/60x45/c2dae62d.jpg |  ВАЗ 21141.6 MT (98 л.с.) 211440-26  | #FFFFFF | 205 000 |  2010  |  80 000 км  |  1.6 MT (98 л.с.) 211440-26хэтчбек, бензин, передний  | Лиски | 17.01.15
1006934383-89eb5 | http://is2.auto.ru/all/images/50/df/60x45/50df142a.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #FFFFFF | 175 000 |  2013  |  60 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Краснодар | 17.01.15
1006934199-b8e92 | http://is7.auto.ru/all/images/ab/f5/60x45/abf5fbb8.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #926547 | 145 000 |  2008  |  130 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Тихорецк | 17.01.15
1006933509-65bf3 | http://is8.auto.ru/all/images/a1/43/60x45/a143945a.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 180 000 |  2011  |  30 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Зеленоград | 17.01.15
1005695567-902d | http://is3.auto.ru/all/images/54/3d/60x45/543df693.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 110 000 |  2008  |  112 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Александров | 17.01.15
1005179279-72abd3 | http://is17.auto.ru/all/images/f3/37/60x45/f337311d.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #000000 | 265 000 |  2012  |  87 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Москва | 17.01.15
1006749583-ef28a7 | http://is9.auto.ru/all/images/de/1a/60x45/de1a61eb.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 78 000 |  2003  |  110 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Пушкино | 17.01.15
1006932645-0b10 | http://is6.auto.ru/all/images/ab/38/60x45/ab38213a.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 160 000 |  2005  |  80 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Челябинск | 17.01.15
1004086222-a23fc | http://is10.auto.ru/all/images/d8/dd/60x45/d8dd2f49.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 135 000 |  2006  |  92 200 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Рославль | 17.01.15
1006931557-4ac730 | http://is9.auto.ru/all/images/7e/03/60x45/7e0372f9.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 100 000 |  2004  |  140 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Владимир | 17.01.15
1006930605-e00a | http://is6.auto.ru/all/images/ac/5a/60x45/ac5ad138.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 160 000 |  2008  |  70 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Клин | 17.01.15
1006930623-118d | http://is18.auto.ru/all/images/d9/e8/60x45/d9e8323a.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 125 000 |  2006  |  96 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Ливны | 17.01.15
1006930441-fa965a | http://is2.auto.ru/all/images/85/74/60x45/85742423.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 130 000 |  2008  |  140 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 17.01.15
1006930079-97cfd1 | http://is5.auto.ru/all/images/22/3e/60x45/223e2341.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 130 000 |  2005  |  120 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Нововоронеж | 17.01.15
1006928819-a299b | http://is12.auto.ru/all/images/6a/09/60x45/6a09f18c.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 114 000 |  2005  |  172 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Брянск | 17.01.15
1003144058-a575f3 | http://is10.auto.ru/all/images/31/61/60x45/3161223d.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 80 000 |  2004  |  90 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Киров | 17.01.15
1002675571-08230c | http://is17.auto.ru/all/images/3e/b9/60x45/3eb9d367.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 230 000 |  2012  |  58 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Старый Оскол | 17.01.15
1006928291-7ad1 | http://is6.auto.ru/all/images/a8/2d/60x45/a82da840.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 140 000 |  2005  |  135 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Дмитров | 17.01.15
1005455405-5736 | http://is17.auto.ru/all/images/08/33/60x45/083380d3.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #FFFFFF | 250 000 |  2012  |  47 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Москва | 17.01.15
1006928025-ffe23 | http://is1.auto.ru/all/images/4a/5c/60x45/4a5ca563.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 265 000 |  2013  |  40 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Нижний Новгород | 17.01.15
1006927753-481d2f | http://is2.auto.ru/all/images/05/8f/60x45/058fca7b.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 150 000 |  2007  |  80 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Энгельс | 17.01.15
1006927463-5e688 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FF0000 | 165 000 |  2009  |  100 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Железногорск | 17.01.15
1006926871-70b8d | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 200 000 |  2011  |  43 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Орел | 17.01.15
1006816831-3dfb64 | http://is15.auto.ru/all/images/b2/35/60x45/b235d3d1.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 190 000 |  2010  |  45 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Сарапул | 17.01.15
1006925507-1f43b | http://is18.auto.ru/all/images/2e/3c/60x45/2e3ce345.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 105 000 |  2004  |  183 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Курск | 17.01.15
1006925167-15b4c | http://is16.auto.ru/all/images/79/af/60x45/79af71f6.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 250 000 |  2012  |  39 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 17.01.15
1006922995-529c | http://is8.auto.ru/all/images/bc/e8/60x45/bce84074.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 110 000 |  2005  |  100 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Клинцы | 17.01.15
1006922305-9a1ced | http://is2.auto.ru/all/images/de/21/60x45/de213728.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 190 000 |  2010  |  82 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Клинцы | 17.01.15
1006922789-66162 | http://is6.auto.ru/all/images/e2/ab/60x45/e2ab3b89.jpg |  ВАЗ 21141.6 MT (98 л.с.) 211440-26  | #FFFFFF | 165 000 |  2013  |  15 000 км  |  1.6 MT (98 л.с.) 211440-26хэтчбек, бензин, передний  | Богучар | 17.01.15
1006518239-500a | http://is16.auto.ru/all/images/93/4a/60x45/934ac352.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 224 000 |  2011  |  59 500 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Кстово | 17.01.15
49178480-4874 | http://is10.auto.ru/all/images/b4/f1/60x45/b4f19391.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 95 000 |  2005  |  87 301 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Пенза | 17.01.15
1001117533-b79178 | http://is6.auto.ru/all/images/b9/fa/60x45/b9fa2bb2.jpg |  ВАЗ 21141.6 MT (98 л.с.) 211440-26  | #34ba2b | 399 999 |  2013  |  14 000 км  |  1.6 MT (98 л.с.) 211440-26хэтчбек, бензин, передний  | Сочи | 17.01.15
1006922437-bd89d6 | http://is12.auto.ru/all/images/da/88/60x45/da883e2e.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 180 000 |  2012  |  50 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Шацк | 17.01.15
1006922095-601e | http://is1.auto.ru/all/images/a7/69/60x45/a769b4e8.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 55 000 |  2005  |  50 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 17.01.15
1006689775-7d1768 | http://is13.auto.ru/all/images/d9/bd/60x45/d9bd55f2.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 155 000 |  2008  |  93 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Белгород | 17.01.15
1006921761-106a | http://is11.auto.ru/all/images/9a/8d/60x45/9a8d334c.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 85 000 |  2005  |  120 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Кинешма | 17.01.15
1006921201-1fe67 | http://is13.auto.ru/all/images/40/c6/60x45/40c6d9ac.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 148 000 |  2008  |  85 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 17.01.15
1006751083-c238ad | http://is11.auto.ru/all/images/e7/d3/60x45/e7d334d8.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 115 000 |  2005  |  170 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Ульяновск | 17.01.15
1000187323-feccd4 | http://is16.auto.ru/all/images/c7/ed/60x45/c7ed2efc.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #000000 | 220 000 |  2012  |  80 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Козловка | 17.01.15
1006919997-b9246 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #9c9999 | 450 000 |  2009  |  48 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Чебоксары | 17.01.15
1006920035-0e720a | http://is6.auto.ru/all/images/5d/97/60x45/5d97f7c6.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 120 000 |  2007  |  165 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Электросталь | 17.01.15
1006919821-12c8 | http://is2.auto.ru/all/images/09/05/60x45/0905111e.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 210 000 |  2012  |  55 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Рязань | 17.01.15
1006918025-618e4e | http://is18.auto.ru/all/images/b2/0c/60x45/b20c3d13.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 110 000 |  2004  |  190 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Чебаркуль | 17.01.15
1006915059-139f25 | http://is4.auto.ru/all/images/08/2f/60x45/082f04d1.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #FFFFFF | 150 000 |  2006  |  5 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Железногорск | 17.01.15
1006915941-db97 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 130 000 |  2006  |  96 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Санкт-Петербург | 17.01.15
1006888701-bc50 | http://is15.auto.ru/all/images/50/0f/60x45/500fea13.jpg |  ВАЗ 2114MT  | #000000 | 110 000 |  2004  |  120 000 км  |  MTхэтчбек, бензин, передний  | Вологда | 17.01.15
1006880137-c748 | http://is18.auto.ru/all/images/ec/ce/60x45/eccef3c6.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 149 000 |  2009  |  87 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Воронеж | 17.01.15
1003485168-10e8 | http://is18.auto.ru/all/images/e1/89/60x45/e189c3e2.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 200 000 |  2012  |  78 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 17.01.15
50342074-01bc | http://is18.auto.ru/all/images/a8/36/60x45/a8366028.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #926547 | 85 000 |  2003  |  99 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Саратов | 17.01.15
1006262965-6e298e | http://is6.auto.ru/all/images/f7/50/60x45/f7502c18.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 149 000 |  2008  |  86 163 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Калач | 17.01.15
1006880007-932a | http://is16.auto.ru/all/images/73/41/60x45/73411660.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 170 000 |  2010  |  95 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 17.01.15
1005925361-47d3b | http://is6.auto.ru/all/images/be/d4/60x45/bed4b5a7.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 120 000 |  2004  |  180 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 17.01.15
1006878107-b3e7 | http://is9.auto.ru/all/images/a2/72/60x45/a2723fab.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #CC0033 | 230 000 |  2011  |  55 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Тула | 16.01.15
1006878617-8001 | http://is17.auto.ru/all/images/ba/3b/60x45/ba3bb030.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 95 000 |  2005  |  15 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 16.01.15
1006877489-cc15 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 110 000 |  2006  |  195 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Орел | 16.01.15
1006876889-1c43a | http://is14.auto.ru/all/images/cb/05/60x45/cb054196.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 125 000 |  2007  |  106 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Нижний Новгород | 16.01.15
1006877301-701189 | http://is15.auto.ru/all/images/21/47/60x45/21475262.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 165 000 |  2009  |  123 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Новороссийск | 16.01.15
47488360-8413 | http://is2.auto.ru/all/images/d8/e5/60x45/d8e5d99c.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 110 000 |  2004  |  82 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Тверь | 16.01.15
1006877233-8188 | http://is7.auto.ru/all/images/83/31/60x45/83311e16.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 125 000 |  2009  |  69 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Торжок | 16.01.15
1006875909-91af15 | http://is15.auto.ru/all/images/76/46/60x45/7646d9c8.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 185 000 |  2011  |  48 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Кулебаки | 16.01.15
1006875827-071782 | http://is12.auto.ru/all/images/e4/5a/60x45/e45abc01.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 155 000 |  2008  |  55 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Санкт-Петербург | 16.01.15
1006874473-d2f3f | http://is16.auto.ru/all/images/89/95/60x45/8995f065.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 120 000 |  2005  |  136 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Брянск | 16.01.15
1006874879-ee80bf | http://is11.auto.ru/all/images/90/d9/60x45/90d96229.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 115 000 |  2007  |  80 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Павлово | 16.01.15
1006874453-0f15e | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 210 000 |  2011  |  45 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Санкт-Петербург | 16.01.15
1006874311-74ef8d | http://is6.auto.ru/all/images/b2/41/60x45/b2419aad.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 130 000 |  2008  |  90 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Алатырь | 16.01.15
1006256761-dccb10 | http://is12.auto.ru/all/images/59/9d/60x45/599de15f.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 212 000 |  2012  |  43 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Саратов | 16.01.15
1006629211-5ef0 | http://is8.auto.ru/all/images/66/27/60x45/6627c370.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #FF0000 | 142 000 |  2005  |  192 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 16.01.15
1006872969-88d9fe | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 90 000 |  2005  |  80 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 16.01.15
1006873355-b7a8 | http://is17.auto.ru/all/images/87/f8/60x45/87f86e12.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #ffefd5 | 150 000 |  2008  |  99 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Темрюк | 16.01.15
1005915003-3b7ed7 | http://is18.auto.ru/all/images/5e/98/60x45/5e986759.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 110 000 |  2006  |  150 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Кашира | 16.01.15
1006871699-dccaf | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 67 000 |  2004  |  180 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Кстово | 16.01.15
1006872521-16d4 | http://is9.auto.ru/all/images/f1/fc/60x45/f1fca529.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 165 000 |  2008  |  84 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 16.01.15
1006872241-690799 | http://is13.auto.ru/all/images/56/c9/60x45/56c95e79.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 170 000 |  2013  |  20 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 16.01.15
1006870073-8e01 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 50 000 |  2006  |  150 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 16.01.15
1003282774-3d11 | http://is8.auto.ru/all/images/bb/40/60x45/bb403875.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 150 000 |  2006  |  105 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Тверь | 16.01.15
1006871453-a29dd | http://is15.auto.ru/all/images/a6/2c/60x45/a62c80d0.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #FF0000 | 145 000 |  2005  |  108 550 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Курчатов | 16.01.15
1006871291-30094 | http://is2.auto.ru/all/images/e0/70/60x45/e070475c.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 155 000 |  2007  |  119 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Орел | 16.01.15
1006870197-56b65 | http://is18.auto.ru/all/images/a7/55/60x45/a7559502.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 140 000 |  2007  |  155 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Томилино | 16.01.15
1006868579-dcae54 | http://is17.auto.ru/all/images/0b/01/60x45/0b015214.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 165 000 |  2010  |  79 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Саранск | 16.01.15
1006868099-c9027 | http://is18.auto.ru/all/images/8d/4b/60x45/8d4b7ebf.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 255 000 |  2012  |  67 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Зеленоград | 16.01.15
1006866903-cfbb | http://is9.auto.ru/all/images/39/b4/60x45/39b4b0fa.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 95 000 |  2004  |  90 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Тверь | 16.01.15
1006867935-842c | http://is18.auto.ru/all/images/03/d2/60x45/03d2a178.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 150 000 |  2007  |  110 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Выкса | 16.01.15
