1007301803-05e0 | http://is10.auto.ru/all/images/fb/c7/60x45/fbc79ab0.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #FF0000 | 515 000 |  2010  |  67 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006689929-423a16 | http://is13.auto.ru/all/images/e6/f5/60x45/e6f5cbef.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #FF0000 | 170 000 |  2001  |  220 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Звенигород | 16.01.15
1005567043-31c36c | http://is9.auto.ru/all/images/98/53/60x45/98531476.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #FFFFFF | 750 000 |  2012  |  34 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 16.01.15
1006874039-8e312f | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf II1.6d MT (70 л.с.)  | #34ba2b | 50 000 |  1985  |  300 000 км  |  1.6d MT (70 л.с.)хэтчбек, дизель, передний  | Нижний Новгород | 16.01.15
1006869437-b82f | http://is6.auto.ru/all/images/71/d6/60x45/71d6c666.jpg |  Volkswagen Golf I1.6d MT (54 л.с.)  | #000000 | 399 000 |  1981  |  372 000 км  |  1.6d MT (54 л.с.)хэтчбек, дизель, передний  | Санкт-Петербург | 16.01.15
1006874345-5e28 | http://is18.auto.ru/all/images/01/3d/60x45/013d9515.jpg |  Volkswagen Golf V1.4 MT (122 л.с.)  | #9c9999 | 460 000 |  2008  |  106 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Волгоград | 16.01.15
48204510-d6b5 | http://is12.auto.ru/all/images/bc/f3/60x45/bcf376c7.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #9c9999 | 650 000 |  2011  |  70 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 16.01.15
1006742293-11f2 | http://is12.auto.ru/all/images/55/23/60x45/55231780.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #FFFFFF | 32 000 |  1985  |  170 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Рязань | 16.01.15
1003967398-3218 | http://is17.auto.ru/all/images/5d/c9/60x45/5dc97c20.jpg |  Volkswagen Golf VII1.4 AT (122 л.с.)  | #0088ff | 950 000 |  2013  |  25 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 16.01.15
1006813187-c3e938 | http://is1.auto.ru/all/images/77/62/60x45/77628d75.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #0000FF | 700 000 |  2012  |  121 200 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 16.01.15
1006872677-d00d57 | http://is2.auto.ru/all/images/20/6a/60x45/206a06ab.jpg |  Volkswagen Golf VII1.4 MT (122 л.с.)  | #FF0000 | 1 350 000 |  2013  |  36 668 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 16.01.15
1006871299-866ea | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #9c9999 | 850 000 |  2012  |  25 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 16.01.15
1006872243-f30949 | http://is15.auto.ru/all/images/9d/c3/60x45/9dc3cef2.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #000000 | 240 000 |  2000  |  210 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Елец | 16.01.15
1006871675-84455 | http://is12.auto.ru/all/images/55/73/60x45/557399ce.jpg |  Volkswagen Golf VI1.4 MT (80 л.с.)  | #0000FF | 500 000 |  2011  |  37 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Тверь | 16.01.15
1006871621-1e48e | http://is11.auto.ru/all/images/e6/bb/60x45/e6bb4b02.jpg |  Volkswagen Golf III1.6 MT (75 л.с.)  | #000000 | 80 000 |  1995  |  250 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Пушкино | 16.01.15
1006869897-905247 | http://is11.auto.ru/all/images/b5/01/60x45/b5012126.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #0088ff | 629 555 |  2011  |  29 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 16.01.15
1002937938-69b3c2 | http://is8.auto.ru/all/images/89/b8/60x45/89b8c9cf.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #CACECB | 290 000 |  2004  |  162 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Старый Оскол | 16.01.15
1006795353-73a65e | http://is5.auto.ru/all/images/06/de/60x45/06deab32.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #CACECB | 695 000 |  2012  |  60 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 16.01.15
1006868035-42b3c1 | http://is11.auto.ru/all/images/28/9f/60x45/289fc682.jpg |  Volkswagen Golf IV1.6 AT (102 л.с.)  | #34ba2b | 235 000 |  2000  |  184 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 16.01.15
1006867519-0534f | http://is9.auto.ru/all/images/08/aa/60x45/08aa7046.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #34ba2b | 210 000 |  1999  |  250 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Белгород | 16.01.15
1006867635-de91 | http://is1.auto.ru/all/images/33/83/60x45/338318bb.jpg |  Volkswagen Golf IV1.6 AT (101 л.с.)  | #0000FF | 215 000 |  1999  |  228 000 км  |  1.6 AT (101 л.с.)хэтчбек, бензин, передний  | Монино | 16.01.15
47480730-dd8d04 | http://is2.auto.ru/all/images/c6/06/60x45/c6066d54.jpg |  Volkswagen Golf III1.8 MT (90 л.с.)  | #FF0000 | 110 000 |  1993  |  160 000 км  |  1.8 MT (90 л.с.)хэтчбек, бензин, передний  | Владимир | 16.01.15
1006865613-98c18 | http://is3.auto.ru/all/images/ed/f4/60x45/edf4ada0.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #CACECB | 750 000 |  2012  |  30 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Батайск | 16.01.15
1004709553-45ff5 | http://is4.auto.ru/all/images/59/8e/60x45/598e9d92.jpg |  Volkswagen Golf III1.8 MT (90 л.с.)  | #34ba2b | 100 000 |  1995  |  100 000 км  |  1.8 MT (90 л.с.)хэтчбек, бензин, передний  | Фрязино | 16.01.15
1002558325-b155e1 | http://is7.auto.ru/all/images/6d/89/60x45/6d89a17a.jpg |  Volkswagen Golf V1.4 AT (170 л.с.)  | #0000FF | 555 000 |  2008  |  97 000 км  |  1.4 AT (170 л.с.)хэтчбек, бензин, передний  | Москва | 16.01.15
1006864151-0374 | http://is1.auto.ru/all/images/22/f4/60x45/22f4b3ae.jpg |  Volkswagen Golf IV1.8 MT (150 л.с.)  | #000000 | 320 000 |  2000  |  140 000 км  |  1.8 MT (150 л.с.)хэтчбек, бензин, передний  | Фрязино | 16.01.15
1005976761-4db43 | http://is5.auto.ru/all/images/a4/92/60x45/a4922821.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #34ba2b | 80 000 |  1988  |  235 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Алексин | 16.01.15
1006863927-095f2 | http://is11.auto.ru/all/images/3d/27/60x45/3d27de75.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #0000FF | 680 000 |  2012  |  21 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Ижевск | 16.01.15
1003620102-eb87e | http://is3.auto.ru/all/images/2c/9b/60x45/2c9b7c57.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #FFFFFF | 580 000 |  2011  |  90 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Йошкар-Ола | 16.01.15
1006862179-1ce6 | http://is13.auto.ru/all/images/55/7d/60x45/557db2bb.jpg |  Volkswagen Golf VII1.4 MT (122 л.с.)  | #CACECB | 1 100 000 |  2014  |  6 706 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 16.01.15
1006861999-cd7ea4 | http://is3.auto.ru/all/images/eb/79/60x45/eb79c9c5.jpg |  Volkswagen Golf IV1.9d MT (101 л.с.)  | #0000FF | 506 850 |  2001  |  193 000 км  |  1.9d MT (101 л.с.)универсал, дизель, передний  | Минск | 16.01.15
1006313633-a2d755 | http://is12.auto.ru/all/images/0a/9c/60x45/0a9cb443.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #000000 | 539 900 |  2008  |  68 500 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 16.01.15
1006859063-340760 | http://is2.auto.ru/all/images/7a/39/60x45/7a39aff9.jpg |  Volkswagen Golf II1.6d MT (70 л.с.)  | #CACECB | 58 000 |  1985  |  219 000 км  |  1.6d MT (70 л.с.)хэтчбек, дизель, передний  | Медвежьегорск | 16.01.15
1005804293-a2b250 | http://is16.auto.ru/all/images/d7/02/60x45/d7024173.jpg |  Volkswagen Golf IV1.6 MT (110 л.с.)  | #000000 | 285 000 |  2003  |  100 000 км  |  1.6 MT (110 л.с.)универсал, бензин, передний  | Псков | 16.01.15
1006858963-f8cc12 | http://is6.auto.ru/all/images/b3/5e/60x45/b35e94b7.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #CACECB | 685 000 |  2012  |  60 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 16.01.15
1006472459-5a74be | http://is2.auto.ru/all/images/36/33/60x45/3633a66a.jpg |  Volkswagen Golf III1.8 MT (90 л.с.)  | #9966CC | 155 000 |  1994  |  158 000 км  |  1.8 MT (90 л.с.)хэтчбек, бензин, передний  | Королев | 16.01.15
1006472433-4cb156 | http://is15.auto.ru/all/images/64/b6/60x45/64b695c4.jpg |  Volkswagen Golf III1.8 MT (90 л.с.)  | #9966CC | 155 000 |  1994  |  158 000 км  |  1.8 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 16.01.15
1006858777-4fe1 | http://is8.auto.ru/all/images/cf/c6/60x45/cfc6bf20.jpg |  Volkswagen Golf III1.8 MT (75 л.с.)  | #FFFFFF | 140 000 |  1997  |  280 000 км  |  1.8 MT (75 л.с.)хэтчбек, бензин, передний  | Рославль | 16.01.15
1001616357-01e9e | http://is13.auto.ru/all/images/7c/6c/60x45/7c6cd055.jpg |  Volkswagen Golf III1.4 MT (55 л.с.)  | #FF0000 | 81 000 |  1992  |  160 000 км  |  1.4 MT (55 л.с.)хэтчбек, бензин, передний  | Москва | 16.01.15
1006858629-49b32d | http://is17.auto.ru/all/images/13/1e/60x45/131efe7c.jpg |  Volkswagen Golf IV1.9d AT (101 л.с.)  | #000000 | 290 000 |  2002  |  212 800 км  |  1.9d AT (101 л.с.)универсал, дизель, передний  | Омск | 16.01.15
1006858211-5d48e5 | http://is16.auto.ru/all/images/5f/04/60x45/5f04d0e0.jpg |  Volkswagen Golf V1.4 MT (75 л.с.)  | #0000FF | 330 000 |  2005  |  175 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 16.01.15
1006857803-4172dd | http://is1.auto.ru/all/images/dc/fa/60x45/dcfa67c5.jpg |  Volkswagen Golf V1.4 MT (80 л.с.)  | #000000 | 400 000 |  2008  |  150 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Челябинск | 16.01.15
1006114137-8e177a | http://is2.auto.ru/all/images/28/2b/60x45/282be2c2.jpg |  Volkswagen Golf II1.3 MT (55 л.с.) KAT  | #CACECB | 73 000 |  1989  |  270 000 км  |  1.3 MT (55 л.с.) KATхэтчбек, бензин, передний  | Москва | 16.01.15
1006839689-455db | http://is11.auto.ru/all/images/d0/5b/60x45/d05b1e7b.jpg |  Volkswagen Golf VI2.0d MT (140 л.с.)  | #CACECB | 870 000 |  2011  |  67 000 км  |  2.0d MT (140 л.с.)хэтчбек, дизель, передний  | Москва | 16.01.15
1000402516-6ee082 | http://is6.auto.ru/all/images/31/3d/60x45/313d12d5.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #CACECB | 30 000 |  1989  |  300 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Гагарин | 16.01.15
1006678353-513bf8 | http://is9.auto.ru/all/images/15/b9/60x45/15b93f54.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #000000 | 260 000 |  2000  |  205 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Кострома | 16.01.15
1006816101-5fcf | http://is12.auto.ru/all/images/48/cd/60x45/48cd89b8.jpg |  Volkswagen Golf V1.9d MT (105 л.с.)  | #CACECB | 500 000 |  2007  |  132 000 км  |  1.9d MT (105 л.с.)универсал, дизель, передний  | Москва | 15.01.15
1006800893-1c79 | http://is6.auto.ru/all/images/f7/44/60x45/f74475d4.jpg |  Volkswagen Golf II1.6 MT (70 л.с.)  | #9c9999 | 100 000 |  1991  |  400 000 км  |  1.6 MT (70 л.с.)хэтчбек, бензин, передний  | Киров | 15.01.15
1005174909-a07d41 | http://is6.auto.ru/all/images/f1/e5/60x45/f1e54361.jpg |  Volkswagen Golf IV1.8 MT (150 л.с.)  | #0000FF | 410 000 |  2000  |  150 000 км  |  1.8 MT (150 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
42921496-916f3 | http://is15.auto.ru/all/images/34/b2/60x45/34b2d0f3.jpg |  Volkswagen Golf III1.6 MT (75 л.с.)  | #9966CC | 130 000 |  1996  |  265 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Кострома | 15.01.15
1006740085-4486 | http://is5.auto.ru/all/images/be/c3/60x45/bec365f3.jpg |  Volkswagen Golf VII1.4 AT (122 л.с.)  | #0000FF | 950 000 |  2013  |  40 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1005522415-5308a | http://is7.auto.ru/all/images/b0/da/60x45/b0daf601.jpg |  Volkswagen Golf III1.8 MT (75 л.с.)  | #FF0000 | 110 000 |  1996  |  193 000 км  |  1.8 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1006814449-650e3f | http://is12.auto.ru/all/images/db/4d/60x45/db4d80ee.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #000000 | 745 000 |  2012  |  52 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1006814351-1dce | http://is15.auto.ru/all/images/5f/3f/60x45/5f3f66e5.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #CACECB | 340 000 |  2006  |  110 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Одинцово | 15.01.15
1006814261-eff0cf | http://is8.auto.ru/all/images/e0/0f/60x45/e00f3afd.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #CACECB | 338 000 |  2003  |  210 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 15.01.15
1006810097-421cb0 | http://is12.auto.ru/all/images/92/37/60x45/9237c163.jpg |  Volkswagen Golf III1.8 AT (75 л.с.)  | #9966CC | 170 000 |  1997  |  220 000 км  |  1.8 AT (75 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1006813303-44c38 | http://is11.auto.ru/all/images/42/13/60x45/4213e57a.jpg |  Volkswagen Golf III1.4 MT (60 л.с.)  | #0000FF | 65 000 |  1994  |  210 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Сосновый Бор | 15.01.15
1006812995-1ae12e | http://is3.auto.ru/all/images/81/4d/60x45/814d6210.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #0000FF | 250 000 |  2002  |  190 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Владимир | 15.01.15
1006812223-06af84 | http://is3.auto.ru/all/images/85/b1/60x45/85b149d9.jpg |  Volkswagen Golf V1.9d AT (105 л.с.)  | #9c9999 | 490 000 |  2008  |  112 000 км  |  1.9d AT (105 л.с.)универсал, дизель, передний  | Новомосковск | 15.01.15
1004225699-2de6cb | http://is14.auto.ru/all/images/1d/c1/60x45/1dc12fa3.jpg |  Volkswagen Golf V1.4 MT (140 л.с.)  | #9c9999 | 620 000 |  2008  |  74 000 км  |  1.4 MT (140 л.с.)хэтчбек, бензин, передний  | Белгород | 15.01.15
1006811009-364bf | http://is1.auto.ru/all/images/6c/7d/60x45/6c7dba8e.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #0000FF | 255 000 |  2002  |  270 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Великие Луки | 15.01.15
1006811013-ff8a | http://is13.auto.ru/all/images/49/6f/60x45/496f431e.jpg |  Volkswagen Golf III1.6 MT (75 л.с.)  | #FFFFFF | 110 000 |  1993  |  150 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Бирюч | 15.01.15
1000949815-99f7a2 | http://is13.auto.ru/all/images/d5/92/60x45/d5924005.jpg |  Volkswagen Golf IV2.0 AT (115 л.с.)  | #000000 | 225 000 |  1999  |  210 000 км  |  2.0 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1006576509-7f839 | http://is4.auto.ru/all/images/09/2c/60x45/092cc641.jpg |  Volkswagen Golf VII1.2 MT (105 л.с.)  | #0088ff | 810 000 |  2013  |  37 000 км  |  1.2 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1006753683-674d2f | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf VII1.4 AT (122 л.с.)  | #FFFFFF | 950 000 |  2014  |  18 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Йошкар-Ола | 15.01.15
1004763725-9dfd7 | http://is18.auto.ru/all/images/4c/21/60x45/4c2120fc.jpg |  Volkswagen Golf IV1.9d AT (110 л.с.)  | #FF0000 | 265 000 |  2001  |  94 000 км  |  1.9d AT (110 л.с.)универсал, дизель, передний  | Москва | 15.01.15
1006808335-baee | http://is18.auto.ru/all/images/62/2b/60x45/622b34ee.jpg |  Volkswagen Golf III1.6 MT (75 л.с.)  | #34ba2b | 64 000 |  1997  |  171 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 15.01.15
1006808277-9390c | http://is1.auto.ru/all/images/d7/72/60x45/d77274e8.jpg |  Volkswagen Golf III1.4 MT (60 л.с.)  | #000000 | 120 000 |  1997  |  250 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Воскресенск | 15.01.15
1006807777-24cd | http://is8.auto.ru/all/images/aa/bb/60x45/aabb9c18.jpg |  Volkswagen Golf IV1.9d MT (115 л.с.)  | #0000FF | 490 500 |  2000  |  256 000 км  |  1.9d MT (115 л.с.)хэтчбек, дизель, передний  | Минск | 15.01.15
49334204-7cb81 | http://is8.auto.ru/all/images/41/9d/60x45/419dd9fe.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #FF0000 | 88 000 |  1985  |  5 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Строитель | 15.01.15
1006807037-6cee94 | http://is15.auto.ru/all/images/c6/d1/60x45/c6d1b87f.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #CACECB | 345 000 |  2007  |  130 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 15.01.15
1006806255-711a | http://is17.auto.ru/all/images/6d/55/60x45/6d555a98.jpg |  Volkswagen Golf VI1.4 MT (80 л.с.)  | #000000 | 545 000 |  2012  |  43 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Казань | 15.01.15
1006687039-d4cd | http://is13.auto.ru/all/images/1c/1a/60x45/1c1a2072.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #0000FF | 245 000 |  1997  |  250 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Сочи | 15.01.15
1006803481-4bf5 | http://is18.auto.ru/all/images/c8/df/60x45/c8df9251.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #000000 | 440 000 |  2007  |  125 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1006751233-b61da | http://is17.auto.ru/all/images/f3/46/60x45/f3463f48.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #9c9999 | 420 000 |  2007  |  145 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 15.01.15
1006686773-30a4 | http://is18.auto.ru/all/images/42/22/60x45/4222d117.jpg |  Volkswagen Golf VI1.4 MT (80 л.с.)  | #FFFFFF | 460 000 |  2010  |  80 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1003277010-ea68a4 | http://is18.auto.ru/all/images/21/89/60x45/2189a42d.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #000000 | 415 000 |  2010  |  70 750 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1003346006-d3a979 | http://is16.auto.ru/all/images/bc/e7/60x45/bce749b3.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #9c9999 | 675 444 |  2010  |  69 445 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1004261079-88420 | http://is9.auto.ru/all/images/b8/f6/60x45/b8f6b264.jpg |  Volkswagen Golf VI1.4 MT (80 л.с.)  | #0000FF | 525 000 |  2012  |  36 514 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
49099566-a5c2c | http://is18.auto.ru/all/images/49/23/60x45/492370c6.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #9c9999 | 642 600 |  2010  |  101 249 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
49610634-f1feb | http://is2.auto.ru/all/images/ea/54/60x45/ea54f725.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #9c9999 | 734 400 |  2011  |  70 106 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1006570409-a9d4d | http://is8.auto.ru/all/images/43/30/60x45/43307861.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #000000 | 620 000 |  2011  |  69 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Тула | 15.01.15
1004296915-297928 | http://is3.auto.ru/all/images/c0/ce/60x45/c0ced159.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #9c9999 | 675 444 |  2010  |  69 445 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
48555378-f123 | http://is13.auto.ru/all/images/d7/32/60x45/d73260e7.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #CACECB | 520 200 |  2008  |  115 167 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1004896661-4c5575 | http://is8.auto.ru/all/images/30/bc/60x45/30bc1124.jpg |  Volkswagen Golf VII1.4 AT (122 л.с.)  | #FFFFFF | 1 317 600 |  2014  |  11 886 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1005636763-be2c58 | http://is2.auto.ru/all/images/26/47/60x45/2647c5e5.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #CACECB | 285 000 |  2002  |  162 703 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1004968381-06bf | http://is18.auto.ru/all/images/e6/64/60x45/e6640536.jpg |  Volkswagen Golf VI1.6 MT (102 л.с.)  | #9c9999 | 731 988 |  2009  |  85 487 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1003965160-b98a | http://is9.auto.ru/all/images/a2/d5/60x45/a2d51b5c.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #FFFFFF | 645 000 |  2010  |  35 791 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1006359885-5c80 | http://is2.auto.ru/all/images/51/89/60x45/51897114.jpg |  Volkswagen Golf V1.6 AT (115 л.с.)  | #0000FF | 449 000 |  2008  |  126 500 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1006261043-e011c0 | http://is3.auto.ru/all/images/07/2f/60x45/072f8ad7.jpg |  Volkswagen Golf VII1.4 AT (122 л.с.)  | #000000 | 870 000 |  2013  |  15 500 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Ступино | 15.01.15
1006799235-8041 | http://is10.auto.ru/all/images/5f/2f/60x45/5f2fb519.jpg |  Volkswagen Golf V1.6 AT (115 л.с.)  | #0000FF | 430 000 |  2007  |  131 000 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Белгород | 15.01.15
1006799163-d33fd | http://is16.auto.ru/all/images/a0/c2/60x45/a0c2d288.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #0000FF | 700 000 |  2011  |  35 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1006798087-7e9a | http://is2.auto.ru/all/images/1f/fb/60x45/1ffb8f6f.jpg |  Volkswagen Golf III1.8 AT (90 л.с.)  | #FF0000 | 145 000 |  1994  |  224 000 км  |  1.8 AT (90 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1006798017-4f5fef | http://is13.auto.ru/all/images/28/88/60x45/2888f585.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #CACECB | 750 000 |  2012  |  51 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1004698487-5faf4 | http://is9.auto.ru/all/images/e7/a4/60x45/e7a4dd94.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #9c9999 | 640 000 |  2012  |  43 393 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1006798171-8dc3ac | http://is5.auto.ru/all/images/3e/4d/60x45/3e4d5e06.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #FF0000 | 255 000 |  1997  |  327 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Симферополь | 15.01.15
1005639939-9d22 | http://is18.auto.ru/all/images/98/5f/60x45/985fec70.jpg |  Volkswagen Golf III1.8 MT (90 л.с.)  | #0000FF | 65 000 |  1994  |  250 000 км  |  1.8 MT (90 л.с.)универсал, бензин, передний  | Подольск | 15.01.15
1006258223-2a16 | http://is18.auto.ru/all/images/b9/b1/60x45/b9b14031.jpg |  Volkswagen Golf IV1.6 AT (102 л.с.)  | #CACECB | 315 000 |  2002  |  160 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Раменское | 15.01.15
1006796431-fef5 | http://is12.auto.ru/all/images/5d/b1/60x45/5db174f7.jpg |  Volkswagen Golf II1.6 AT (75 л.с.)  | #0088ff | 85 000 |  1984  |  200 000 км  |  1.6 AT (75 л.с.)хэтчбек, бензин, передний  | Москва | 15.01.15
1006515407-7eb3b | http://is2.auto.ru/all/images/d1/8e/60x45/d18e7b65.jpg |  Volkswagen Golf V1.9d MT (105 л.с.)  | #000000 | 601 680 |  2005  |  150 000 км  |  1.9d MT (105 л.с.)хэтчбек, дизель, передний  | Бахчисарай | 15.01.15
