1007256331-ecc78 | http://is15.auto.ru/all/images/51/b6/60x45/51b636f9.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #000000 | 450 000 |  2006  |  93 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1006864863-f4e5 | http://is3.auto.ru/all/images/6f/b1/60x45/6fb1af21.jpg |  Honda Civic VII1.4 MT (90 л.с.)  | #9c9999 | 240 000 |  2003  |  178 000 км  |  1.4 MT (90 л.с.)хэтчбек, бензин, передний  | Орел | 19.01.15
1007043389-0ea2c | http://is11.auto.ru/all/images/41/73/60x45/4173d277.jpg |  Honda Civic VIII Hybrid1.3hyb CVT (95 л.с.)  | #000000 | 480 000 |  2008  |  122 500 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Санкт-Петербург | 19.01.15
1005699519-c3aa9 | http://is12.auto.ru/all/images/7a/f3/60x45/7af3ae55.jpg |  Honda Civic VII1.5 AT (105 л.с.)  | #FFFFFF | 255 000 Правый руль |  2002  |  30 000 км  |  1.5 AT (105 л.с.)хэтчбек, бензин, передний  | Тюмень | 19.01.15
1007044347-b0db | http://is7.auto.ru/all/images/5f/d2/60x45/5fd2812e.jpg |  Honda Civic VI1.4 AT (90 л.с.)  | #CACECB | 111 000 Правый руль |  1997  |  250 000 км  |  1.4 AT (90 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1006866849-56732b | http://is4.auto.ru/all/images/b8/8b/60x45/b88b84cb.jpg |  Honda Civic VI1.6 AT (125 л.с.)  | #000000 | 149 900 |  1996  |  212 000 км  |  1.6 AT (125 л.с.)седан, бензин, передний  | Воронеж | 19.01.15
1007043581-8bf3 | http://is2.auto.ru/all/images/50/f5/60x45/50f58d21.jpg |  Honda Civic VII Рестайлинг1.6 AT (110 л.с.)  | #CACECB | 390 000 |  2004  |  84 000 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Нижний Новгород | 19.01.15
1006863415-e9b3a6 | http://is5.auto.ru/all/images/f0/d9/60x45/f0d990d4.jpg |  Honda Civic VI1.5 MT (115 л.с.)  | #FFFFFF | 190 000 |  1999  |  20 000 км  |  1.5 MT (115 л.с.)седан, бензин, передний  | Москва | 19.01.15
1004644843-54ab5 | http://is15.auto.ru/all/images/23/61/60x45/23614fb3.jpg |  Honda Civic VII Рестайлинг1.6 AT (110 л.с.)  | #000000 | 335 000 |  2004  |  162 403 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Смоленск | 19.01.15
1007043395-14935 | http://is11.auto.ru/all/images/41/73/60x45/4173d277.jpg |  Honda Civic VIII Hybrid1.3hyb CVT (95 л.с.)  | #000000 | 480 000 |  2008  |  122 500 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Санкт-Петербург | 19.01.15
1006989617-24eec3 | http://is17.auto.ru/all/images/98/ee/60x45/98ee19da.jpg |  Honda Civic VII1.6 AT (110 л.с.)  | #9c9999 | 233 000 Правый руль |  2003  |  190 500 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Ставрополь | 19.01.15
1006982969-414a3 | http://is17.auto.ru/all/images/5b/63/60x45/5b63ef0d.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #0088ff | 450 000 |  2008  |  120 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 19.01.15
1007042079-4d98 | http://is4.auto.ru/all/images/cf/eb/60x45/cfeb21ca.jpg |  Honda Civic VI1.5 MT (90 л.с.)  | #9c9999 | 100 000 |  1996  |  156 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Москва | 19.01.15
1004251975-4dc0 | http://is15.auto.ru/all/images/8c/1e/60x45/8c1edb77.jpg |  Honda Civic V1.5 MT (90 л.с.)  | #FF0000 | 140 000 |  1993  |  288 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Москва | 19.01.15
42391488-9e61 | http://is14.auto.ru/all/images/ac/7c/60x45/ac7c66a9.jpg |  Honda Civic V1.5 MT (90 л.с.)  | #000000 | 140 000 |  1993  |  280 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1007041737-0820b5 | http://is17.auto.ru/all/images/f1/5e/60x45/f15e1c0b.jpg |  Honda Civic V2.0 MT (200 л.с.)  | #FF0000 | 210 000 |  1993  |  80 000 км  |  2.0 MT (200 л.с.)седан, бензин, передний  | Димитровград | 19.01.15
1007040735-fd5eb3 | http://is2.auto.ru/all/images/51/86/60x45/5186c034.jpg |  Honda Civic VII1.4 MT (90 л.с.)  | #CACECB | 215 000 |  2002  |  248 000 км  |  1.4 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1006114395-1244 | http://is7.auto.ru/all/images/85/a9/60x45/85a9433d.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #9c9999 | 520 000 |  2008  |  64 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 19.01.15
1005810661-f4f1eb | http://is17.auto.ru/all/images/e4/10/60x45/e410b2a3.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #000000 | 600 000 |  2008  |  90 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 19.01.15
1003905988-b976 | http://is11.auto.ru/all/images/ed/d7/60x45/edd7a58b.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #FF0000 | 480 000 |  2008  |  121 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1006927221-9e0cc4 | http://is6.auto.ru/all/images/3b/ab/60x45/3bab882c.jpg |  Honda Civic VIII Рестайлинг1.8 MT (140 л.с.)  | #926547 | 545 000 |  2010  |  53 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 19.01.15
1007037003-cf983d | http://is18.auto.ru/all/images/8e/fc/60x45/8efcf5ce.jpg |  Honda Civic VI1.4 MT (90 л.с.)  | #34ba2b | 130 000 |  1997  |  200 000 км  |  1.4 MT (90 л.с.)хэтчбек, бензин, передний  | Красное Село | 19.01.15
1004962901-f193 | http://is10.auto.ru/all/images/85/3b/60x45/853b7f8d.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #9c9999 | 500 000 |  2008  |  100 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Воронеж | 19.01.15
1003070602-d736b9 | http://is5.auto.ru/all/images/72/aa/60x45/72aa55f4.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #000000 | 390 000 |  2006  |  80 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Воронеж | 19.01.15
1006521795-33c3d | http://is1.auto.ru/all/images/95/a0/60x45/95a04679.jpg |  Honda Civic VIII Рестайлинг Hybrid1.3hyb CVT (95 л.с.)  | #9c9999 | 521 458 |  2009  |  101 000 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Москва | 19.01.15
1007026405-f023 | http://is3.auto.ru/all/images/f9/73/60x45/f973ec89.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #000000 | 420 000 |  2008  |  110 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Самара | 19.01.15
1007024205-c6508 | http://is17.auto.ru/all/images/eb/54/60x45/eb54894b.jpg |  Honda Civic VI1.5 MT (115 л.с.)  | #FF0000 | 85 000 |  1996  |  250 000 км  |  1.5 MT (115 л.с.)седан, бензин, передний  | Санкт-Петербург | 19.01.15
1005114809-80b66f | http://is6.auto.ru/all/images/90/4f/60x45/904ff6b5.jpg |  Honda Civic VI1.5 MT (115 л.с.)  | #9c9999 | 180 000 |  1998  |  254 000 км  |  1.5 MT (115 л.с.)хэтчбек, бензин, передний  | Воронеж | 19.01.15
1006926955-083ecd | http://is6.auto.ru/all/images/29/18/60x45/2918b3cb.jpg |  Honda Civic IX Рестайлинг1.8 AT (142 л.с.)  | #000000 | 800 000 |  2013  |  17 000 км  |  1.8 AT (142 л.с.)седан, бензин, передний  | Москва | 19.01.15
1005925363-335da | http://is8.auto.ru/all/images/52/35/60x45/5235ef62.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #000000 | 490 000 |  2008  |  80 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Тула | 18.01.15
1006992197-a3139 | http://is2.auto.ru/all/images/14/b1/60x45/14b1b29f.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.) AMT  | #926547 | 490 000 |  2008  |  100 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Серпухов | 18.01.15
1006993405-1517b4 | /i/all7/img/no-photo-thumb.gif |  Honda Civic VIII1.8 AT (140 л.с.)  | #0088ff | 470 000 |  2008  |  70 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006992445-254858 | http://is1.auto.ru/all/images/5f/a9/60x45/5fa98e70.jpg |  Honda Civic VI1.5 AT (115 л.с.)  | #CACECB | 210 000 |  2000  |  210 000 км  |  1.5 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006752673-ec97 | http://is17.auto.ru/all/images/9a/6c/60x45/9a6cb95e.jpg |  Honda Civic IX Рестайлинг1.8 AT (142 л.с.)  | #CACECB | 1 242 600 |  2013  |  21 000 км  |  1.8 AT (142 л.с.)седан, бензин, передний  | Минск | 18.01.15
1006990805-ef245 | http://is7.auto.ru/all/images/75/99/60x45/75995383.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #000000 | 645 000 |  2010  |  81 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Зеленоград | 18.01.15
1006991559-e4035 | http://is9.auto.ru/all/images/21/5e/60x45/215eb437.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #9c9999 | 400 000 |  2007  |  150 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006987197-225f | http://is17.auto.ru/all/images/d1/4d/60x45/d14d8a97.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #FF0000 | 470 000 |  2008  |  100 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Курск | 18.01.15
1006210741-30a0 | http://is3.auto.ru/all/images/a5/f9/60x45/a5f96fa4.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #FFFFFF | 880 000 |  2012  |  21 000 км  |  1.8 AT (142 л.с.)седан, бензин, передний  | Одинцово | 18.01.15
1006990705-23ed2 | http://is16.auto.ru/all/images/95/73/60x45/957359eb.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #9c9999 | 1 200 000 |  2013  |  4 000 км  |  1.8 AT (142 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006989727-fae94 | http://is15.auto.ru/all/images/35/78/60x45/357871f3.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #CACECB | 445 000 |  2007  |  132 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Ростов-на-Дону | 18.01.15
1006987169-e673d | http://is11.auto.ru/all/images/91/6c/60x45/916c8a88.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #000000 | 650 000 |  2007  |  70 500 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Севастополь | 18.01.15
1006988509-543c | /i/all7/img/no-photo-thumb.gif |  Honda Civic VIII Hybrid1.3hyb CVT (95 л.с.)  | #0000FF | 434 000 |  2008  |  139 000 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Истра | 18.01.15
1006987683-d32c | http://is16.auto.ru/all/images/52/40/60x45/524051b2.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #9c9999 | 580 000 |  2008  |  136 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Ступино | 18.01.15
1006988119-4f813 | http://is12.auto.ru/all/images/5f/d8/60x45/5fd88e6d.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #000000 | 470 000 |  2007  |  120 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 18.01.15
1005632481-97a64f | http://is11.auto.ru/all/images/76/1f/60x45/761fc84b.jpg |  Honda Civic VIII Рестайлинг1.8 MT (140 л.с.)  | #000000 | 535 000 |  2011  |  90 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Сургут | 18.01.15
1006987283-814607 | http://is1.auto.ru/all/images/87/e8/60x45/87e8e9da.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #ffefd5 | 950 000 |  2012  |  59 000 км  |  1.8 AT (142 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006470437-b56f | http://is17.auto.ru/all/images/f0/d7/60x45/f0d701f1.jpg |  Honda Civic VII1.4 MT (90 л.с.)  | #0000FF | 220 000 |  2002  |  319 000 км  |  1.4 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1004647765-223f5 | http://is8.auto.ru/all/images/30/06/60x45/30060b24.jpg |  Honda Civic VIII Рестайлинг Hybrid1.3hyb CVT (95 л.с.)  | #FFFFFF | 985 041 |  2011  |  113 773 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Москва | 18.01.15
1006987027-bc57 | http://is2.auto.ru/all/images/1d/5b/60x45/1d5b75d3.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #000000 | 890 000 |  2012  |  30 500 км  |  1.8 AT (142 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
43290244-1ad941 | http://is15.auto.ru/all/images/b4/d2/60x45/b4d29633.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #FF0000 | 520 000 |  2008  |  77 707 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Владимир | 18.01.15
1003557826-6dfb | http://is7.auto.ru/all/images/5a/ae/60x45/5aae088f.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #0000FF | 425 000 |  2008  |  118 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 18.01.15
49676124-2726c0 | http://is10.auto.ru/all/images/ba/51/60x45/ba519fcc.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #FF9966 | 610 000 |  2008  |  30 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Москва | 18.01.15
1006986291-8f18 | http://is3.auto.ru/all/images/02/a7/60x45/02a766d6.jpg |  Honda Civic VIII Рестайлинг1.8 MT (140 л.с.)  | #000000 | 490 000 |  2009  |  109 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006926687-ac3847 | http://is11.auto.ru/all/images/19/ae/60x45/19aefb9c.jpg |  Honda Civic VI1.5 MT (115 л.с.)  | #CACECB | 237 000 |  2001  |  94 200 км  |  1.5 MT (115 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006511443-7598a | http://is9.auto.ru/all/images/8f/3a/60x45/8f3a9045.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #0000FF | 430 000 |  2008  |  92 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Иваново | 18.01.15
1006213745-416b0 | http://is1.auto.ru/all/images/31/f4/60x45/31f4dd98.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #CACECB | 520 000 |  2008  |  80 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Лобня | 18.01.15
1006811669-285a21 | http://is10.auto.ru/all/images/0e/1c/60x45/0e1c85b5.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 500 000 |  2008  |  125 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
1006984549-ea42b | http://is17.auto.ru/all/images/3a/92/60x45/3a92a9ac.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #000000 | 450 000 |  2008  |  135 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Кропоткин | 18.01.15
1006263311-dc71ca | http://is16.auto.ru/all/images/9d/8c/60x45/9d8c4462.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #0000FF | 820 000 |  2012  |  96 000 км  |  1.8 AT (142 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006983231-183b2f | http://is18.auto.ru/all/images/c7/56/60x45/c756dc36.jpg |  Honda Civic VI1.4 MT (75 л.с.)  | #000000 | 105 000 |  1999  |  250 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006983095-f0452 | http://is3.auto.ru/all/images/b1/2b/60x45/b12bcff5.jpg |  Honda Civic VI1.4 AT (90 л.с.)  | #FFFFFF | 165 000 Правый руль |  1999  |  170 000 км  |  1.4 AT (90 л.с.)седан, бензин, передний  | Краснодар | 18.01.15
1006931317-50ebc | http://is18.auto.ru/all/images/80/e4/60x45/80e40aa2.jpg |  Honda Civic II1.5 MT (90 л.с.)  | #FF0000 | 135 000 |  1997  |  320 000 км  |  1.5 MT (90 л.с.)универсал, бензин, передний  | Ливны | 18.01.15
1006982699-653d | http://is17.auto.ru/all/images/2a/f5/60x45/2af5a2b6.jpg |  Honda Civic VI1.6 MT (160 л.с.)  | #000000 | 248 000 |  1999  |  150 000 км  |  1.6 MT (160 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
1006982447-5db39d | http://is17.auto.ru/all/images/3a/2b/60x45/3a2b468d.jpg |  Honda Civic VI1.6 AT (105 л.с.)  | #0000FF | 200 000 |  2000  |  165 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006981947-b69b09 | http://is12.auto.ru/all/images/a6/f2/60x45/a6f20561.jpg |  Honda Civic VIII Hybrid1.3hyb CVT (95 л.с.)  | #CACECB | 500 000 |  2008  |  106 000 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Ковров | 18.01.15
1004494009-09ee | http://is3.auto.ru/all/images/49/b2/60x45/49b2b859.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #000000 | 650 000 |  2010  |  82 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Рязань | 18.01.15
1006868017-e36154 | http://is3.auto.ru/all/images/80/d4/60x45/80d4d11c.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #FF0000 | 470 000 |  2008  |  93 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Пермь | 18.01.15
1000786496-8f8d0 | http://is13.auto.ru/all/images/e4/f8/60x45/e4f874c5.jpg |  Honda Civic VI1.5 MT (115 л.с.)  | #34ba2b | 175 000 |  1999  |  260 000 км  |  1.5 MT (115 л.с.)универсал, бензин, передний  | Керчь | 18.01.15
1006920599-1de658 | /i/all7/img/no-photo-thumb.gif |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #FFFFFF | 550 000 |  2009  |  115 400 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Ростов-на-Дону | 18.01.15
1001403066-93bad9 | http://is8.auto.ru/all/images/ae/dc/60x45/aedcb674.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #CACECB | 420 000 |  2006  |  129 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Рязань | 18.01.15
1006152805-3095f | http://is9.auto.ru/all/images/36/a0/60x45/36a0938a.jpg |  Honda Civic VII Рестайлинг1.7 AT (125 л.с.)  | #FF0000 | 300 000 |  2005  |  132 000 км  |  1.7 AT (125 л.с.)купе, бензин, передний  | Кострома | 18.01.15
1006937799-8ed8e | /i/all7/img/no-photo-thumb.gif |  Honda Civic VIII1.8 MT (140 л.с.)  | #0000FF | 450 000 |  2007  |  45 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006624947-91f114 | http://is16.auto.ru/all/images/19/ad/60x45/19ad59c6.jpg |  Honda Civic VIII Hybrid1.3hyb CVT (95 л.с.)  | #9c9999 | 349 000 |  2007  |  78 000 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Москва | 18.01.15
1006937065-11dbaa | http://is18.auto.ru/all/images/a6/ac/60x45/a6ac6796.jpg |  Honda Civic VI1.4 AT (90 л.с.)  | #FF0000 | 155 000 |  1996  |  320 000 км  |  1.4 AT (90 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1001669640-acce | http://is5.auto.ru/all/images/23/12/60x45/23124aaa.jpg |  Honda Civic VIII Рестайлинг1.8 MT (140 л.с.)  | #000000 | 520 000 |  2009  |  110 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Тула | 17.01.15
45389760-9b3a8d | http://is1.auto.ru/all/images/04/45/60x45/0445144e.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #926547 | 850 000 |  2012  |  50 000 км  |  1.8 AT (142 л.с.)хэтчбек, бензин, передний  | Москва | 17.01.15
1006936643-5752 | http://is4.auto.ru/all/images/22/0c/60x45/220caf57.jpg |  Honda Civic VIII Рестайлинг Hybrid1.3hyb CVT (95 л.с.)  | #0000FF | 915 600 |  2010  |  50 000 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Ростов-на-Дону | 17.01.15
1006936139-a4d66 | http://is11.auto.ru/all/images/a1/f5/60x45/a1f58042.jpg |  Honda Civic VI1.5 MT (115 л.с.)  | #CACECB | 149 000 |  1998  |  99 999 км  |  1.5 MT (115 л.с.)хэтчбек, бензин, передний  | Трубчевск | 17.01.15
1006690299-018a9e | http://is6.auto.ru/all/images/93/e0/60x45/93e064ba.jpg |  Honda Civic VI1.5 MT (115 л.с.)  | #FFFFFF | 225 000 |  1997  |  215 000 км  |  1.5 MT (115 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006936173-f4ce | http://is12.auto.ru/all/images/92/bd/60x45/92bdf958.jpg |  Honda Civic VIII Рестайлинг1.8 MT (140 л.с.)  | #9c9999 | 480 000 |  2009  |  98 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Череповец | 17.01.15
1005969841-69765e | http://is9.auto.ru/all/images/ae/fa/60x45/aefa55ae.jpg |  Honda Civic V1.5 MT (90 л.с.)  | #34ba2b | 45 000 |  1995  |  250 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 17.01.15
1006925201-d9b6 | http://is8.auto.ru/all/images/d6/f0/60x45/d6f056e8.jpg |  Honda Civic VIII Рестайлинг1.8 MT (140 л.с.)  | #CACECB | 510 000 |  2008  |  78 500 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Каневская | 17.01.15
1006933957-5fb7 | http://is4.auto.ru/all/images/16/a5/60x45/16a55813.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #0000FF | 460 000 |  2007  |  94 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Нижневартовск | 17.01.15
1006933851-38113 | http://is10.auto.ru/all/images/b5/69/60x45/b569a8fe.jpg |  Honda Civic V1.5 MT (101 л.с.)  | #9966CC | 190 000 |  1994  |  345 000 км  |  1.5 MT (101 л.с.)купе, бензин, передний  | Пушкино | 17.01.15
1006932853-a849c | http://is17.auto.ru/all/images/85/33/60x45/85333955.jpg |  Honda Civic VII1.7 AT (125 л.с.)  | #34ba2b | 290 000 |  2002  |  130 000 км  |  1.7 AT (125 л.с.)седан, бензин, передний  | Астрахань | 17.01.15
1006159187-e44c79 | http://is18.auto.ru/all/images/6e/e2/60x45/6ee27c85.jpg |  Honda Civic IX Рестайлинг1.8 AT (142 л.с.)  | #ffefd5 | 1 128 000 |  2014  |  9 290 км  |  1.8 AT (142 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006930625-5813f4 | http://is16.auto.ru/all/images/b4/b5/60x45/b4b5b24d.jpg |  Honda Civic VII1.4 MT (90 л.с.)  | #000000 | 189 000 |  2002  |  175 000 км  |  1.4 MT (90 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 17.01.15
1006459655-22bbb | http://is8.auto.ru/all/images/2d/bd/60x45/2dbdfc56.jpg |  Honda Civic VIII Hybrid1.3hyb CVT (95 л.с.)  | #CACECB | 474 000 |  2008  |  104 709 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Москва | 17.01.15
1006929039-f3792 | http://is5.auto.ru/all/images/f0/e2/60x45/f0e2c96e.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 500 000 |  2009  |  92 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006440273-e31f | http://is8.auto.ru/all/images/43/91/60x45/43915866.jpg |  Honda Civic IX Рестайлинг1.8 AT (142 л.с.)  | #9c9999 | 1 240 000 |  2014  |  14 000 км  |  1.8 AT (142 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006205871-878c | http://is16.auto.ru/all/images/e1/4c/60x45/e14c82d7.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #000000 | 420 000 |  2007  |  157 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Москва | 17.01.15
48544520-1c085 | http://is3.auto.ru/all/images/39/83/60x45/3983f717.jpg |  Honda Civic VI1.4 MT (90 л.с.)  | #0000FF | 125 000 |  1998  |  300 000 км  |  1.4 MT (90 л.с.)седан, бензин, передний  | Курск | 17.01.15
1006924713-bc401 | http://is18.auto.ru/all/images/51/39/60x45/5139b70e.jpg |  Honda Civic V1.6 MT (125 л.с.)  | #FF0000 | 150 000 |  1992  |  60 000 км  |  1.6 MT (125 л.с.)хэтчбек, бензин, передний  | Истра | 17.01.15
1006920571-2ab2d5 | /i/all7/img/no-photo-thumb.gif |  Honda Civic VIII1.8 AT (140 л.с.)  | #9c9999 | 540 000 |  2008  |  109 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006924319-500b | /i/all7/img/no-photo-thumb.gif |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #ffefd5 | 540 000 |  2009  |  62 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006616467-6cd122 | http://is14.auto.ru/all/images/48/32/60x45/4832cd8c.jpg |  Honda Civic IX Рестайлинг1.8 AT (142 л.с.)  | #FFFFFF | 970 000 |  2014  |  1 000 км  |  1.8 AT (142 л.с.)седан, бензин, передний  | Пенза | 17.01.15
1006262545-9940 | http://is8.auto.ru/all/images/c7/21/60x45/c721cd09.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #9c9999 | 435 000 |  2007  |  122 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006921863-5ca5de | http://is6.auto.ru/all/images/90/9d/60x45/909d3130.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #000000 | 790 000 |  2012  |  48 500 км  |  1.8 AT (142 л.с.)седан, бензин, передний  | Тула | 17.01.15
1005104517-15a2 | http://is2.auto.ru/all/images/92/ea/60x45/92eab6b3.jpg |  Honda Civic VI1.4 MT (90 л.с.)  | #000000 | 250 000 |  2001  |  155 000 км  |  1.4 MT (90 л.с.)хэтчбек, бензин, передний  | Малоярославец | 17.01.15
1006902637-3ae0 | http://is2.auto.ru/all/images/a4/02/60x45/a4022d0d.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.) AMT  | #ffefd5 | 490 000 |  2009  |  80 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Москва | 17.01.15
46056580-c21ae | http://is13.auto.ru/all/images/d3/cc/60x45/d3cc72e6.jpg |  Honda Civic VIII Hybrid1.3hyb CVT (95 л.с.)  | #926547 | 490 000 |  2009  |  114 000 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Санкт-Петербург | 17.01.15
