1006524537-9c39 | http://is5.auto.ru/all/images/0a/1d/60x45/0a1d0064.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 265 000 |  2006  |  47 382 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1001755223-6656fd | http://is15.auto.ru/all/images/e9/09/60x45/e9097cf8.jpg |  Nissan Almera II (N16)1.8 AT (114 л.с.)  | #CACECB | 245 000 |  2001  |  250 000 км  |  1.8 AT (114 л.с.)седан, бензин, передний  | Владимир | 21.01.15
1006902331-3b632 | http://is11.auto.ru/all/images/33/17/60x45/3317b866.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 679 000 |  2014  |  1 001 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1007183467-a248 | http://is9.auto.ru/all/images/27/df/60x45/27dfa144.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 660 000 |  2013  |  21 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Нижний Новгород | 21.01.15
1007182907-4f8925 | http://is12.auto.ru/all/images/d4/0b/60x45/d40b75f1.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #CACECB | 185 000 |  2001  |  157 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Рыбинск | 21.01.15
1005392761-57f08 | http://is18.auto.ru/all/images/e2/c2/60x45/e2c2f8ab.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #0000FF | 95 000 |  1998  |  201 000 км  |  1.6 MT (99 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007181389-b8db1 | http://is5.auto.ru/all/images/9a/8f/60x45/9a8f3662.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 265 000 |  2005  |  140 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Омск | 21.01.15
1007181117-9f1f8 | http://is17.auto.ru/all/images/59/f6/60x45/59f69b9c.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CACECB | 215 000 |  2004  |  125 800 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007170137-fee1d7 | http://is9.auto.ru/all/images/f9/b9/60x45/f9b9eba7.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 285 000 |  2006  |  115 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1006414509-7850 | http://is14.auto.ru/all/images/93/75/60x45/93758180.jpg |  Nissan Almera I (N15)1.6 AT (99 л.с.)  | #FF0000 | 140 000 |  1996  |  192 000 км  |  1.6 AT (99 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007181513-41b7c5 | http://is14.auto.ru/all/images/63/1c/60x45/631cbcdf.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 599 000 |  2014  |  16 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Вологда | 21.01.15
1007179215-c12c7 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CACECB | 300 000 |  2005  |  206 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Балашиха | 21.01.15
1007177923-5370 | http://is14.auto.ru/all/images/8f/fa/60x45/8ffae94f.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #9c9999 | 125 000 |  1999  |  188 000 км  |  1.6 MT (99 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007179257-df5b | http://is8.auto.ru/all/images/63/57/60x45/63572cb9.jpg |  Nissan Almera II (N16)1.8 MT (114 л.с.)  | #000000 | 180 000 |  2001  |  250 000 км  |  1.8 MT (114 л.с.)седан, бензин, передний  | Иваново | 21.01.15
1005693625-51d9 | http://is9.auto.ru/all/images/81/5c/60x45/815c936f.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #CACECB | 250 000 |  2001  |  130 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Ярославль | 21.01.15
1002944498-6e266 | http://is14.auto.ru/all/images/e4/35/60x45/e435a4db.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #CACECB | 110 000 |  1998  |  196 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007175995-496b64 | http://is18.auto.ru/all/images/a3/7d/60x45/a37d5f07.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 536 999 |  2014  |  1 001 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1007038895-77c5bb | http://is8.auto.ru/all/images/f5/3b/60x45/f53b70b5.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 599 000 |  2014  |  16 200 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Вологда | 21.01.15
1007175983-6768b4 | http://is7.auto.ru/all/images/cb/a4/60x45/cba41073.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0000FF | 185 000 |  2000  |  200 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Курск | 21.01.15
47615758-a30211 | http://is7.auto.ru/all/images/02/2e/60x45/022e0adf.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 300 000 |  2005  |  120 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Орел | 21.01.15
1006206261-f83d12 | http://is17.auto.ru/all/images/a2/5d/60x45/a25de535.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 250 000 |  2005  |  120 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007108875-dc2c5 | http://is5.auto.ru/all/images/5e/a9/60x45/5ea92af7.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 505 000 |  2014  |  1 160 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Ржев | 21.01.15
1007173665-b2538d | http://is16.auto.ru/all/images/a1/7c/60x45/a17c57bb.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #FF0000 | 158 000 |  2000  |  127 000 км  |  1.6 MT (99 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007052719-1ef2e4 | http://is16.auto.ru/all/images/0f/77/60x45/0f779a0a.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #9c9999 | 509 000 |  2014  |  7 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 21.01.15
1000779180-3375 | http://is6.auto.ru/all/images/c7/3d/60x45/c73d7dfc.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #CACECB | 600 000 |  2013  |  3 800 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1006926341-3f523c | http://is17.auto.ru/all/images/3d/b4/60x45/3db467c0.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 350 000 |  2006  |  36 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007171955-0ecfb | http://is17.auto.ru/all/images/f4/d5/60x45/f4d5d39b.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 260 000 |  2004  |  120 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Брянск | 21.01.15
1007171905-e9a0 | http://is7.auto.ru/all/images/cf/71/60x45/cf71cd25.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 180 000 |  2005  |  140 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007148893-8de4b | http://is1.auto.ru/all/images/2d/a2/60x45/2da20b7d.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 267 700 |  2006  |  97 671 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007103379-b5c2 | http://is4.auto.ru/all/images/5f/d9/60x45/5fd92e97.jpg |  Nissan Almera II (N16)1.8 MT (114 л.с.)  | #9c9999 | 215 000 |  2001  |  150 000 км  |  1.8 MT (114 л.с.)седан, бензин, передний  | Вязьма | 21.01.15
1006261725-a514da | http://is3.auto.ru/all/images/2a/40/60x45/2a40568d.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CACECB | 250 000 |  2004  |  188 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007159651-ac07c3 | http://is4.auto.ru/all/images/af/32/60x45/af326438.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 235 000 |  2006  |  123 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Нижний Новгород | 21.01.15
1007163495-992d | http://is5.auto.ru/all/images/10/6e/60x45/106ed60f.jpg |  Nissan Almera I (N15)1.6 AT (90 л.с.)  | #34ba2b | 110 000 |  1997  |  120 000 км  |  1.6 AT (90 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007049549-cf528 | http://is6.auto.ru/all/images/d4/e9/60x45/d4e9f462.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #CACECB | 495 000 |  2013  |  28 500 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 21.01.15
1005803965-0729a6 | http://is3.auto.ru/all/images/db/d2/60x45/dbd20810.jpg |  Nissan Almera II (N16)1.8 AT (114 л.с.)  | #FF0000 | 215 000 |  2000  |  169 000 км  |  1.8 AT (114 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1005582687-1a018 | http://is9.auto.ru/all/images/e6/69/60x45/e6698ded.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #ffefd5 | 295 000 |  2005  |  92 500 км  |  1.8 MT (116 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1006859399-530ca0 | http://is2.auto.ru/all/images/52/5a/60x45/525ab177.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #9c9999 | 600 000 |  2014  |  1 300 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007159683-69ba28 | http://is16.auto.ru/all/images/f8/c0/60x45/f8c0e119.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 205 000 |  2005  |  112 277 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1006994571-e005b8 | http://is8.auto.ru/all/images/d8/36/60x45/d83609ca.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #0088ff | 264 000 |  2006  |  5 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 21.01.15
1004165495-6ba3ce | http://is4.auto.ru/all/images/a6/de/60x45/a6dec852.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 174 000 |  2006  |  146 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Киров | 21.01.15
1007158739-3f881 | http://is18.auto.ru/all/images/b3/54/60x45/b354e1d2.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 273 000 |  2006  |  139 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Самара | 21.01.15
1004822681-a99e | http://is17.auto.ru/all/images/34/6c/60x45/346c19fd.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 575 000 |  2014  |  1 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Тольятти | 21.01.15
1004822765-7e42f | http://is1.auto.ru/all/images/0b/b4/60x45/0bb4334b.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #CACECB | 580 000 |  2014  |  1 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Тольятти | 21.01.15
1006522011-4887 | http://is12.auto.ru/all/images/df/19/60x45/df19ea43.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 275 000 |  2005  |  93 600 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Октябрьский | 21.01.15
1006515971-88877b | http://is2.auto.ru/all/images/b6/06/60x45/b606de26.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 245 000 |  2005  |  112 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007157417-5bc7 | http://is4.auto.ru/all/images/ec/5d/60x45/ec5d2968.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 267 000 |  2005  |  114 597 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 21.01.15
1007156803-bbd0f | http://is2.auto.ru/all/images/0c/2c/60x45/0c2c8d10.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 560 000 |  2013  |  25 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Екатеринбург | 21.01.15
1007156205-ac506b | http://is18.auto.ru/all/images/47/48/60x45/47481083.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 233 333 |  2004  |  99 856 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007154339-0c4b | http://is7.auto.ru/all/images/6c/d0/60x45/6cd0785e.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 269 888 |  2005  |  171 200 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1007152379-30229 | http://is18.auto.ru/all/images/a7/b1/60x45/a7b179ba.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 255 555 |  2003  |  126 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
32993068-1911 | http://is9.auto.ru/all/images/0b/b9/60x45/0bb9ddf5.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #0000FF | 595 000 |  2013  |  45 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007140635-75b72 | http://is10.auto.ru/all/images/5d/b8/60x45/5db8af64.jpg |  Nissan Almera I (N15)1.6 AT (90 л.с.)  | #000000 | 169 999 |  1999  |  174 280 км  |  1.6 AT (90 л.с.)седан, бензин, передний  | Вологда | 21.01.15
1007120493-f04ef3 | http://is18.auto.ru/all/images/16/3d/60x45/163d17a3.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 220 000 |  2002  |  130 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1006992389-90aefd | http://is3.auto.ru/all/images/40/73/60x45/4073edbf.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 269 999 |  2006  |  118 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007119399-5dafb | http://is3.auto.ru/all/images/a0/8c/60x45/a08cc038.jpg |  Nissan Almera I (N15)1.6 MT (90 л.с.)  | #FF0000 | 80 000 |  1998  |  200 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Белгород | 21.01.15
1007057587-8e60a8 | http://is12.auto.ru/all/images/51/db/60x45/51db2e40.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #0000FF | 299 999 |  2005  |  115 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1006993637-0896 | http://is11.auto.ru/all/images/37/a7/60x45/37a7d863.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #0000FF | 478 000 |  2013  |  25 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007119053-371c | http://is17.auto.ru/all/images/f8/8d/60x45/f88d6614.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #CACECB | 200 000 |  1999  |  240 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Задонск | 21.01.15
47043278-d0255 | http://is17.auto.ru/all/images/a9/ee/60x45/a9ee0159.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 250 000 |  2005  |  125 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1007055869-367c8 | http://is3.auto.ru/all/images/d7/fe/60x45/d7fe9c61.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 270 000 |  2006  |  140 000 км  |  1.8 MT (116 л.с.)хэтчбек, бензин, передний  | Тула | 20.01.15
1007116793-f56e8 | http://is10.auto.ru/all/images/f6/14/60x45/f6149800.jpg |  Nissan Almera I (N15)1.6 MT (90 л.с.)  | #9c9999 | 85 000 |  1995  |  415 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Нижний Новгород | 20.01.15
1000240093-394d3 | http://is6.auto.ru/all/images/bd/6d/60x45/bd6d2888.jpg |  Nissan Almera I (N15)2.0 MT (143 л.с.)  | #000000 | 130 000 |  1996  |  300 000 км  |  2.0 MT (143 л.с.)хэтчбек, бензин, передний  | Тула | 20.01.15
1007114415-95d23 | http://is9.auto.ru/all/images/ae/3a/60x45/ae3ac492.jpg |  Nissan Almera I (N15)1.6 AT (90 л.с.)  | #FF0000 | 79 000 |  1997  |  280 000 км  |  1.6 AT (90 л.с.)седан, бензин, передний  | Ярославль | 20.01.15
1007115005-b968 | http://is5.auto.ru/all/images/26/74/60x45/2674604d.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 257 000 |  2006  |  193 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Вознесенское | 20.01.15
1007114395-64cd | http://is12.auto.ru/all/images/d2/6f/60x45/d26f7841.jpg |  Nissan Almera I (N15)1.6 MT (90 л.с.)  | #0088ff | 195 000 |  1997  |  158 000 км  |  1.6 MT (90 л.с.)хэтчбек, бензин, передний  | Воронеж | 20.01.15
1007114157-b8dc | http://is3.auto.ru/all/images/08/37/60x45/08378ff0.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CACECB | 205 000 |  2003  |  192 750 км  |  1.8 MT (116 л.с.)хэтчбек, бензин, передний  | Лакинск | 20.01.15
1007113153-a00db | http://is15.auto.ru/all/images/fa/18/60x45/fa18d514.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 265 000 |  2005  |  120 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Новомосковск | 20.01.15
1007112319-9d026c | http://is12.auto.ru/all/images/2b/c7/60x45/2bc7a710.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CACECB | 250 000 |  2003  |  100 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Псков | 20.01.15
1007111697-5638 | http://is16.auto.ru/all/images/fd/33/60x45/fd330af8.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #9c9999 | 130 000 |  1998  |  176 000 км  |  1.6 MT (99 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007112185-964b0e | http://is17.auto.ru/all/images/e0/64/60x45/e064c9f8.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #CACECB | 169 000 |  2000  |  200 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1006943969-3027 | http://is17.auto.ru/all/images/6a/24/60x45/6a241107.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #FF0000 | 110 000 |  1997  |  330 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1006746597-eadc | http://is15.auto.ru/all/images/bc/70/60x45/bc70d503.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FF0000 | 535 000 |  2014  | Новый |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006746703-ddf9 | http://is18.auto.ru/all/images/02/67/60x45/0267f5ca.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #9966CC | 570 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 20.01.15
44388252-994d | http://is8.auto.ru/all/images/cd/15/60x45/cd151314.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 560 000 |  2014  |  9 900 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Новомосковск | 20.01.15
1007045287-371e | http://is2.auto.ru/all/images/90/48/60x45/9048ae41.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 270 000 |  2006  |  86 800 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Ногинск | 20.01.15
1004707223-d50e4a | http://is2.auto.ru/all/images/89/47/60x45/89472a3b.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 332 520 |  2005  |  123 333 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 20.01.15
1005978419-4d42 | http://is3.auto.ru/all/images/aa/2a/60x45/aa2a364a.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 335 000 |  2004  |  144 462 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006925489-241b1 | http://is15.auto.ru/all/images/5a/b6/60x45/5ab607d3.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 250 000 |  2006  |  123 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Феодосия | 20.01.15
1006930493-604f | http://is18.auto.ru/all/images/10/d3/60x45/10d329b5.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 299 999 |  2006  |  160 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1007108411-95b1 | http://is11.auto.ru/all/images/9c/df/60x45/9cdf3c5b.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CACECB | 245 000 |  2004  |  120 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007108423-c3d3 | http://is14.auto.ru/all/images/a5/6b/60x45/a56b9e68.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 270 000 |  2005  |  111 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 20.01.15
1006573763-9941 | http://is2.auto.ru/all/images/20/72/60x45/207249e9.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 239 000 |  2005  |  121 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1005632065-4928 | http://is18.auto.ru/all/images/79/e3/60x45/79e3b157.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 433 200 |  2006  |  129 607 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 20.01.15
1002078217-b7ee71 | http://is11.auto.ru/all/images/85/f9/60x45/85f9b22c.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 349 860 |  2004  |  150 166 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007106519-428e | http://is9.auto.ru/all/images/93/1c/60x45/931ca7e8.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #0000FF | 120 000 |  2000  |  200 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Курск | 20.01.15
1007097471-a7dd01 | http://is15.auto.ru/all/images/ef/22/60x45/ef228539.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 270 000 |  2002  |  180 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Раменское | 20.01.15
1006517743-ce6498 | http://is17.auto.ru/all/images/fa/ea/60x45/faea3660.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 224 000 |  2005  |  152 300 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007103065-38de4 | http://is11.auto.ru/all/images/32/e1/60x45/32e1ef88.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #0000FF | 270 000 |  2006  |  135 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007101717-132d | http://is12.auto.ru/all/images/13/29/60x45/1329770c.jpg |  Nissan Almera II (N16)1.8 MT (114 л.с.)  | #CACECB | 120 000 |  2001  |  243 000 км  |  1.8 MT (114 л.с.)хэтчбек, бензин, передний  | Вязники | 20.01.15
1007098577-a91a | http://is14.auto.ru/all/images/6b/fe/60x45/6bfee259.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 639 000 |  2014  |  10 963 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006875737-48d40 | http://is11.auto.ru/all/images/54/96/60x45/54969a31.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 249 000 |  2006  |  148 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Тверь | 20.01.15
1005709621-dd0e60 | http://is6.auto.ru/all/images/57/bf/60x45/57bf3f3b.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 700 000 |  2014  |  9 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007099671-cdd0 | http://is8.auto.ru/all/images/24/80/60x45/2480d273.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 295 000 |  2005  |  210 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Зубова Поляна | 20.01.15
1006981913-6bcd10 | http://is10.auto.ru/all/images/a3/5b/60x45/a35bdebf.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #34ba2b | 238 000 |  2004  |  95 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007097775-655e | http://is13.auto.ru/all/images/bf/5b/60x45/bf5be3b5.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 220 000 |  2005  |  89 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Магнитогорск | 20.01.15
1007098023-58ff | http://is13.auto.ru/all/images/c6/a7/60x45/c6a719ca.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 220 000 |  2003  |  220 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Зеленоград | 20.01.15
1006633831-6dc3d3 | http://is8.auto.ru/all/images/47/1f/60x45/471fbad5.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #9c9999 | 400 000 |  2013  |  8 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007095931-ce5f | http://is5.auto.ru/all/images/2e/d1/60x45/2ed1e6bf.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #0000FF | 142 000 |  1998  |  248 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Тула | 20.01.15
14159470-281527 | http://is9.auto.ru/all/images/b2/de/60x45/b2de2fce.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #9c9999 | 150 000 |  2000  |  350 000 км  |  1.6 MT (99 л.с.)седан, бензин, передний  | Дубна | 20.01.15
1005705761-8c58a9 | http://is9.auto.ru/all/images/49/22/60x45/49220438.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #ffefd5 | 330 000 |  2004  |  161 000 км  |  1.8 AT (116 л.с.)хэтчбек, бензин, передний  | Хотьково | 20.01.15
1007086029-7e5dc | http://is1.auto.ru/all/images/7a/4f/60x45/7a4f8ecb.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 315 500 |  2006  |  64 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 20.01.15
