1005759681-b680 | http://is12.auto.ru/all/images/14/5e/60x45/145e6411.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #FF0000 | 110 000 |  1985  |  125 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Новочеркасск | 22.01.15
1007140615-d746 | http://is6.auto.ru/all/images/c5/71/60x45/c57166d1.jpg |  Volkswagen Touareg II Рестайлинг3.0d AT (245 л.с.) 4WD  | #FFFFFF | 3 150 000 |  2014  |  2 464 км  |  3.0d AT (245 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 21.01.15
1007140503-840f | http://is18.auto.ru/all/images/11/a3/60x45/11a3ee41.jpg |  Volkswagen Golf Plus I1.6 AT (102 л.с.)  | #FF0000 | 499 000 |  2008  |  103 500 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007140521-8d005f | http://is2.auto.ru/all/images/f9/c6/60x45/f9c67e3e.jpg |  Volkswagen Multivan T52.5d AT (131 л.с.)  | #CACECB | 1 290 000 |  2008  |  72 630 км  |  2.5d AT (131 л.с.)минивэн, дизель, передний  | Москва | 21.01.15
1007140451-f90c4 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Caravelle T5 Рестайлинг 4MOTION2.0d MT (140 л.с.) 4WD  | #FFFFFF | 1 790 000 |  2013  |  1 070 км  |  2.0d MT (140 л.с.) 4WDминивэн, дизель, полный  | Москва | 21.01.15
1007140601-1e6c | /i/all7/img/no-photo-thumb.gif |  Volkswagen Touareg II3.6 AT (280 л.с.) 4WD  | #000000 | 2 480 000 |  2012  |  10 075 км  |  3.6 AT (280 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 21.01.15
1007137223-f7e9 | http://is14.auto.ru/all/images/29/01/60x45/2901738d.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #ffefd5 | 500 000 |  2011  |  65 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Волгоград | 21.01.15
1007123669-3fa70 | http://is11.auto.ru/all/images/8e/68/60x45/8e689664.jpg |  Volkswagen Touareg I Рестайлинг3.0d AT (224 л.с.) 4WD  | #9c9999 | 955 000 |  2008  |  165 000 км  |  3.0d AT (224 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 21.01.15
1004852989-c9ca9 | http://is16.auto.ru/all/images/4e/eb/60x45/4eeb904d.jpg |  Volkswagen Golf V1.6 MT (115 л.с.)  | #CACECB | 365 000 |  2004  |  103 000 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Армавир | 21.01.15
1007119605-69546 | http://is16.auto.ru/all/images/8f/18/60x45/8f18cf48.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 495 000 |  2011  |  39 876 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Тверь | 21.01.15
43362948-5a231d | http://is9.auto.ru/all/images/9b/08/60x45/9b083fd2.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #0000FF | 499 999 |  2007  |  130 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1006625301-25c90f | http://is4.auto.ru/all/images/ef/b3/60x45/efb367af.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #000000 | 819 448 |  2012  |  36 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007119503-980df7 | http://is8.auto.ru/all/images/44/94/60x45/449475c5.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #CACECB | 650 000 |  2011  |  80 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Воронеж | 21.01.15
1007119215-4cd3 | http://is3.auto.ru/all/images/15/16/60x45/1516bf9a.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #000000 | 248 000 |  2002  |  187 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007095989-0b92d | http://is6.auto.ru/all/images/f0/00/60x45/f0002d29.jpg |  Volkswagen Touareg II3.6 AT (249 л.с.) 4WD  | #926547 | 2 099 000 |  2011  |  45 000 км  |  3.6 AT (249 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 21.01.15
1007119095-d813 | http://is3.auto.ru/all/images/17/f3/60x45/17f34066.jpg |  Volkswagen Passat B51.9d AT (115 л.с.)  | #FFFFFF | 185 000 |  1999  |  392 700 км  |  1.9d AT (115 л.с.)универсал, дизель, передний  | Сергиев Посад | 21.01.15
1007119345-a0d763 | http://is4.auto.ru/all/images/b5/68/60x45/b568f617.jpg |  Volkswagen Passat B61.6d MT (105 л.с.)  | #9c9999 | 720 000 |  2010  |  54 000 км  |  1.6d MT (105 л.с.)седан, дизель, передний  | Воронеж | 21.01.15
1007119301-18e054 | http://is17.auto.ru/all/images/4b/41/60x45/4b411352.jpg |  Volkswagen Jetta V1.6 MT (102 л.с.)  | #000000 | 560 000 |  2008  |  63 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Воронеж | 21.01.15
1006937077-be2b5 | http://is17.auto.ru/all/images/d8/c0/60x45/d8c0b7b4.jpg |  Volkswagen Golf III1.8 MT (75 л.с.)  | #FFFFFF | 105 000 |  1992  |  212 000 км  |  1.8 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1006986687-0161 | http://is6.auto.ru/all/images/b8/d6/60x45/b8d6cdf5.jpg |  Volkswagen Passat B62.0d AT (140 л.с.)  | #000000 | 553 000 |  2010  |  54 200 км  |  2.0d AT (140 л.с.)универсал, дизель, передний  | Москва | 21.01.15
1006518497-07e29b | http://is2.auto.ru/all/images/6a/29/60x45/6a293dca.jpg |  Volkswagen Passat B31.8 MT (112 л.с.)  | #0000FF | 85 000 |  1991  |  345 276 км  |  1.8 MT (112 л.с.)универсал, бензин, передний  | Углич | 21.01.15
1006683031-f548 | http://is6.auto.ru/all/images/e4/52/60x45/e452deaa.jpg |  Volkswagen Touareg I Рестайлинг2.5d AT (174 л.с.) 4WD  | #000000 | 980 000 |  2008  |  128 000 км  |  2.5d AT (174 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 21.01.15
42594548-86b9 | http://is16.auto.ru/all/images/2b/4d/60x45/2b4d9aff.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #926547 | 595 000 |  2006  |  147 000 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Смоленск | 21.01.15
1006522501-1b5d | http://is2.auto.ru/all/images/e6/67/60x45/e667be65.jpg |  Volkswagen Touareg I Рестайлинг3.6 AT (280 л.с.) 4WD  | #000000 | 905 000 |  2007  |  226 000 км  |  3.6 AT (280 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 21.01.15
1006797777-74602 | http://is11.auto.ru/all/images/ea/7d/60x45/ea7d5623.jpg |  Volkswagen Passat B5 Рестайлинг1.9d AT (130 л.с.)  | #CACECB | 290 000 |  2001  |  237 000 км  |  1.9d AT (130 л.с.)универсал, дизель, передний  | Москва | 21.01.15
1007118935-12d8 | http://is9.auto.ru/all/images/2c/a2/60x45/2ca2613f.jpg |  Volkswagen Passat B5 Рестайлинг2.8 AT (193 л.с.) 4WD  | #9c9999 | 410 000 |  2002  |  240 000 км  |  2.8 AT (193 л.с.) 4WDседан, бензин, полный  | Зеленоград | 21.01.15
1007119251-f209e | http://is9.auto.ru/all/images/bc/3e/60x45/bc3ee274.jpg |  Volkswagen Passat B62.0d AT (122 л.с.)  | #9c9999 | 410 000 |  2007  |  160 000 км  |  2.0d AT (122 л.с.)универсал, дизель, передний  | Санкт-Петербург | 21.01.15
1007118737-a053 | http://is11.auto.ru/all/images/30/0a/60x45/300ab791.jpg |  Volkswagen Passat B62.0d MT (140 л.с.)  | #9c9999 | 590 000 |  2008  |  115 000 км  |  2.0d MT (140 л.с.)универсал, дизель, передний  | Курск | 21.01.15
1007118897-931dd4 | http://is8.auto.ru/all/images/b0/f3/60x45/b0f3cf23.jpg |  Volkswagen Golf III2.0 MT (115 л.с.)  | #34ba2b | 155 000 |  1996  |  192 000 км  |  2.0 MT (115 л.с.)хэтчбек, бензин, передний  | Владимир | 21.01.15
1004779031-f0b4a5 | http://is3.auto.ru/all/images/c3/0e/60x45/c30efc1b.jpg |  Volkswagen Polo III1.6 MT (75 л.с.)  | #0000FF | 179 000 |  1999  |  112 000 км  |  1.6 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1007119077-33cbe | http://is15.auto.ru/all/images/51/69/60x45/5169aff9.jpg |  Volkswagen Multivan T52.5d AT (174 л.с.)  | #FFFFFF | 1 300 000 |  2008  |  156 000 км  |  2.5d AT (174 л.с.)минивэн, дизель, передний  | Северодвинск | 21.01.15
1004631651-505975 | http://is2.auto.ru/all/images/c7/19/60x45/c7197875.jpg |  Volkswagen Touareg I3.2 AT (241 л.с.) 4WD  | #9c9999 | 650 000 |  2005  |  125 000 км  |  3.2 AT (241 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 21.01.15
1002800849-fbf3 | http://is15.auto.ru/all/images/0b/2f/60x45/0b2f6503.jpg |  Volkswagen Touareg I Рестайлинг3.0d AT (240 л.с.) 4WD  | #CACECB | 1 350 000 |  2010  |  130 000 км  |  3.0d AT (240 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 21.01.15
1006369331-0edb01 | http://is14.auto.ru/all/images/e4/ef/60x45/e4ef6ae5.jpg |  Volkswagen Eos I2.0 MT (150 л.с.)  | #000000 | 580 000 |  2006  |  134 000 км  |  2.0 MT (150 л.с.)кабриолет, бензин, передний  | Москва | 21.01.15
1006369121-a1bd | http://is15.auto.ru/all/images/80/c7/60x45/80c7cac3.jpg |  Volkswagen Transporter T51.9d MT (105 л.с.)  | #FFFFFF | 630 000 |  2008  |  199 000 км  |  1.9d MT (105 л.с.)минивэн, дизель, передний  | Москва | 21.01.15
1007118983-cfa1 | http://is17.auto.ru/all/images/50/7e/60x45/507eb7d3.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (150 л.с.)  | #000000 | 350 000 |  2004  |  220 000 км  |  1.8 AT (150 л.с.)седан, бензин, передний  | Ярославль | 21.01.15
1007118959-13d1 | http://is9.auto.ru/all/images/35/93/60x45/359398c8.jpg |  Volkswagen Passat B31.8 MT (90 л.с.)  | #FF0000 | 100 000 |  1992  |  310 000 км  |  1.8 MT (90 л.с.)седан, бензин, передний  | Тамбов | 21.01.15
38170500-5e57 | http://is8.auto.ru/all/images/d0/1e/60x45/d01e4a2e.jpg |  Volkswagen Tiguan I1.4 MT (150 л.с.) 4WD  | #0000FF | 700 000 |  2008  |  91 000 км  |  1.4 MT (150 л.с.) 4WDвнедорожник, бензин, полный  | Тверь | 21.01.15
48952704-3c32b | http://is7.auto.ru/all/images/66/1a/60x45/661a40c9.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #9c9999 | 815 000 |  2012  |  55 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007118241-0d84 | http://is2.auto.ru/all/images/7e/24/60x45/7e246d22.jpg |  Volkswagen Jetta V1.6 AT (102 л.с.)  | #0000FF | 420 000 |  2006  |  94 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Тамбов | 21.01.15
1006988515-797a8 | http://is17.auto.ru/all/images/16/6b/60x45/166bc2b2.jpg |  Volkswagen Passat B61.8 AT (160 л.с.)  | #0088ff | 629 900 |  2008  |  152 202 км  |  1.8 AT (160 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007118447-45b76 | http://is1.auto.ru/all/images/ab/07/60x45/ab0707c9.jpg |  Volkswagen Golf Plus I1.9d MT (105 л.с.)  | #000000 | 450 000 |  2008  |  222 000 км  |  1.9d MT (105 л.с.)хэтчбек, дизель, передний  | Смоленск | 21.01.15
1007118049-842689 | http://is17.auto.ru/all/images/85/16/60x45/8516ba9e.jpg |  Volkswagen Passat CC I1.8 MT (152 л.с.)  | #ffefd5 | 769 000 |  2010  |  106 000 км  |  1.8 MT (152 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007118269-8468 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #0000FF | 450 000 |  2012  |  30 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Домодедово | 21.01.15
1005649649-ae4307 | http://is6.auto.ru/all/images/55/7e/60x45/557ef323.jpg |  Volkswagen Phaeton I3.0d AT (240 л.с.) 4WD  | #926547 | 1 650 000 |  2010  |  80 000 км  |  3.0d AT (240 л.с.) 4WDседан, дизель, полный  | Москва | 21.01.15
1005705387-6102 | http://is8.auto.ru/all/images/54/64/60x45/54640484.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #ffefd5 | 917 781 |  2014  |  73 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Одинцово | 21.01.15
1007118353-b305 | http://is8.auto.ru/all/images/19/88/60x45/19883c7a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 360 000 |  2011  |  95 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007118345-9cb2 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Tiguan I Рестайлинг2.0 AT (170 л.с.) 4WD  | #000000 | 1 050 000 |  2012  |  53 000 км  |  2.0 AT (170 л.с.) 4WDвнедорожник, бензин, полный  | Тула | 21.01.15
1007117725-c4015e | http://is18.auto.ru/all/images/c8/f6/60x45/c8f68e3f.jpg |  Volkswagen Passat B31.8 MT (90 л.с.)  | #FF0000 | 72 000 |  1988  |  418 000 км  |  1.8 MT (90 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007118271-d3d73 | http://is2.auto.ru/all/images/5f/4b/60x45/5f4bc89e.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (170 л.с.)  | #0000FF | 310 000 |  2002  |  167 000 км  |  1.8 AT (170 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1004434627-2891 | http://is17.auto.ru/all/images/26/3e/60x45/263e425c.jpg |  Volkswagen Touareg I Рестайлинг2.5d AT (174 л.с.) 4WD  | #9c9999 | 1 295 005 |  2009  |  64 007 км  |  2.5d AT (174 л.с.) 4WDвнедорожник, дизель, полный  | Тверь | 20.01.15
1007118243-43fe | http://is6.auto.ru/all/images/36/ce/60x45/36cedd35.jpg |  Volkswagen Passat CC I2.0 AT (200 л.с.)  | #ffefd5 | 900 000 |  2009  |  55 000 км  |  2.0 AT (200 л.с.)седан, бензин, передний  | Гомель | 20.01.15
1002422447-e03b | http://is13.auto.ru/all/images/7a/c5/60x45/7ac5aed9.jpg |  Volkswagen Passat B71.8 AT (152 л.с.)  | #926547 | 1 400 000 |  2013  |  8 000 км  |  1.8 AT (152 л.с.)универсал, бензин, передний  | Москва | 20.01.15
1007098549-e5c43f | http://is14.auto.ru/all/images/e6/1b/60x45/e61b20c1.jpg |  Volkswagen Polo III1.4 MT (75 л.с.)  | #000000 | 220 000 |  2001  |  108 000 км  |  1.4 MT (75 л.с.)универсал, бензин, передний  | Санкт-Петербург | 20.01.15
1006465245-77e13 | http://is7.auto.ru/all/images/73/29/60x45/73297f97.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #FFFFFF | 220 000 |  2000  |  223 000 км  |  1.6 MT (101 л.с.)универсал, бензин, передний  | Домодедово | 20.01.15
1006993491-46a749 | http://is7.auto.ru/all/images/46/f5/60x45/46f5adb1.jpg |  Volkswagen Passat B71.8 AT (152 л.с.)  | #000000 | 1 020 000 |  2011  |  90 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006877711-53194a | http://is14.auto.ru/all/images/6f/98/60x45/6f985b37.jpg |  Volkswagen Passat B61.8 AT (160 л.с.)  | #9c9999 | 430 000 |  2008  |  120 000 км  |  1.8 AT (160 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1006624445-5e0f5 | http://is16.auto.ru/all/images/04/66/60x45/046602fc.jpg |  Volkswagen Golf IV1.6 AT (102 л.с.)  | #0000FF | 305 000 |  2003  |  165 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1007117673-df63 | http://is6.auto.ru/all/images/5b/4c/60x45/5b4c69c2.jpg |  Volkswagen Passat B32.0 MT (115 л.с.)  | #FF0000 | 50 000 |  1991  |  500 000 км  |  2.0 MT (115 л.с.)универсал, бензин, передний  | Ярославль | 20.01.15
1006877099-e44a | http://is12.auto.ru/all/images/98/c1/60x45/98c17fda.jpg |  Volkswagen Transporter T5 Рестайлинг2.0d MT (84 л.с.)  | #9c9999 | 950 000 |  2012  |  91 000 км  |  2.0d MT (84 л.с.)минивэн, дизель, передний  | Сосновый Бор | 20.01.15
1007117635-e5a0e | /i/all7/img/no-photo-thumb.gif |  Volkswagen Touareg I2.5d AT (174 л.с.) 4WD  | #000000 | 650 000 |  2005  |  130 000 км  |  2.5d AT (174 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 20.01.15
1007117577-aa79 | http://is9.auto.ru/all/images/92/e6/60x45/92e68092.jpg |  Volkswagen Polo IV1.4 MT (75 л.с.)  | #0000FF | 181 000 |  2001  |  202 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 20.01.15
1006678933-f4e9 | http://is7.auto.ru/all/images/c1/cf/60x45/c1cf3292.jpg |  Volkswagen Golf GTI V2.0 AT (200 л.с.)  | #FF0000 | 560 000 |  2008  |  134 000 км  |  2.0 AT (200 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1007117499-09f7 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Passat B31.8 MT (139 л.с.)  | #000000 | 50 000 |  1991  |  100 000 км  |  1.8 MT (139 л.с.)универсал, бензин, передний  | Солнечногорск | 20.01.15
1006357615-5ecb7 | http://is2.auto.ru/all/images/36/22/60x45/3622cb24.jpg |  Volkswagen Multivan T5 Рестайлинг2.0d AT (180 л.с.)  | #000000 | 1 990 000 |  2010  |  84 000 км  |  2.0d AT (180 л.с.)минивэн, дизель, передний  | Санкт-Петербург | 20.01.15
1007117091-72baf | http://is16.auto.ru/all/images/cc/1a/60x45/cc1a9c03.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #000000 | 200 000 |  1998  |  166 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1006214721-ac1a | http://is2.auto.ru/all/images/23/05/60x45/23053af6.jpg |  Volkswagen Jetta V1.6 AT (102 л.с.)  | #ffefd5 | 390 000 |  2006  |  90 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Бронницы | 20.01.15
1006880239-d8a0fd | http://is18.auto.ru/all/images/b2/8b/60x45/b28b0fad.jpg |  Volkswagen Passat B5 Рестайлинг1.6 MT (102 л.с.)  | #0000FF | 280 000 |  2001  |  175 000 км  |  1.6 MT (102 л.с.)универсал, бензин, передний  | Москва | 20.01.15
1007117035-57ca35 | http://is3.auto.ru/all/images/45/32/60x45/45325d45.jpg |  Volkswagen Touareg I3.2 AT (220 л.с.) 4WD  | #000000 | 560 000 |  2003  |  120 000 км  |  3.2 AT (220 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1006415297-806a6 | http://is16.auto.ru/all/images/89/6c/60x45/896c45ee.jpg |  Volkswagen Touareg I Рестайлинг3.0d AT (224 л.с.) 4WD  | #CACECB | 850 000 |  2007  |  143 000 км  |  3.0d AT (224 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 20.01.15
1006675039-f400d | http://is13.auto.ru/all/images/35/96/60x45/3596e424.jpg |  Volkswagen Passat B62.0d AT (170 л.с.)  | #9c9999 | 820 000 |  2010  |  114 000 км  |  2.0d AT (170 л.с.)универсал, дизель, передний  | Зеленоград | 20.01.15
1006677537-1c61cc | http://is18.auto.ru/all/images/f5/11/60x45/f51142b8.jpg |  Volkswagen Touareg I3.2 AT (220 л.с.) 4WD  | #9c9999 | 540 000 |  2003  |  150 000 км  |  3.2 AT (220 л.с.) 4WDвнедорожник, бензин, полный  | Иваново | 20.01.15
1007117357-70d65 | http://is11.auto.ru/all/images/6a/90/60x45/6a900d40.jpg |  Volkswagen Passat B31.8 MT (90 л.с.)  | #0000FF | 125 000 |  1991  |  370 000 км  |  1.8 MT (90 л.с.)универсал, бензин, передний  | Тверь | 20.01.15
1007115549-bb86 | http://is16.auto.ru/all/images/8a/0c/60x45/8a0c32eb.jpg |  Volkswagen Jetta VI1.6 MT (105 л.с.)  | #0000FF | 930 000 |  2014  |  500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Тула | 20.01.15
1007116487-3211 | http://is13.auto.ru/all/images/4e/35/60x45/4e35f835.jpg |  Volkswagen Passat B61.6 MT (115 л.с.)  | #000000 | 589 000 |  2010  |  75 000 км  |  1.6 MT (115 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
42611418-1d4495 | http://is15.auto.ru/all/images/21/61/60x45/2161272c.jpg |  Volkswagen Transporter T52.5d MT (131 л.с.)  | #FFFFFF | 750 000 |  2006  |  120 000 км  |  2.5d MT (131 л.с.)минивэн, дизель, передний  | Брянск | 20.01.15
1007116867-72c79 | http://is8.auto.ru/all/images/57/bf/60x45/57bf03bf.jpg |  Volkswagen Golf Plus I1.6 MT (102 л.с.)  | #CACECB | 530 000 |  2009  |  42 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Таганрог | 20.01.15
1007101149-87e65 | http://is2.auto.ru/all/images/44/b2/60x45/44b24162.jpg |  Volkswagen Golf III1.8 MT (75 л.с.)  | #9c9999 | 137 000 |  1992  |  222 000 км  |  1.8 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 20.01.15
1007116763-4d2d9 | http://is11.auto.ru/all/images/cd/34/60x45/cd3443dd.jpg |  Volkswagen Passat B61.9d AT  | #0000FF | 363 000 |  2006  |  131 000 км  |  1.9d ATуниверсал, дизель, передний  | Москва | 20.01.15
1007117207-0ff848 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Sharan I2.0 MT (115 л.с.)  | #34ba2b | 230 000 |  1996  |  280 000 км  |  2.0 MT (115 л.с.)минивэн, бензин, передний  | Воронеж | 20.01.15
1007117183-0382c | http://is15.auto.ru/all/images/70/88/60x45/708816c9.jpg |  Volkswagen Passat B51.8 MT (125 л.с.)  | #000000 | 305 000 |  2000  |  205 000 км  |  1.8 MT (125 л.с.)универсал, бензин, передний  | Нововоронеж | 20.01.15
1007116703-1c87 | http://is3.auto.ru/all/images/a7/8e/60x45/a78e5278.jpg |  Volkswagen Jetta VI1.4 AT (150 л.с.)  | #FFFFFF | 850 000 |  2012  |  54 000 км  |  1.4 AT (150 л.с.)седан, бензин, передний  | Назрань | 20.01.15
1007042951-5ccd52 | http://is16.auto.ru/all/images/1e/1f/60x45/1e1fb125.jpg |  Volkswagen Touareg I Рестайлинг2.5d AT (174 л.с.) 4WD  | #ffefd5 | 1 520 000 |  2008  |  36 500 км  |  2.5d AT (174 л.с.) 4WDвнедорожник, дизель, полный  | Нижний Новгород | 20.01.15
1007117169-f9e37 | http://is18.auto.ru/all/images/57/d5/60x45/57d50eef.jpg |  Volkswagen Golf IV2.0 MT (115 л.с.)  | #0000FF | 350 000 |  2002  |  215 000 км  |  2.0 MT (115 л.с.)хэтчбек, бензин, передний  | Северская | 20.01.15
1007109707-5361 | http://is12.auto.ru/all/images/ca/f8/60x45/caf862d5.jpg |  Volkswagen Caddy III1.4 MT (75 л.с.)  | #FFFFFF | 250 000 |  2007  |  380 000 км  |  1.4 MT (75 л.с.)компактвэн, бензин, передний  | Москва | 20.01.15
1007117117-94646c | http://is5.auto.ru/all/images/79/c0/60x45/79c0fd48.jpg |  Volkswagen Golf VII1.4 MT (122 л.с.)  | #FFFFFF | 930 000 |  2013  |  14 999 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Новороссийск | 20.01.15
1007116595-dda7 | http://is3.auto.ru/all/images/5b/f8/60x45/5bf856f1.jpg |  Volkswagen Sharan II2.0d AT (140 л.с.)  | #000000 | 1 743 901 |  2011  |  216 762 км  |  2.0d AT (140 л.с.)минивэн, дизель, передний  | Москва | 20.01.15
1007116579-800407 | http://is12.auto.ru/all/images/03/4d/60x45/034d4ee2.jpg |  Volkswagen Phaeton I Long4.2 AT (335 л.с.) 4WD 5-Seater  | #0000FF | 700 000 |  2004  |  84 000 км  |  4.2 AT (335 л.с.) 4WD 5-Seaterседан, бензин, полный  | Москва | 20.01.15
1005443479-a383 | http://is8.auto.ru/all/images/e1/f2/60x45/e1f22460.jpg |  Volkswagen Touareg I Рестайлинг3.0d AT (240 л.с.) 4WD  | #000000 | 1 050 000 |  2008  |  140 000 км  |  3.0d AT (240 л.с.) 4WDвнедорожник, дизель, полный  | Петрозаводск | 20.01.15
1007117019-a6cdff | http://is9.auto.ru/all/images/ba/a2/60x45/baa29e84.jpg |  Volkswagen Golf IV2.0 MT (115 л.с.)  | #0000FF | 350 000 |  2002  |  215 000 км  |  2.0 MT (115 л.с.)хэтчбек, бензин, передний  | Краснодар | 20.01.15
1007117063-3bb1 | http://is5.auto.ru/all/images/c9/9e/60x45/c99e3987.jpg |  Volkswagen Touareg I Рестайлинг3.6 AT (280 л.с.) 4WD  | #9c9999 | 847 000 |  2007  |  97 000 км  |  3.6 AT (280 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007117013-86dd7 | http://is2.auto.ru/all/images/38/10/60x45/38108d82.jpg |  Volkswagen Touareg I3.2 AT (220 л.с.) 4WD  | #9c9999 | 560 000 |  2003  |  184 720 км  |  3.2 AT (220 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1001358093-148802 | http://is12.auto.ru/all/images/be/04/60x45/be043754.jpg |  Volkswagen Caravelle T5 Рестайлинг Long2.0d MT (140 л.с.) 4WD  | #ffefd5 | 1 822 451 |  2011  |  130 000 км  |  2.0d MT (140 л.с.) 4WDминивэн, дизель, полный  | Бобруйск | 20.01.15
1006937607-4457 | http://is6.auto.ru/all/images/ba/d9/60x45/bad9bc61.jpg |  Volkswagen Passat B61.6 MT (102 л.с.)  | #000000 | 515 000 |  2008  |  90 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Ковров | 20.01.15
49669710-b6f7dd | http://is3.auto.ru/all/images/44/33/60x45/4433ea77.jpg |  Volkswagen Touareg I3.2 AT (220 л.с.) 4WD  | #CACECB | 549 000 |  2004  |  151 000 км  |  3.2 AT (220 л.с.) 4WDвнедорожник, бензин, полный  | Нижний Новгород | 20.01.15
1007116969-2b2c63 | http://is6.auto.ru/all/images/13/95/60x45/13953302.jpg |  Volkswagen Caravelle T4 Long2.5d MT (79 л.с.)  | #FF0000 | 655 558 |  1997  |  594 000 км  |  2.5d MT (79 л.с.)минивэн, дизель, передний  | Барановичи | 20.01.15
1004970551-5075 | http://is8.auto.ru/all/images/52/16/60x45/5216e397.jpg |  Volkswagen Golf VI1.6 MT (102 л.с.)  | #CACECB | 660 000 |  2011  |  47 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Архангельск | 20.01.15
1004349899-bac5a | http://is12.auto.ru/all/images/fd/87/60x45/fd8702b0.jpg |  Volkswagen Caravelle T5 Рестайлинг2.0d MT (102 л.с.)  | #FFFFFF | 1 300 000 |  2012  |  220 000 км  |  2.0d MT (102 л.с.)минивэн, дизель, передний  | Иваново | 20.01.15
