1007233097-89f664 | http://is18.auto.ru/all/images/84/3c/60x45/843c2520.jpg |  ВАЗ Kalina II1.6 MT (98 л.с.)  | #9c9999 | 355 000 |  2014  |  6 385 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Пенза | 23.01.15
1006752475-0c108a | http://is5.auto.ru/all/images/c7/ab/60x45/c7ab58c0.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 160 000 |  2006  |  90 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Рыбинск | 18.01.15
1006937151-fe7dd8 | http://is1.auto.ru/all/images/00/58/60x45/0058cdb5.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 220 000 |  2011  |  81 676 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Козельск | 18.01.15
1006936905-bde8e0 | http://is9.auto.ru/all/images/e2/90/60x45/e290545a.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #FFFFFF | 310 000 |  2012  |  43 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Мичуринск | 17.01.15
1006936427-8004 | http://is6.auto.ru/all/images/97/0e/60x45/970eef7a.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 235 000 |  2013  |  40 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Череповец | 17.01.15
1006935801-ea65c7 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9966CC | 175 000 |  2008  |  48 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Домодедово | 17.01.15
1004335451-b4ed10 | http://is13.auto.ru/all/images/42/ae/60x45/42ae8ebd.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 170 000 |  2008  |  40 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Рязань | 17.01.15
1006935555-d1e08 | http://is6.auto.ru/all/images/70/ca/60x45/70ca7bf7.jpg |  ВАЗ Kalina II Cross1.6 MT (87 л.с.)  | #9c9999 | 444 000 |  2015  |  360 км  |  1.6 MT (87 л.с.)универсал, бензин, передний  | Санкт-Петербург | 17.01.15
1006935471-f6d0a8 | http://is8.auto.ru/all/images/09/e9/60x45/09e9fe06.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #ffefd5 | 235 000 |  2012  |  38 500 км  |  1.4 MT (89 л.с.)седан, бензин, передний  | Ульяновск | 17.01.15
1006934935-f2ba83 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #CACECB | 300 000 |  2011  |  50 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Северодвинск | 17.01.15
1006861193-c2f597 | http://is6.auto.ru/all/images/91/ba/60x45/91ba5750.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 175 000 |  2010  |  80 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006571943-a7b8 | http://is17.auto.ru/all/images/f3/09/60x45/f309dfd1.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 210 000 |  2010  |  43 000 км  |  1.4 MT (89 л.с.)седан, бензин, передний  | Калуга | 17.01.15
1006259907-7ec5f | http://is4.auto.ru/all/images/cb/2c/60x45/cb2ce921.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 145 000 |  2007  |  120 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Тверь | 17.01.15
1005250597-1fb965 | http://is9.auto.ru/all/images/6b/76/60x45/6b769296.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 270 000 |  2012  |  27 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Смоленск | 17.01.15
1006933811-49fe19 | http://is11.auto.ru/all/images/fc/03/60x45/fc035804.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 187 000 |  2008  |  85 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Новомосковск | 17.01.15
1006933723-a70f31 | http://is17.auto.ru/all/images/ab/78/60x45/ab78ba90.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFFFFF | 220 000 |  2010  |  58 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Липецк | 17.01.15
1006933181-72a6d | http://is17.auto.ru/all/images/45/a0/60x45/45a0529a.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #000000 | 250 000 |  2012  |  14 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Орехово-Зуево | 17.01.15
1006927817-16958c | http://is13.auto.ru/all/images/c0/51/60x45/c051f748.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 160 000 |  2006  |  90 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Орел | 17.01.15
1006932773-4b4f | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 210 000 |  2010  |  60 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Рязань | 17.01.15
1006932249-74c8 | http://is5.auto.ru/all/images/c7/b1/60x45/c7b173c7.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 180 000 |  2008  |  65 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Воронеж | 17.01.15
1006931479-a5628e | http://is17.auto.ru/all/images/ad/32/60x45/ad32be3a.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 205 000 |  2010  |  43 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Пенза | 17.01.15
1006931169-f0380 | http://is7.auto.ru/all/images/43/6a/60x45/436ab167.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 135 000 |  2006  |  89 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Нижний Ломов | 17.01.15
1005921721-7dff9e | http://is13.auto.ru/all/images/47/2f/60x45/472f07e1.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 221 000 |  2010  |  34 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Воронеж | 17.01.15
1006930977-ad9be5 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #9c9999 | 260 000 |  2011  |  27 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Москва | 17.01.15
1006930283-3881 | http://is4.auto.ru/all/images/1f/ca/60x45/1fcaca81.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFFFFF | 260 000 |  2012  |  46 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Ростов-на-Дону | 17.01.15
1006310909-f7bef | http://is8.auto.ru/all/images/5b/eb/60x45/5beb57ca.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 170 000 |  2008  |  70 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Ярославль | 17.01.15
1004495773-0c16 | http://is4.auto.ru/all/images/ef/c3/60x45/efc3f19c.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 209 000 |  2011  |  77 269 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Иваново | 17.01.15
1006930017-c785aa | http://is8.auto.ru/all/images/25/d4/60x45/25d407df.jpg |  ВАЗ Kalina I Sport1.4 MT (89 л.с.)  | #CACECB | 215 000 |  2011  |  40 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Ростов-на-Дону | 17.01.15
1006929133-38de | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 165 000 |  2007  |  55 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Ливны | 17.01.15
1006871921-87aa5 | http://is11.auto.ru/all/images/76/97/60x45/7697f09f.jpg |  ВАЗ Kalina I Sport1.6 MT (98 л.с.)  | #FF0000 | 340 000 |  2012  |  54 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Краснодар | 17.01.15
1006927615-cc717a | http://is9.auto.ru/all/images/72/3e/60x45/723ef71a.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFCC00 | 128 000 |  2006  |  92 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Великий Новгород | 17.01.15
1006928081-83d17e | http://is2.auto.ru/all/images/d8/e0/60x45/d8e037ce.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 155 000 |  2006  |  124 800 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Рыбинск | 17.01.15
1006928045-3b3ac0 | http://is2.auto.ru/all/images/f8/30/60x45/f830344d.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 220 000 |  2011  |  71 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Тольятти | 17.01.15
1006927527-18379 | http://is8.auto.ru/all/images/40/77/60x45/40777a61.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 225 000 |  2011  |  58 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 17.01.15
1006568763-a01c72 | http://is15.auto.ru/all/images/a0/51/60x45/a0518aba.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #9c9999 | 175 000 |  2008  |  82 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Москва | 17.01.15
561717-2a0ffd | http://is2.auto.ru/all/images/24/83/60x45/2483bc57.jpg |  ВАЗ Kalina IIMT  | #926547 | 361 300 |  2015  | Новый |  хэтчбек, бензин, передний  | Санкт-Петербург | 17.01.15
1006926377-b3b6 | http://is10.auto.ru/all/images/22/d3/60x45/22d38f71.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #9c9999 | 250 000 |  2011  |  67 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Санкт-Петербург | 17.01.15
1006924339-cdd9 | http://is13.auto.ru/all/images/5c/36/60x45/5c364da3.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 200 000 |  2011  |  56 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Богородск | 17.01.15
1002236033-785f6 | http://is8.auto.ru/all/images/1b/57/60x45/1b57bd8e.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 185 000 |  2008  |  76 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Коломна | 17.01.15
1006924067-5dd72 | http://is18.auto.ru/all/images/ef/3a/60x45/ef3a9416.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0088ff | 230 000 |  2007  |  79 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Тюмень | 17.01.15
47556834-59b47 | http://is5.auto.ru/all/images/f5/36/60x45/f536373b.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #CACECB | 244 000 |  2010  |  32 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 17.01.15
1006923471-cff91b | http://is4.auto.ru/all/images/e9/ed/60x45/e9ed3437.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 185 000 |  2008  |  68 143 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Елец | 17.01.15
1006745063-4a7f1 | http://is9.auto.ru/all/images/c5/fe/60x45/c5fe393c.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #9966CC | 227 000 |  2009  |  50 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Калач | 17.01.15
1005746447-498e7f | http://is1.auto.ru/all/images/ac/ec/60x45/acec6b98.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #926547 | 439 000 |  2014  |  14 000 км  |  1.6 AT (98 л.с.)универсал, бензин, передний  | Великий Новгород | 17.01.15
42030258-e1f1 | http://is5.auto.ru/all/images/c1/4d/60x45/c14d286f.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 105 000 |  2006  |  95 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Великий Новгород | 17.01.15
1006262689-0b44b | http://is17.auto.ru/all/images/15/91/60x45/1591efae.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 245 000 |  2011  |  60 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 17.01.15
1006920141-54d8 | http://is18.auto.ru/all/images/08/7f/60x45/087f0133.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 300 000 |  2012  |  500 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Сызрань | 17.01.15
7948192-27e6b | http://is18.auto.ru/all/images/09/4d/60x45/094d002a.jpg |  ВАЗ Kalina I Sport1.6 MT (98 л.с.)  | #fde910 | 225 000 |  2010  |  90 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Орел | 17.01.15
1006919847-6b60 | http://is14.auto.ru/all/images/9f/93/60x45/9f939cee.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 230 000 |  2012  |  69 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Миасс | 17.01.15
1002230595-d4c12 | http://is6.auto.ru/all/images/44/14/60x45/44140388.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #34ba2b | 250 000 |  2010  |  26 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Владимир | 17.01.15
38726746-8609b3 | http://is9.auto.ru/all/images/af/c5/60x45/afc5d4e8.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 300 000 |  2011  |  33 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Смоленск | 17.01.15
1005913775-e3ea82 | http://is14.auto.ru/all/images/67/e7/60x45/67e73b85.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 155 000 |  2007  |  82 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Ярославль | 17.01.15
1006880225-f3b30e | http://is3.auto.ru/all/images/a3/cb/60x45/a3cba487.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 270 000 |  2012  |  43 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 17.01.15
1006880179-5977 | http://is14.auto.ru/all/images/02/eb/60x45/02eb8eff.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 265 000 |  2012  |  60 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Пенза | 17.01.15
1005524143-7a48a | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 175 000 |  2008  |  103 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Волгодонск | 17.01.15
1005565501-1465e5 | http://is13.auto.ru/all/images/41/08/60x45/41086157.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 180 000 |  2008  |  130 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Ессентуки | 16.01.15
1006815675-f03e | http://is13.auto.ru/all/images/cc/71/60x45/cc71b73e.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 155 000 |  2006  |  175 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Воронеж | 16.01.15
48402100-739f | http://is5.auto.ru/all/images/6e/e7/60x45/6ee7f30d.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 150 000 |  2007  |  114 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Кострома | 16.01.15
1006877815-0701 | http://is15.auto.ru/all/images/e6/65/60x45/e6657748.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 260 000 |  2012  |  40 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Грязи | 16.01.15
1006877487-09fc | http://is13.auto.ru/all/images/aa/26/60x45/aa26f7ce.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 170 000 |  2007  |  88 500 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Орел | 16.01.15
1006877143-699a5 | http://is11.auto.ru/all/images/c1/3a/60x45/c13a0495.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #fde910 | 330 000 |  2012  |  30 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Ольховатка | 16.01.15
1006156871-1102 | http://is18.auto.ru/all/images/bf/63/60x45/bf63f9b9.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 195 000 |  2011  |  82 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Тула | 16.01.15
1006876071-661eb | http://is12.auto.ru/all/images/0e/06/60x45/0e062310.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9966CC | 190 000 |  2007  |  74 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Павлово | 16.01.15
1006876057-ca45 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #FFFFFF | 230 000 |  2009  |  90 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Георгиевск | 16.01.15
1005865903-e88e | http://is2.auto.ru/all/images/13/fa/60x45/13fac89b.jpg |  ВАЗ Kalina I Sport1.4 MT (89 л.с.)  | #CACECB | 225 000 |  2011  |  47 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Дятьково | 16.01.15
1006203295-14f0c | http://is13.auto.ru/all/images/a3/3c/60x45/a33cad10.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFFFFF | 230 000 |  2010  |  68 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Георгиевск | 16.01.15
1006876013-321bb | http://is5.auto.ru/all/images/29/1c/60x45/291c978f.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 200 000 |  2011  |  26 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Шатура | 16.01.15
1006875615-d59a4a | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #9c9999 | 250 000 |  2009  |  62 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Архангельск | 16.01.15
1003496726-bdde9 | http://is15.auto.ru/all/images/d3/5b/60x45/d35b1f9b.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 185 000 |  2008  |  90 600 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Старый Оскол | 16.01.15
1006874261-57276 | http://is13.auto.ru/all/images/8f/6d/60x45/8f6d993b.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 215 000 |  2011  |  48 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Нижний Новгород | 16.01.15
1006874177-f075 | http://is14.auto.ru/all/images/1b/33/60x45/1b332353.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 160 000 |  2007  |  98 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Вязники | 16.01.15
1006567467-35a5d8 | http://is10.auto.ru/all/images/af/af/60x45/afaf5e29.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 158 000 |  2007  |  121 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Моршанск | 16.01.15
1006574843-8af136 | http://is12.auto.ru/all/images/77/f9/60x45/77f9826d.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #CACECB | 285 000 |  2011  |  39 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Чебоксары | 16.01.15
1006873009-2af7 | http://is11.auto.ru/all/images/4f/43/60x45/4f432bd3.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 143 000 |  2007  |  77 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Лакинск | 16.01.15
1006872153-774a75 | http://is5.auto.ru/all/images/50/d5/60x45/50d5da96.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 180 000 |  2009  |  62 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Муром | 16.01.15
1006872377-637e | http://is14.auto.ru/all/images/be/9b/60x45/be9bbafa.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 150 000 |  2006  |  149 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Оренбург | 16.01.15
1006519421-c1d05a | http://is11.auto.ru/all/images/2e/aa/60x45/2eaa0616.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 210 000 |  2008  |  119 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Брянск | 16.01.15
46346952-c21883 | http://is11.auto.ru/all/images/a1/6e/60x45/a16e1e84.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 175 000 |  2008  |  100 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Белгород | 16.01.15
1006872137-d3015 | http://is9.auto.ru/all/images/8d/2d/60x45/8d2dc523.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 185 000 |  2011  |  64 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 16.01.15
1006870071-4cb05 | http://is13.auto.ru/all/images/90/92/60x45/90926010.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #926547 | 239 000 |  2011  |  16 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Рязань | 16.01.15
1003430200-d433 | http://is12.auto.ru/all/images/b3/0f/60x45/b30f7528.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 170 000 |  2008  |  58 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Муром | 16.01.15
1006867899-f39ed7 | http://is7.auto.ru/all/images/41/cf/60x45/41cfa5a7.jpg |  ВАЗ Kalina I1.6 MT (90 л.с.)  | #FF0000 | 135 000 |  2006  |  200 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 16.01.15
48620042-1978a | http://is16.auto.ru/all/images/ed/27/60x45/ed2798f7.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0088ff | 150 000 |  2008  |  150 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Белгород | 16.01.15
49328414-b5896 | http://is9.auto.ru/all/images/f3/12/60x45/f312e563.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 220 000 |  2006  |  130 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Новороссийск | 16.01.15
1006813669-c43b96 | http://is18.auto.ru/all/images/81/2b/60x45/812b1ddf.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #000000 | 240 000 |  2010  |  53 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Челябинск | 16.01.15
1006863565-69db1 | http://is8.auto.ru/all/images/88/c7/60x45/88c7ea19.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #FFCC00 | 240 000 |  2010  |  85 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Белгород | 16.01.15
1004964879-8fdc | http://is9.auto.ru/all/images/88/78/60x45/88788e9a.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #000000 | 230 000 |  2010  |  71 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Владимир | 16.01.15
1006861509-60e7 | http://is6.auto.ru/all/images/fb/3b/60x45/fb3b08ea.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 183 000 |  2008  |  72 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Саранск | 16.01.15
1004910255-e73c3 | http://is18.auto.ru/all/images/9e/7c/60x45/9e7c80a1.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #FF0000 | 275 000 |  2012  |  22 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 16.01.15
1006861391-e28e0 | http://is8.auto.ru/all/images/ca/dd/60x45/cadd8825.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 145 000 |  2006  |  115 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Кирсанов | 16.01.15
34204190-347cc | http://is18.auto.ru/all/images/f1/25/60x45/f125d759.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 150 000 |  2008  |  93 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Жуковский | 16.01.15
1001278987-c7822 | http://is15.auto.ru/all/images/f1/3e/60x45/f13e9db7.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 199 000 |  2008  |  65 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Вязьма | 16.01.15
1004706139-d863 | http://is14.auto.ru/all/images/1c/ce/60x45/1cceb234.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 226 900 |  2010  |  68 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 16.01.15
1002287995-3b37 | http://is18.auto.ru/all/images/0d/ae/60x45/0daefbc3.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #0000FF | 235 900 |  2011  |  91 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Москва | 16.01.15
1004151625-3369 | http://is3.auto.ru/all/images/5a/e7/60x45/5ae7706d.jpg |  ВАЗ Kalina I Sport1.4 MT (89 л.с.)  | #FFFFFF | 270 000 |  2011  |  40 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Воронеж | 16.01.15
1004766603-b0ba0 | http://is9.auto.ru/all/images/3c/26/60x45/3c268cd8.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 225 000 |  2012  |  51 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Брянск | 16.01.15
1006859607-93d5 | http://is9.auto.ru/all/images/49/c4/60x45/49c4f7a7.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 246 000 |  2011  |  24 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Ижевск | 16.01.15
1006859385-10937 | http://is18.auto.ru/all/images/1e/ea/60x45/1eeada92.jpg |  ВАЗ Kalina I Sport1.6 MT (98 л.с.)  | #CACECB | 260 000 |  2011  |  86 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Балаково | 16.01.15
1006859231-4ce7 | http://is13.auto.ru/all/images/6b/e1/60x45/6be13bb9.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFCC00 | 210 000 |  2008  |  9 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 16.01.15
1006799041-3a0ff | http://is18.auto.ru/all/images/29/0b/60x45/290bf0f5.jpg |  ВАЗ Kalina II1.6 MT (87 л.с.)  | #CACECB | 355 000 |  2014  |  17 000 км  |  1.6 MT (87 л.с.)универсал, бензин, передний  | Сызрань | 16.01.15
1005972241-5ffaa | http://is18.auto.ru/all/images/fd/ba/60x45/fdbacbf1.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 165 000 |  2008  |  91 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Рославль | 16.01.15
