1007247967-f49f6 | http://is3.auto.ru/all/images/e4/61/60x45/e4614323.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 450 000 |  2014  |  15 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Балашиха | 22.01.15
1006987987-bcfa5 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 220 000 |  2008  |  83 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Смоленск | 18.01.15
1005916651-912462 | http://is17.auto.ru/all/images/86/6a/60x45/866a398e.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 250 000 |  2011  |  65 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Орехово-Зуево | 18.01.15
1006749557-3751 | http://is6.auto.ru/all/images/4d/f9/60x45/4df9274d.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (106 л.с.)  | #FFFFFF | 430 000 |  2014  |  1 км  |  1.6 MT (106 л.с.)седан, бензин, передний  | Пятигорск | 18.01.15
1006255307-eb58 | http://is4.auto.ru/all/images/7e/b7/60x45/7eb79d77.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #FFFFFF | 239 000 |  2011  |  65 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Белгород | 18.01.15
1006522827-035c | http://is2.auto.ru/all/images/62/a9/60x45/62a9bdca.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #CACECB | 220 000 |  2010  |  90 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Шуя | 18.01.15
1006986759-ac32a | http://is17.auto.ru/all/images/ec/4f/60x45/ec4f7fab.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 165 000 |  2007  |  113 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Липецк | 18.01.15
1005456641-b1fc | http://is12.auto.ru/all/images/31/7f/60x45/317fb6b2.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #0000FF | 320 000 |  2010  |  105 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006987203-2ee39 | http://is17.auto.ru/all/images/74/24/60x45/74246d1e.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 290 000 |  2011  |  66 800 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Орел | 18.01.15
1006987179-e413 | http://is13.auto.ru/all/images/14/7c/60x45/147c3d8a.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 370 000 |  2012  |  46 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Тольятти | 18.01.15
1005522457-81a5c | http://is6.auto.ru/all/images/dc/25/60x45/dc2573d4.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #0000FF | 205 000 |  2008  |  118 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Старый Оскол | 18.01.15
1006985955-bd26c3 | http://is5.auto.ru/all/images/b4/b3/60x45/b4b3eb20.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 220 000 |  2010  |  115 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Калуга | 18.01.15
1006985247-f9ec3d | http://is17.auto.ru/all/images/09/ad/60x45/09ad923e.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 305 000 |  2011  |  25 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Тольятти | 18.01.15
1006933357-cf407 | http://is2.auto.ru/all/images/c0/90/60x45/c090d58e.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 190 000 |  2008  |  93 700 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Нижний Новгород | 18.01.15
1006985605-bb0d77 | http://is5.auto.ru/all/images/5e/f7/60x45/5ef7c5bb.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 192 000 |  2008  |  132 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006985441-f792 | http://is14.auto.ru/all/images/a2/48/60x45/a2483447.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 160 000 |  2007  |  129 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Фурманов | 18.01.15
1006984969-37c412 | http://is12.auto.ru/all/images/41/0f/60x45/410fec32.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 225 000 |  2010  |  62 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Курск | 18.01.15
1006984143-3209db | http://is9.auto.ru/all/images/b9/90/60x45/b99056ea.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 220 000 |  2007  |  110 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Брянск | 18.01.15
44125370-c1f27 | http://is11.auto.ru/all/images/0c/03/60x45/0c03f8de.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 250 000 |  2010  |  64 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Вичуга | 18.01.15
1006929087-504760 | http://is16.auto.ru/all/images/96/23/60x45/9623910a.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 265 000 |  2010  |  79 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 18.01.15
1006982637-e4f4 | http://is15.auto.ru/all/images/c8/55/60x45/c855abd1.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 290 000 |  2011  |  70 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Санкт-Петербург | 18.01.15
1006983131-cea27 | http://is14.auto.ru/all/images/cf/a8/60x45/cfa8d26b.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 260 000 |  2011  |  65 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Саратов | 18.01.15
1006983007-3f3893 | http://is18.auto.ru/all/images/a6/d3/60x45/a6d3b061.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 350 000 |  2013  |  45 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Балашов | 18.01.15
1006930431-1b8838 | http://is12.auto.ru/all/images/21/11/60x45/211111b2.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #0000FF | 210 000 |  2009  |  73 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006928461-af1c5 | http://is4.auto.ru/all/images/a3/4f/60x45/a34f24cf.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #0088ff | 200 000 |  2009  |  73 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006574199-7adfda | http://is18.auto.ru/all/images/fa/9b/60x45/fa9b5e68.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #0088ff | 230 000 |  2011  |  65 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006690471-eafe92 | http://is10.auto.ru/all/images/e4/be/60x45/e4be9eb8.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 265 000 |  2011  |  43 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 18.01.15
1006981643-4cf9 | http://is11.auto.ru/all/images/87/bc/60x45/87bc14b2.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 235 000 |  2009  |  70 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006981045-edd7 | http://is16.auto.ru/all/images/19/4f/60x45/194fd1e8.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 205 000 |  2008  |  95 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Тула | 18.01.15
1006980055-4967c | http://is12.auto.ru/all/images/6c/c2/60x45/6cc20f19.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 253 000 |  2009  |  95 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Старый Оскол | 18.01.15
1006980769-698b | http://is8.auto.ru/all/images/33/64/60x45/3364f005.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 250 000 |  2011  |  52 450 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Новодугино | 18.01.15
1006980459-d8bf | http://is10.auto.ru/all/images/cb/e5/60x45/cbe5d04d.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 330 000 |  2012  |  46 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Пятигорск | 18.01.15
1005160159-43a1ae | http://is15.auto.ru/all/images/4d/7b/60x45/4d7b1718.jpg |  ВАЗ Priora I Premier1.6 MT (98 л.с.)  | #000000 | 270 000 |  2010  |  85 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Краснодар | 18.01.15
1006980109-61bd | http://is7.auto.ru/all/images/a6/8c/60x45/a68c8498.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FF0000 | 165 000 |  2008  |  86 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Нижний Новгород | 18.01.15
1006979493-8fd21 | http://is16.auto.ru/all/images/33/d7/60x45/33d71766.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 229 000 |  2009  |  48 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Липецк | 18.01.15
1006980065-89619 | http://is11.auto.ru/all/images/b9/4c/60x45/b94cac5f.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FF0000 | 163 000 |  2008  |  80 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Киров | 18.01.15
1006980075-f70b | http://is9.auto.ru/all/images/4a/e0/60x45/4ae0b735.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 210 000 |  2008  |  134 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Таганрог | 18.01.15
1006026525-c4a80 | http://is2.auto.ru/all/images/67/88/60x45/67886993.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 310 000 |  2013  |  55 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Калуга | 18.01.15
1006934411-c6c79b | http://is17.auto.ru/all/images/b7/32/60x45/b7323d16.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #CACECB | 190 000 |  2009  |  156 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006935767-8a1968 | http://is3.auto.ru/all/images/b4/22/60x45/b4226fe2.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 370 000 |  2012  |  20 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Зеленоград | 18.01.15
1006418149-e6d936 | http://is4.auto.ru/all/images/f5/b7/60x45/f5b72c52.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 255 000 |  2010  |  111 111 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Новая Усмань | 18.01.15
1004839697-5e7c9 | http://is5.auto.ru/all/images/57/de/60x45/57def594.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 200 000 |  2008  |  130 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Боровичи | 18.01.15
1006937603-93f1 | http://is17.auto.ru/all/images/81/64/60x45/81646268.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 300 000 |  2013  |  60 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Самара | 18.01.15
38556996-3c2d | http://is17.auto.ru/all/images/5f/8e/60x45/5f8ee425.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 435 000 |  2012  |  41 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Узловая | 18.01.15
1006208713-1f05 | http://is16.auto.ru/all/images/ef/ce/60x45/efce91d8.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 220 000 |  2010  |  115 888 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 18.01.15
1006930887-f8c3 | http://is3.auto.ru/all/images/3f/22/60x45/3f22bf20.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 220 000 |  2008  |  68 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Павлово | 18.01.15
1006745179-b98e | http://is14.auto.ru/all/images/69/be/60x45/69bee015.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 268 000 |  2011  |  59 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Тула | 17.01.15
1006936443-68cf | http://is10.auto.ru/all/images/24/fc/60x45/24fc76ae.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #0000FF | 265 000 |  2010  |  79 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006936051-abd5 | http://is15.auto.ru/all/images/ed/80/60x45/ed8048fa.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 250 000 |  2012  |  44 500 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Пермь | 17.01.15
48829632-974242 | http://is3.auto.ru/all/images/ab/a5/60x45/aba59cf3.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #CACECB | 300 000 |  2013  |  25 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Белгород | 17.01.15
1006935571-ab1b3c | http://is16.auto.ru/all/images/0e/d0/60x45/0ed04e81.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 330 000 |  2009  |  76 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Оренбург | 17.01.15
1006935557-1ae7f | http://is17.auto.ru/all/images/60/35/60x45/60354da9.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FF0000 | 220 000 |  2008  |  150 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Людиново | 17.01.15
47406412-57cff | http://is11.auto.ru/all/images/d3/07/60x45/d307f1dc.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 300 000 |  2012  |  70 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Екатеринбург | 17.01.15
1006934969-ae80 | http://is6.auto.ru/all/images/be/17/60x45/be1766ae.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 268 000 |  2011  |  55 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 17.01.15
1006934591-9af37a | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 285 000 |  2011  |  66 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Ульяновск | 17.01.15
1006564929-4e32 | http://is18.auto.ru/all/images/56/c9/60x45/56c9f29c.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FF0000 | 250 000 |  2011  |  80 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Юрьев-Польский | 17.01.15
1006933201-d0ba2 | http://is2.auto.ru/all/images/c4/dc/60x45/c4dc6ca0.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (106 л.с.)  | #000000 | 530 000 |  2014  |  800 км  |  1.6 MT (106 л.с.)седан, бензин, передний  | Ростов-на-Дону | 17.01.15
1006160279-952d7 | http://is9.auto.ru/all/images/52/38/60x45/5238eadd.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (106 л.с.)  | #0000FF | 430 000 |  2013  |  33 000 км  |  1.6 MT (106 л.с.)хэтчбек, бензин, передний  | Москва | 17.01.15
1006933263-52a8 | http://is9.auto.ru/all/images/2d/37/60x45/2d37abba.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 210 000 |  2012  |  65 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Борисоглебск | 17.01.15
1006310817-6b008 | http://is18.auto.ru/all/images/cc/da/60x45/ccda2660.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 255 000 |  2010  |  39 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 17.01.15
1006931921-2931 | http://is15.auto.ru/all/images/b5/96/60x45/b5969db5.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CC0033 | 275 000 |  2012  |  70 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 17.01.15
1005863457-ff9b | http://is13.auto.ru/all/images/95/5d/60x45/955d92e2.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 360 000 |  2013  |  18 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 17.01.15
1006931497-e1a863 | http://is12.auto.ru/all/images/e1/19/60x45/e119fcd0.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 205 000 |  2008  |  116 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Тамбов | 17.01.15
1006931395-d456c | http://is8.auto.ru/all/images/c7/f5/60x45/c7f553e2.jpg |  ВАЗ Priora I1.6 MT (87 л.с.)  | #000000 | 290 000 |  2011  |  90 000 км  |  1.6 MT (87 л.с.)седан, бензин, передний  | Хомутово | 17.01.15
1006930477-4c3d24 | http://is1.auto.ru/all/images/93/58/60x45/9358a152.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 200 000 |  2009  |  98 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006929917-3ad0 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 290 000 |  2010  |  54 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Волгодонск | 17.01.15
1006731421-66119e | http://is4.auto.ru/all/images/16/4b/60x45/164b672e.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 170 000 |  2008  |  41 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Иваново | 17.01.15
1006929577-7d89 | http://is15.auto.ru/all/images/16/ae/60x45/16ae8aa2.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 290 000 |  2011  |  90 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Дубна | 17.01.15
42177616-d228 | http://is6.auto.ru/all/images/65/ef/60x45/65ef2ca2.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 260 000 |  2009  |  95 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Орел | 17.01.15
1006929029-46dc | http://is4.auto.ru/all/images/dc/c4/60x45/dcc47c8c.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #926547 | 189 000 |  2009  |  78 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006929037-194d | http://is2.auto.ru/all/images/8c/ee/60x45/8cee70a4.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 210 000 |  2008  |  116 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Иваново | 17.01.15
1000114322-1a1396 | http://is6.auto.ru/all/images/ad/3a/60x45/ad3ae03d.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 190 000 |  2008  |  120 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Смоленск | 17.01.15
1006928715-e64695 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 280 000 |  2011  |  56 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Рязань | 17.01.15
49393836-dd4db | http://is8.auto.ru/all/images/44/9e/60x45/449eb8af.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 340 000 |  2011  |  68 500 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 17.01.15
49022682-158e | http://is3.auto.ru/all/images/3e/3a/60x45/3e3afebf.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 205 000 |  2009  |  105 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Орехово-Зуево | 17.01.15
49405140-c6a4 | http://is3.auto.ru/all/images/98/39/60x45/9839b587.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 265 000 |  2011  |  54 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Воронеж | 17.01.15
1006926609-bc74c9 | http://is9.auto.ru/all/images/2a/23/60x45/2a236713.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 250 000 |  2011  |  64 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Смоленск | 17.01.15
561736-d54d | http://is5.auto.ru/all/images/97/cd/60x45/97cd0b6e.jpg |  ВАЗ Priora I РестайлингMT  | #FFFFFF | 431 300 |  2015  | Новый |  седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006879237-220cb | http://is15.auto.ru/all/images/38/b9/60x45/38b9c9e8.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FF0000 | 186 000 |  2007  |  115 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Воронеж | 17.01.15
1006924503-449b | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I Рестайлинг1.6 MT (106 л.с.)  | #000000 | 515 000 |  2014  |  10 000 км  |  1.6 MT (106 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006923989-2d4842 | http://is8.auto.ru/all/images/da/b9/60x45/dab99438.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9966CC | 290 000 |  2011  |  69 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Новошахтинск | 17.01.15
50441754-1793 | http://is8.auto.ru/all/images/29/6a/60x45/296a603a.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 250 000 |  2010  |  49 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Елец | 17.01.15
1003067680-a0d917 | http://is2.auto.ru/all/images/02/49/60x45/0249c507.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 265 000 |  2010  |  60 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Воронеж | 17.01.15
49974566-439372 | http://is18.auto.ru/all/images/83/d9/60x45/83d94810.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 165 000 |  2009  |  135 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Чехов | 17.01.15
1005038745-d1dd0a | http://is9.auto.ru/all/images/48/0c/60x45/480c8012.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 250 000 |  2011  |  30 500 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Чехов | 17.01.15
1006921301-ce2c27 | http://is17.auto.ru/all/images/ef/63/60x45/ef638df6.jpg |  ВАЗ Priora I1.6 MT (87 л.с.)  | #CACECB | 300 000 |  2012  |  15 000 км  |  1.6 MT (87 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 17.01.15
1006920627-1b0c91 | http://is5.auto.ru/all/images/7b/c4/60x45/7bc4923c.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 260 000 |  2010  |  80 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Ливны | 17.01.15
1004895849-e115b | http://is9.auto.ru/all/images/fc/c9/60x45/fcc9fcd4.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 220 000 |  2008  |  100 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Ростов-на-Дону | 17.01.15
1006807283-5e27ad | http://is13.auto.ru/all/images/9b/cb/60x45/9bcb75c2.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #CACECB | 390 000 |  2013  |  9 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 17.01.15
1005437943-05674 | http://is5.auto.ru/all/images/28/b2/60x45/28b2e45d.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 280 000 |  2012  |  50 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Нижний Новгород | 17.01.15
1006903083-4ffe1 | http://is17.auto.ru/all/images/45/ec/60x45/45ecdbd7.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #000000 | 350 000 |  2013  |  50 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Иваново | 17.01.15
1006878959-4699c2 | http://is5.auto.ru/all/images/e4/7c/60x45/e47c8d97.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 185 000 |  2008  |  135 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006884773-6eb6 | http://is11.auto.ru/all/images/1d/60/60x45/1d60bc11.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 265 000 |  2011  |  55 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Саратов | 17.01.15
1006879047-a2a0 | http://is15.auto.ru/all/images/92/09/60x45/92090285.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 370 000 |  2012  |  17 500 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Йошкар-Ола | 17.01.15
1006878977-d91e | http://is12.auto.ru/all/images/39/e4/60x45/39e4b77e.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 300 000 |  2011  |  60 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Климовск | 16.01.15
1006573719-35f7f | http://is15.auto.ru/all/images/56/11/60x45/561168eb.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 178 000 |  2007  |  125 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 16.01.15
1006877109-1d20c | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FF0000 | 195 000 |  2008  |  109 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 16.01.15
1006877491-908af1 | http://is17.auto.ru/all/images/0f/c7/60x45/0fc74c58.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 235 000 |  2009  |  95 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 16.01.15
1006864701-ac2416 | http://is10.auto.ru/all/images/a4/d3/60x45/a4d33436.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (106 л.с.)  | #FFFFFF | 439 000 |  2014  |  3 500 км  |  1.6 MT (106 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 16.01.15
1006876075-bd225 | http://is17.auto.ru/all/images/34/d2/60x45/34d2c3a7.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #000000 | 265 000 |  2011  |  81 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Сызрань | 16.01.15
1006875195-0f2f8 | http://is18.auto.ru/all/images/65/5a/60x45/655a22ae.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 160 000 |  2007  |  165 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Иваново | 16.01.15
1006736125-f484 | http://is2.auto.ru/all/images/a6/62/60x45/a6625d14.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 240 000 |  2011  |  130 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 16.01.15
