1007301269-1b76c | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 450 000 |  2011  |  69 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Пушкино | 23.01.15
1003892796-88f5ce | http://is15.auto.ru/all/images/32/ac/60x45/32ac823a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 451 000 |  2013  |  54 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Екатеринбург | 20.01.15
1001694211-258521 | http://is2.auto.ru/all/images/ca/b9/60x45/cab9ff0b.jpg |  Volkswagen Polo IV Рестайлинг1.2 MT (70 л.с.)  | #000000 | 300 000 |  2006  |  180 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Курск | 20.01.15
1003130732-16d6 | http://is2.auto.ru/all/images/cb/1f/60x45/cb1f61a8.jpg |  Volkswagen Polo V1.2 AT (105 л.с.)  | #0000FF | 497 040 |  2010  |  44 000 км  |  1.2 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1006799283-d87c4 | http://is8.auto.ru/all/images/de/d5/60x45/ded55cc5.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 455 000 |  2013  |  45 600 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1004086424-7954a3 | http://is13.auto.ru/all/images/05/a4/60x45/05a43012.jpg |  Volkswagen Polo III1.4 MT (75 л.с.)  | #0000FF | 250 000 |  1999  |  250 000 км  |  1.4 MT (75 л.с.)универсал, бензин, передний  | Краснодар | 20.01.15
1007094265-34a5 | http://is17.auto.ru/all/images/cc/3f/60x45/cc3fdb5b.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #9c9999 | 555 555 |  2011  |  67 231 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007094113-d37d | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 533 333 |  2013  |  49 357 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007093601-1aea75 | http://is13.auto.ru/all/images/ae/9f/60x45/ae9f1f2d.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 410 000 |  2011  |  115 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Тула | 20.01.15
1007086769-3f52ba | http://is6.auto.ru/all/images/5f/29/60x45/5f297f64.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 499 000 |  2010  |  165 399 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007084919-9efd49 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 480 000 |  2012  |  60 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1005707899-c151e2 | http://is7.auto.ru/all/images/bc/8c/60x45/bc8cec5b.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 555 000 |  2011  |  40 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1002730371-3a02c | http://is12.auto.ru/all/images/eb/e9/60x45/ebe90c36.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 585 000 |  2013  |  18 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Екатеринбург | 20.01.15
1006732091-170a24 | http://is2.auto.ru/all/images/5b/b7/60x45/5bb7d17d.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 555 000 |  2014  |  9 750 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007054591-1eba | http://is10.auto.ru/all/images/84/a2/60x45/84a29643.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 485 000 |  2013  |  38 350 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007054547-633f | http://is1.auto.ru/all/images/64/d1/60x45/64d16f08.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 540 000 |  2013  |  41 250 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007054785-33eab2 | http://is4.auto.ru/all/images/ef/d4/60x45/efd47918.jpg |  Volkswagen Polo V1.2 MT (60 л.с.)  | #0000FF | 460 000 |  2010  |  40 500 км  |  1.2 MT (60 л.с.)хэтчбек, бензин, передний  | Иваново | 19.01.15
1007054161-b7541 | http://is2.auto.ru/all/images/0d/23/60x45/0d2395a5.jpg |  Volkswagen Polo V1.2 AT (105 л.с.)  | #9c9999 | 475 000 |  2010  |  80 000 км  |  1.2 AT (105 л.с.)хэтчбек, бензин, передний  | Балашиха | 19.01.15
1007053303-c23a | http://is2.auto.ru/all/images/fc/de/60x45/fcdef1c0.jpg |  Volkswagen Polo III Рестайлинг1.4 MT (60 л.с.)  | #FFFFFF | 180 000 |  1999  |  183 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Озеры | 19.01.15
48471904-91a71c | http://is16.auto.ru/all/images/bc/a8/60x45/bca818d4.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 300 000 |  2011  |  16 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Нижний Новгород | 19.01.15
1006933815-7e00c8 | http://is14.auto.ru/all/images/e1/d3/60x45/e1d308c5.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 490 000 |  2011  |  52 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Арзамас | 19.01.15
1007051857-26014 | http://is9.auto.ru/all/images/a5/df/60x45/a5dfbbd1.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #0000FF | 500 000 |  2012  |  36 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Уфа | 19.01.15
1007051813-0edd | http://is17.auto.ru/all/images/8b/a9/60x45/8ba983f6.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 459 000 |  2013  |  32 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Брянск | 19.01.15
1006468579-0117 | http://is8.auto.ru/all/images/11/94/60x45/1194938e.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 459 000 |  2011  |  74 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Калуга | 19.01.15
1006625175-7bf033 | http://is7.auto.ru/all/images/51/97/60x45/51979497.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 550 000 |  2012  |  52 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007050893-6706 | http://is17.auto.ru/all/images/3b/28/60x45/3b284536.jpg |  Volkswagen Polo III1.4 MT (60 л.с.)  | #FFFFFF | 170 000 |  2001  |  172 000 км  |  1.4 MT (60 л.с.)универсал, бензин, передний  | Иваново | 19.01.15
1006567643-6ff04 | http://is8.auto.ru/all/images/26/1e/60x45/261e17a4.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CC0033 | 500 000 |  2012  |  44 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Куровское | 19.01.15
1007050015-86fa4 | http://is17.auto.ru/all/images/11/7b/60x45/117b763e.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 535 000 |  2011  |  39 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Екатеринбург | 19.01.15
1006930559-1e99 | http://is1.auto.ru/all/images/0d/95/60x45/0d959087.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 635 000 |  2014  |  13 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Краснодар | 19.01.15
1005980331-d454 | http://is9.auto.ru/all/images/60/f4/60x45/60f4b989.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 540 000 |  2013  |  14 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Волгоград | 19.01.15
1007047955-f0fd5 | http://is6.auto.ru/all/images/4f/c7/60x45/4fc7ec8b.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 490 000 |  2011  |  70 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007047291-ecb5 | http://is17.auto.ru/all/images/13/c2/60x45/13c2282a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 500 000 |  2013  |  11 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Мончегорск | 19.01.15
1007048193-6310e7 | http://is4.auto.ru/all/images/84/d8/60x45/84d8b268.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 540 000 |  2012  |  42 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Ростов-на-Дону | 19.01.15
1007047141-69c57c | http://is5.auto.ru/all/images/d9/3f/60x45/d93f30b6.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 630 000 |  2013  |  49 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Анапа | 19.01.15
1002473179-df85 | http://is4.auto.ru/all/images/63/fa/60x45/63faa307.jpg |  Volkswagen Polo III Рестайлинг1.4 AT (60 л.с.)  | #0000FF | 195 000 |  2001  |  121 000 км  |  1.4 AT (60 л.с.)хэтчбек, бензин, передний  | Рославль | 19.01.15
1007044051-dc424 | http://is18.auto.ru/all/images/d8/cb/60x45/d8cbc9c8.jpg |  Volkswagen Polo V1.4 MT (85 л.с.)  | #000000 | 470 000 |  2011  |  50 000 км  |  1.4 MT (85 л.с.)хэтчбек, бензин, передний  | Воскресенск | 19.01.15
1006565727-856dc | http://is11.auto.ru/all/images/81/25/60x45/8125c977.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 619 000 |  2013  |  32 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Калуга | 19.01.15
1005240609-865d4 | http://is14.auto.ru/all/images/73/e5/60x45/73e5d0a9.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 411 264 |  2012  |  90 931 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007043303-1eb638 | http://is18.auto.ru/all/images/c5/52/60x45/c5529471.jpg |  Volkswagen Polo III1.4 MT (60 л.с.)  | #34ba2b | 139 000 |  1997  |  162 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Гаврилов Посад | 19.01.15
1007041957-494fdd | http://is8.auto.ru/all/images/a7/96/60x45/a796afd3.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #FFFFFF | 470 000 |  2010  |  61 000 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1007042631-7785 | http://is10.auto.ru/all/images/5f/eb/60x45/5febfe98.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 530 000 |  2013  |  12 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Кандалакша | 19.01.15
1007042363-fb521 | http://is5.auto.ru/all/images/3b/b1/60x45/3bb1be90.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 530 000 |  2011  |  40 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Тольятти | 19.01.15
1007041433-d6207 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 465 000 |  2013  |  75 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Калуга | 19.01.15
1007041097-95130b | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 520 000 |  2013  |  16 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Белгород | 19.01.15
1007041049-e9b070 | http://is11.auto.ru/all/images/73/b6/60x45/73b66257.jpg |  Volkswagen Polo III1.4 MT (60 л.с.)  | #FF0000 | 164 900 |  1999  |  150 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 19.01.15
1007040783-b0fb | http://is7.auto.ru/all/images/0d/e1/60x45/0de1c860.jpg |  Volkswagen Polo III1.6 MT (75 л.с.)  | #FFFFFF | 173 000 |  2000  |  96 000 км  |  1.6 MT (75 л.с.)седан, бензин, передний  | Москва | 19.01.15
1006631201-e207 | http://is9.auto.ru/all/images/06/82/60x45/06829425.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 369 000 |  2011  |  63 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Жуковский | 19.01.15
1003971996-3b4cb | http://is3.auto.ru/all/images/f5/3d/60x45/f53de568.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #ffefd5 | 550 000 |  2012  |  37 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Ростов-на-Дону | 19.01.15
1006269073-e563a | http://is1.auto.ru/all/images/8a/fd/60x45/8afd77cf.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 760 000 |  2014  |  75 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 19.01.15
1006991817-84c6 | http://is6.auto.ru/all/images/55/8b/60x45/558b48d8.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 420 000 |  2012  |  90 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Венев | 19.01.15
1007038013-b93e21 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 630 000 |  2014  |  15 200 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Анапа | 19.01.15
1007037661-899e | http://is5.auto.ru/all/images/09/77/60x45/09771541.jpg |  Volkswagen Polo III Рестайлинг1.4 AT (75 л.с.)  | #CACECB | 220 000 |  2000  |  118 000 км  |  1.4 AT (75 л.с.)хэтчбек, бензин, передний  | Зеленоград | 19.01.15
1007036845-a781f | http://is7.auto.ru/all/images/1f/f0/60x45/1ff02f01.jpg |  Volkswagen Polo IV1.2 MT (54 л.с.)  | #000000 | 250 000 |  2004  |  174 000 км  |  1.2 MT (54 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 19.01.15
1005747379-6ed6a | http://is18.auto.ru/all/images/1c/98/60x45/1c988f49.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 540 000 |  2014  |  1 111 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Воронеж | 19.01.15
1007035559-4862 | http://is8.auto.ru/all/images/4b/67/60x45/4b67c54d.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 250 000 |  2012  |  80 796 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Якутск | 19.01.15
1007035665-e3c18 | http://is18.auto.ru/all/images/8e/04/60x45/8e04b00c.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 310 000 |  2012  |  98 089 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Якутск | 19.01.15
1007035659-d4bf | http://is16.auto.ru/all/images/31/c7/60x45/31c73ad0.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 650 000 |  2014  |  5 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Волгоград | 19.01.15
1007035613-a3cd | http://is10.auto.ru/all/images/e8/90/60x45/e890884e.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 545 000 |  2012  |  50 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Симферополь | 19.01.15
1006870143-c265 | http://is15.auto.ru/all/images/ad/56/60x45/ad5630ae.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 250 000 |  2012  |  70 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Якутск | 19.01.15
1006741099-1b9e28 | http://is6.auto.ru/all/images/54/f7/60x45/54f73179.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 419 000 |  2011  |  69 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 19.01.15
1005446841-181a | http://is2.auto.ru/all/images/b1/14/60x45/b1140b34.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 425 000 |  2011  |  59 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007033953-f2a3c2 | http://is11.auto.ru/all/images/d6/7f/60x45/d67fa5ce.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #9c9999 | 379 000 |  2008  |  85 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Рязань | 19.01.15
48129476-5f6649 | http://is12.auto.ru/all/images/13/ec/60x45/13ec083a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 420 000 |  2011  |  30 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Киров | 19.01.15
1006933637-e4c67 | http://is16.auto.ru/all/images/64/2c/60x45/642ce23d.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FF0000 | 520 000 |  2012  |  25 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Курган | 19.01.15
1007022207-802e | http://is9.auto.ru/all/images/58/97/60x45/58975bd4.jpg |  Volkswagen Polo IV1.4 AT (75 л.с.)  | #0000FF | 322 222 |  2005  |  89 000 км  |  1.4 AT (75 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1007015871-dcc8f | http://is17.auto.ru/all/images/5b/28/60x45/5b285f0f.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 450 000 |  2012  |  87 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 19.01.15
1005813125-c61a54 | http://is18.auto.ru/all/images/0a/9a/60x45/0a9a886f.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 670 000 |  2014  |  10 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Иваново | 19.01.15
1006994993-ccbe77 | http://is6.auto.ru/all/images/96/c5/60x45/96c5c83a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 555 000 |  2013  |  61 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Краснодар | 19.01.15
48881402-17cfb | http://is6.auto.ru/all/images/cf/9b/60x45/cf9bb260.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 650 000 |  2012  |  43 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 19.01.15
1005644247-5d89a | http://is9.auto.ru/all/images/e5/3d/60x45/e53de942.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 443 000 |  2012  |  45 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006994197-3a0bec | http://is4.auto.ru/all/images/27/19/60x45/27190d57.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 650 000 |  2013  |  43 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 18.01.15
18687804-00cf85 | http://is9.auto.ru/all/images/23/38/60x45/23383ea5.jpg |  Volkswagen Polo IV1.4 MT (75 л.с.)  | #fde910 | 199 999 |  2001  |  195 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 18.01.15
1006992849-fe456 | http://is7.auto.ru/all/images/d7/22/60x45/d7225a6d.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 560 000 |  2014  |  11 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Новошахтинск | 18.01.15
1006470097-5b1155 | http://is18.auto.ru/all/images/0e/17/60x45/0e17f6b9.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 680 000 |  2014  |  2 181 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
1006990931-ad14 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 600 000 |  2014  |  23 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Ейск | 18.01.15
1006982809-7570 | http://is2.auto.ru/all/images/7f/d3/60x45/7fd360e3.jpg |  Volkswagen Polo III1.6 MT (100 л.с.)  | #34ba2b | 185 000 |  1998  |  193 000 км  |  1.6 MT (100 л.с.)седан, бензин, передний  | Десногорск | 18.01.15
1006989003-1ce85d | http://is12.auto.ru/all/images/72/89/60x45/72898ca6.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFCC00 | 620 000 |  2013  |  14 500 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
1003766556-8458 | http://is16.auto.ru/all/images/6e/36/60x45/6e361975.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 455 000 |  2012  |  32 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Киров | 18.01.15
1006986571-9000 | http://is6.auto.ru/all/images/0b/22/60x45/0b223703.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 550 000 |  2013  |  19 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Шацк | 18.01.15
1006986403-3d2d3 | http://is1.auto.ru/all/images/e3/1b/60x45/e31b2298.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 620 000 |  2013  |  38 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 18.01.15
1001843181-09925 | http://is2.auto.ru/all/images/4f/a0/60x45/4fa0e5fb.jpg |  Volkswagen Polo IV Рестайлинг1.2 MT (70 л.с.)  | #0000FF | 280 000 |  2009  |  86 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006985913-0add1 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo III1.6 AT (100 л.с.)  | #34ba2b | 120 000 |  1998  |  174 000 км  |  1.6 AT (100 л.с.)седан, бензин, передний  | Долгопрудный | 18.01.15
49450546-b41f9 | http://is5.auto.ru/all/images/fd/21/60x45/fd218d05.jpg |  Volkswagen Polo IV1.4 AT (75 л.с.)  | #FF0000 | 237 007 |  2004  |  149 000 км  |  1.4 AT (75 л.с.)хэтчбек, бензин, передний  | Волгодонск | 18.01.15
1006982491-1dcb5 | http://is8.auto.ru/all/images/93/88/60x45/938877d1.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 450 000 |  2011  |  69 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006986341-27c2 | http://is8.auto.ru/all/images/38/bc/60x45/38bcae1e.jpg |  Volkswagen Polo V1.4 MT (85 л.с.)  | #FFFFFF | 465 000 |  2011  |  80 000 км  |  1.4 MT (85 л.с.)хэтчбек, бензин, передний  | Петушки | 18.01.15
1006985221-f298 | http://is15.auto.ru/all/images/2f/17/60x45/2f17dd3e.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 550 000 |  2013  |  15 300 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
1006984389-333b9a | http://is6.auto.ru/all/images/83/5c/60x45/835c7eb5.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 575 000 |  2012  |  71 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006978931-7516 | http://is5.auto.ru/all/images/ba/ff/60x45/baff7b6c.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 530 000 |  2012  |  40 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
1006983765-585a37 | http://is2.auto.ru/all/images/81/5d/60x45/815d40d9.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 420 000 |  2012  |  30 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 18.01.15
48121200-ecdf | http://is2.auto.ru/all/images/f1/2a/60x45/f12a13e7.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 465 000 |  2010  |  73 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Орел | 18.01.15
1006984043-8113bf | http://is2.auto.ru/all/images/8b/7c/60x45/8b7c9ee5.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 499 000 |  2011  |  35 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Курск | 18.01.15
1006310689-b71ab | http://is6.auto.ru/all/images/a5/10/60x45/a5102903.jpg |  Volkswagen Polo V Cross1.4 AT (85 л.с.)  | #000000 | 668 000 |  2012  |  5 100 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006567431-58b0a | http://is5.auto.ru/all/images/5e/64/60x45/5e6405e5.jpg |  Volkswagen Polo IV Рестайлинг1.4 AT (80 л.с.)  | #9c9999 | 310 000 |  2006  |  120 000 км  |  1.4 AT (80 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 18.01.15
1006982647-a16b6 | http://is11.auto.ru/all/images/36/4a/60x45/364a6074.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 570 000 |  2013  |  23 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Кашира | 18.01.15
1006524543-8530 | http://is17.auto.ru/all/images/ee/86/60x45/ee864acd.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #ffefd5 | 490 000 |  2011  |  38 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006980631-869da | http://is8.auto.ru/all/images/45/79/60x45/45796be8.jpg |  Volkswagen Polo III1.6 MT (100 л.с.)  | #000000 | 170 000 |  1997  |  94 000 км  |  1.6 MT (100 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006518029-0853e | http://is17.auto.ru/all/images/c6/44/60x45/c6442499.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 560 000 |  2012  |  19 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Рязань | 18.01.15
1006980193-51c7e | http://is13.auto.ru/all/images/84/f9/60x45/84f94cdc.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 560 000 |  2013  |  35 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Ростов-на-Дону | 18.01.15
1006979487-99bcf | http://is10.auto.ru/all/images/ad/54/60x45/ad54bb54.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 500 000 |  2012  |  50 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Вязьма | 18.01.15
1005759719-5c4408 | http://is4.auto.ru/all/images/9c/ab/60x45/9cab6015.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #9c9999 | 650 000 Правый руль |  2013  |  23 500 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Курск | 18.01.15
1006978539-0860d9 | http://is14.auto.ru/all/images/5b/af/60x45/5baf4cb9.jpg |  Volkswagen Polo III Рестайлинг1.0 MT (50 л.с.)  | #FFFFFF | 130 000 |  2001  |  160 000 км  |  1.0 MT (50 л.с.)хэтчбек, бензин, передний  | Ковров | 18.01.15
1003146180-c48c4 | http://is17.auto.ru/all/images/c6/34/60x45/c6348037.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FF0000 | 470 000 |  2011  |  48 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Воронеж | 18.01.15
