1007187827-11459 | http://is8.auto.ru/all/images/d4/3b/60x45/d43bddae.jpg |  Toyota RAV 4 III (XA30)2.0 AT (152 л.с.) 4WD  | #000000 | 765 000 |  2006  |  103 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007086807-0092d | http://is9.auto.ru/all/images/ee/db/60x45/eedbb0d5.jpg |  Toyota RAV 4 II (XA20)2.0d MT (116 л.с.) 4WD  | #CACECB | 580 000 |  2003  |  157 600 км  |  2.0d MT (116 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 20.01.15
1002203305-8434 | http://is1.auto.ru/all/images/66/df/60x45/66df0c9d.jpg |  Toyota RAV 4 IV (CA40)2.0 CVT (145 л.с.) 4WD  | #000000 | 1 500 000 |  2012  |  12 000 км  |  2.0 CVT (145 л.с.) 4WDвнедорожник, бензин, полный  | Зеленоград | 20.01.15
1007083907-0b81 | http://is17.auto.ru/all/images/06/6e/60x45/066e2306.jpg |  Toyota RAV 4 III (XA30)2.4 AT (170 л.с.) 4WD  | #CACECB | 777 777 |  2007  |  83 000 км  |  2.4 AT (170 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007077451-b8696 | http://is12.auto.ru/all/images/fb/b4/60x45/fbb43cb1.jpg |  Toyota RAV 4 IV (CA40)2.0 CVT (145 л.с.)  | #000000 | 1 450 000 |  2013  |  12 000 км  |  2.0 CVT (145 л.с.)внедорожник, бензин, передний  | Москва | 20.01.15
1005259737-06a3 | http://is13.auto.ru/all/images/be/e6/60x45/bee6dbba.jpg |  Toyota RAV 4 II (XA20)2.0 MT (150 л.с.) 4WD  | #0000FF | 320 000 |  2000  |  200 000 км  |  2.0 MT (150 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 20.01.15
41049128-683f | http://is1.auto.ru/all/images/4f/bc/60x45/4fbcdcef.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 CVT (158 л.с.) 4WD  | #FFFFFF | 788 888 |  2011  |  62 000 км  |  2.0 CVT (158 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007052905-4cfb7 | /i/all7/img/no-photo-thumb.gif |  Toyota RAV 4 III (XA30)2.0 AT (152 л.с.) 4WD  | #CACECB | 1 000 000 |  2008  |  58 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Тула | 20.01.15
1002276683-4068 | http://is13.auto.ru/all/images/dc/77/60x45/dc775f58.jpg |  Toyota RAV 4 II (XA20) Рестайлинг1.8 AT (125 л.с.)  | #0000FF | 500 000 Правый руль |  2004  |  60 160 км  |  1.8 AT (125 л.с.)внедорожник, бензин, передний  | Москва | 19.01.15
1006993159-c32d7 | http://is6.auto.ru/all/images/e3/57/60x45/e357b4e6.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 CVT (148 л.с.)  | #FFFFFF | 1 450 000 |  2012  |  54 000 км  |  2.0 CVT (148 л.с.)внедорожник, бензин, передний  | Москва | 19.01.15
1007053827-d441 | /i/all7/img/no-photo-thumb.gif |  Toyota RAV 4 III (XA30)2.0 AT (152 л.с.) 4WD  | #000000 | 550 000 |  2008  |  67 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Тула | 19.01.15
1007053125-30a6b | http://is18.auto.ru/all/images/4b/ba/60x45/4bba21c3.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 CVT (158 л.с.) 4WD  | #000000 | 1 200 000 |  2010  |  56 000 км  |  2.0 CVT (158 л.с.) 4WDвнедорожник, бензин, полный  | Сыктывкар | 19.01.15
1007053567-924b | http://is15.auto.ru/all/images/a9/b3/60x45/a9b32e5d.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 AT (152 л.с.) 4WD  | #FFFFFF | 1 300 000 |  2011  |  80 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 19.01.15
1007052927-608fc2 | /i/all7/img/no-photo-thumb.gif |  Toyota RAV 4 III (XA30)2.0 AT (152 л.с.) 4WD  | #CACECB | 905 000 |  2008  |  95 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 19.01.15
1007052147-f1d2f | http://is11.auto.ru/all/images/16/f4/60x45/16f4bf3d.jpg |  Toyota RAV 4 I (XA10)2.0 MT (129 л.с.) 4WD  | #34ba2b | 229 000 |  1999  |  194 000 км  |  2.0 MT (129 л.с.) 4WDвнедорожник, бензин, полный  | Орел | 19.01.15
1004968157-16e2 | http://is2.auto.ru/all/images/6d/32/60x45/6d32d85b.jpg |  Toyota RAV 4 II (XA20)2.0d MT (116 л.с.) 4WD  | #CACECB | 450 000 |  2003  |  190 000 км  |  2.0d MT (116 л.с.) 4WDвнедорожник, дизель, полный  | Брянск | 19.01.15
1006109945-71cf | http://is7.auto.ru/all/images/a6/5d/60x45/a65d3ab9.jpg |  Toyota RAV 4 I (XA10)2.0 MT (129 л.с.) 4WD  | #000000 | 260 000 |  1998  |  189 000 км  |  2.0 MT (129 л.с.) 4WDвнедорожник, бензин, полный  | Вологда | 19.01.15
1007048851-aa05 | http://is18.auto.ru/all/images/ed/7d/60x45/ed7dc0cf.jpg |  Toyota RAV 4 III (XA30)2.0 AT (152 л.с.) 4WD  | #FF0000 | 840 000 |  2009  |  90 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Владимир | 19.01.15
1005971093-56c2 | http://is5.auto.ru/all/images/1d/ed/60x45/1dedeb70.jpg |  Toyota RAV 4 IV (CA40)2.0 CVT (145 л.с.) 4WD  | #926547 | 1 800 000 |  2014  |  1 002 км  |  2.0 CVT (145 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 19.01.15
1000257432-49e1 | http://is7.auto.ru/all/images/b3/3c/60x45/b33cd243.jpg |  Toyota RAV 4 III (XA30)2.4 AT (170 л.с.) 4WD Long  | #000000 | 630 000 |  2007  |  140 000 км  |  2.4 AT (170 л.с.) 4WD Longвнедорожник, бензин, полный  | Новочебоксарск | 19.01.15
1005650121-64e1 | http://is16.auto.ru/all/images/1e/6f/60x45/1e6fbcd6.jpg |  Toyota RAV 4 III (XA30)2.4 AT (170 л.с.) 4WD  | #000000 | 850 000 |  2008  |  93 000 км  |  2.4 AT (170 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 19.01.15
1006859053-f07469 | http://is8.auto.ru/all/images/38/6c/60x45/386ccb40.jpg |  Toyota RAV 4 III (XA30)2.0 AT (152 л.с.) 4WD  | #0000FF | 890 000 |  2007  |  151 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 19.01.15
1007048285-de47 | http://is17.auto.ru/all/images/3c/f6/60x45/3cf6348c.jpg |  Toyota RAV 4 II (XA20)2.0 MT (150 л.с.)  | #CACECB | 450 000 |  2001  |  110 000 км  |  2.0 MT (150 л.с.)внедорожник, бензин, передний  | Боровичи | 19.01.15
9863100-0cace5 | http://is7.auto.ru/all/images/8f/68/60x45/8f68b2c9.jpg |  Toyota RAV 4 I (XA10)2.0 MT (129 л.с.) 4WD  | #34ba2b | 420 000 |  1999  |  200 000 км  |  2.0 MT (129 л.с.) 4WDвнедорожник, бензин, полный  | Дзержинск | 19.01.15
1005441777-c0d402 | http://is10.auto.ru/all/images/92/18/60x45/9218c325.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 CVT (158 л.с.) 4WD  | #000000 | 1 249 000 |  2011  |  46 908 км  |  2.0 CVT (158 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 19.01.15
1005751635-ebda | http://is4.auto.ru/all/images/bc/ee/60x45/bceec504.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 MT (158 л.с.)  | #CACECB | 898 000 |  2011  |  15 357 км  |  2.0 MT (158 л.с.)внедорожник, бензин, передний  | Москва | 19.01.15
1007045185-46de4 | http://is18.auto.ru/all/images/2e/61/60x45/2e61203a.jpg |  Toyota RAV 4 III (XA30)2.0 MT (152 л.с.) 4WD  | #0000FF | 642 000 |  2007  |  100 000 км  |  2.0 MT (152 л.с.) 4WDвнедорожник, бензин, полный  | Псков | 19.01.15
1007045925-67719 | http://is13.auto.ru/all/images/4c/b8/60x45/4cb85aa8.jpg |  Toyota RAV 4 II (XA20)2.0 AT (150 л.с.) 4WD  | #000000 | 395 000 |  2001  |  133 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Кострома | 19.01.15
1007043917-bc39ca | http://is6.auto.ru/all/images/75/37/60x45/75370504.jpg |  Toyota RAV 4 III (XA30)2.0 AT (152 л.с.) 4WD  | #CACECB | 890 000 |  2010  |  75 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Ростов-на-Дону | 19.01.15
1006741337-176017 | http://is7.auto.ru/all/images/28/9c/60x45/289c2474.jpg |  Toyota RAV 4 I (XA10)2.0 MT (129 л.с.)  | #FF0000 | 250 000 |  1997  |  165 000 км  |  2.0 MT (129 л.с.)внедорожник, бензин, передний  | Москва | 19.01.15
1007042989-d176 | http://is3.auto.ru/all/images/95/e9/60x45/95e94827.jpg |  Toyota RAV 4 IV (CA40)2.0 MT (145 л.с.) 4WD  | #9c9999 | 1 300 000 |  2013  |  17 503 км  |  2.0 MT (145 л.с.) 4WDвнедорожник, бензин, полный  | Архангельск | 19.01.15
1007041859-1b402b | http://is9.auto.ru/all/images/83/86/60x45/83863497.jpg |  Toyota RAV 4 III (XA30)2.0 AT (152 л.с.) 4WD  | #FF0000 | 700 000 |  2008  |  171 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Хохол | 19.01.15
1007039611-2b59 | /i/all7/img/no-photo-thumb.gif |  Toyota RAV 4 IV (CA40)2.0 CVT (145 л.с.)  | #000000 | 1 420 000 |  2014  |  16 км  |  2.0 CVT (145 л.с.)внедорожник, бензин, передний  | Москва | 19.01.15
1006810329-a0a5c8 | http://is15.auto.ru/all/images/11/7f/60x45/117f2995.jpg |  Toyota RAV 4 III (XA30)2.2d MT (134 л.с.) 4WD  | #000000 | 770 000 |  2008  |  140 000 км  |  2.2d MT (134 л.с.) 4WDвнедорожник, дизель, полный  | Саратов | 19.01.15
1002881807-8628 | http://is4.auto.ru/all/images/46/58/60x45/46585e1e.jpg |  Toyota RAV 4 III (XA30)2.4 AT (170 л.с.) 4WD Long  | #CACECB | 710 000 |  2006  |  140 000 км  |  2.4 AT (170 л.с.) 4WD Longвнедорожник, бензин, полный  | Волгоград | 19.01.15
1003334568-e37a | http://is15.auto.ru/all/images/51/1f/60x45/511ffcea.jpg |  Toyota RAV 4 III (XA30)2.0 AT (152 л.с.) 4WD  | #0000FF | 700 000 |  2007  |  108 200 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Вологда | 19.01.15
15020576-22ee | http://is18.auto.ru/all/images/f4/a9/60x45/f4a9ea3c.jpg |  Toyota RAV 4 III (XA30)2.5 AT (170 л.с.) 4WD  | #000000 | 1 000 000 |  2010  |  60 000 км  |  2.5 AT (170 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 19.01.15
49021980-db37 | http://is15.auto.ru/all/images/42/e9/60x45/42e96498.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 CVT (158 л.с.) 4WD  | #9c9999 | 1 050 000 |  2010  |  137 000 км  |  2.0 CVT (158 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 19.01.15
1005331515-c7e0e | http://is11.auto.ru/all/images/0c/c9/60x45/0cc93591.jpg |  Toyota RAV 4 II (XA20)2.0 AT (150 л.с.)  | #CACECB | 385 000 |  2000  |  175 000 км  |  2.0 AT (150 л.с.)внедорожник, бензин, передний  | Москва | 19.01.15
1003435784-2f0af | http://is6.auto.ru/all/images/b1/6a/60x45/b16a12e2.jpg |  Toyota RAV 4 II (XA20)2.0 AT (150 л.с.) 4WD  | #CACECB | 500 000 |  2002  |  150 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 19.01.15
1007035965-1b4130 | http://is7.auto.ru/all/images/a9/66/60x45/a966b11c.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 CVT (148 л.с.) 4WD  | #000000 | 1 150 000 |  2010  |  66 000 км  |  2.0 CVT (148 л.с.) 4WDвнедорожник, бензин, полный  | Пенза | 19.01.15
1007034143-3580e | http://is16.auto.ru/all/images/b4/de/60x45/b4def9f5.jpg |  Toyota RAV 4 III (XA30)2.4 AT (170 л.с.) 4WD  | #9c9999 | 810 000 |  2007  |  101 000 км  |  2.4 AT (170 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 19.01.15
1006256163-72f0 | http://is1.auto.ru/all/images/c3/62/60x45/c3629a6e.jpg |  Toyota RAV 4 III (XA30)2.0 AT (152 л.с.) 4WD  | #CACECB | 700 000 |  2006  |  93 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Курск | 19.01.15
1006110803-8b02 | http://is7.auto.ru/all/images/99/8e/60x45/998eb126.jpg |  Toyota RAV 4 IV (CA40)2.2d AT (149 л.с.) 4WD  | #FFFFFF | 1 450 000 |  2014  |  25 000 км  |  2.2d AT (149 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 19.01.15
1007032347-21aab3 | http://is12.auto.ru/all/images/b6/49/60x45/b6492e1c.jpg |  Toyota RAV 4 III (XA30)2.0 AT (150 л.с.) 4WD  | #FF0000 | 700 000 Правый руль |  2005  |  128 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Барнаул | 19.01.15
1006673977-86999 | http://is11.auto.ru/all/images/2a/3e/60x45/2a3e0f4e.jpg |  Toyota RAV 4 III (XA30)2.0 MT (152 л.с.) 4WD  | #CACECB | 698 000 |  2007  |  91 000 км  |  2.0 MT (152 л.с.) 4WDвнедорожник, бензин, полный  | Рязань | 19.01.15
1006994021-c9a39 | http://is17.auto.ru/all/images/2c/21/60x45/2c21f924.jpg |  Toyota RAV 4 II (XA20)2.0 AT (150 л.с.) 4WD  | #CACECB | 400 000 |  2000  |  120 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 19.01.15
1006993899-0b08 | http://is16.auto.ru/all/images/ad/fd/60x45/adfd29d8.jpg |  Toyota RAV 4 I (XA10)2.0 MT (129 л.с.)  | #9c9999 | 230 000 |  1994  |  320 000 км  |  2.0 MT (129 л.с.)внедорожник, бензин, передний  | Чернь | 18.01.15
1006993979-a60c9a | http://is13.auto.ru/all/images/9e/ed/60x45/9eed7943.jpg |  Toyota RAV 4 I (XA10)2.0 AT (140 л.с.) 4WD  | #0000FF | 265 000 Правый руль |  1996  |  240 000 км  |  2.0 AT (140 л.с.) 4WDвнедорожник, бензин, полный  | Самара | 18.01.15
1006867475-56f75c | http://is18.auto.ru/all/images/42/d1/60x45/42d1b81a.jpg |  Toyota RAV 4 IV (CA40)2.5 AT (179 л.с.) 4WD  | #926547 | 1 700 000 |  2014  |  11 200 км  |  2.5 AT (179 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 18.01.15
1005186379-40ff79 | http://is3.auto.ru/all/images/94/8a/60x45/948a0cb5.jpg |  Toyota RAV 4 III (XA30)2.0 AT (152 л.с.) 4WD  | #9c9999 | 770 000 |  2007  |  90 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Псков | 18.01.15
1004961135-860ec4 | http://is18.auto.ru/all/images/36/39/60x45/3639d1e5.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 CVT (158 л.с.) 4WD  | #FFFFFF | 1 250 000 |  2010  |  62 000 км  |  2.0 CVT (158 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 18.01.15
1006992607-cfacc | http://is2.auto.ru/all/images/68/fa/60x45/68fa750a.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 AT (152 л.с.) 4WD  | #FFFFFF | 1 100 000 |  2011  |  40 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Нижний Новгород | 18.01.15
1003206040-9594fc | http://is17.auto.ru/all/images/ae/ae/60x45/aeaee0d9.jpg |  Toyota RAV 4 I (XA10)2.0 MT (129 л.с.) 4WD  | #34ba2b | 230 000 |  1996  |  317 000 км  |  2.0 MT (129 л.с.) 4WDвнедорожник, бензин, полный  | Липецк | 18.01.15
47046948-3390d | http://is9.auto.ru/all/images/1e/34/60x45/1e348908.jpg |  Toyota RAV 4 II (XA20)2.0 MT (150 л.с.) 4WD  | #CACECB | 495 000 |  2002  |  112 000 км  |  2.0 MT (150 л.с.) 4WDвнедорожник, бензин, полный  | Воронеж | 18.01.15
1006990531-d72b0 | http://is9.auto.ru/all/images/5e/bd/60x45/5ebdacd1.jpg |  Toyota RAV 4 III (XA30)2.0 AT (152 л.с.) 4WD  | #000000 | 935 000 |  2010  |  106 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 18.01.15
1006990401-46d6 | http://is17.auto.ru/all/images/b4/a5/60x45/b4a599d3.jpg |  Toyota RAV 4 II (XA20) Рестайлинг2.0 AT (150 л.с.) 4WD  | #9c9999 | 528 000 |  2004  |  125 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Домодедово | 18.01.15
1006989345-3b4c | http://is2.auto.ru/all/images/78/04/60x45/780416d8.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 CVT (158 л.с.) 4WD  | #9c9999 | 950 000 |  2011  |  28 000 км  |  2.0 CVT (158 л.с.) 4WDвнедорожник, бензин, полный  | Тверь | 18.01.15
1006989739-d7d1d | http://is17.auto.ru/all/images/4e/43/60x45/4e43d858.jpg |  Toyota RAV 4 IV (CA40)2.0 MT (145 л.с.)  | #000000 | 1 280 000 |  2013  |  11 000 км  |  2.0 MT (145 л.с.)внедорожник, бензин, передний  | Владимир | 18.01.15
1006512079-9dd7 | http://is17.auto.ru/all/images/7b/6b/60x45/7b6b72b6.jpg |  Toyota RAV 4 III (XA30)2.0 AT (152 л.с.) 4WD  | #9c9999 | 900 000 |  2008  |  99 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 18.01.15
42533694-323f7 | http://is15.auto.ru/all/images/06/ab/60x45/06ab3b9a.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 CVT (158 л.с.) 4WD  | #926547 | 1 093 000 |  2011  |  94 000 км  |  2.0 CVT (158 л.с.) 4WDвнедорожник, бензин, полный  | Одинцово | 18.01.15
1006989733-d02c0 | http://is3.auto.ru/all/images/96/41/60x45/96411cd5.jpg |  Toyota RAV 4 II (XA20)2.0 AT (150 л.с.) 4WD  | #000000 | 550 000 |  2003  |  97 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Жуковский | 18.01.15
1002556885-3f38 | /i/all7/img/no-photo-thumb.gif |  Toyota RAV 4 III (XA30)2.4 AT (170 л.с.) 4WD  | #34ba2b | 160 000 |  2008  |  30 000 км  |  2.4 AT (170 л.с.) 4WDвнедорожник, бензин, полный  | Екатеринбург | 18.01.15
1006988941-55d2 | http://is4.auto.ru/all/images/b6/68/60x45/b6683624.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.4 AT (170 л.с.) 4WD Long  | #000000 | 1 400 000 |  2012  |  30 000 км  |  2.4 AT (170 л.с.) 4WD Longвнедорожник, бензин, полный  | Балашиха | 18.01.15
1006317793-e573a | http://is14.auto.ru/all/images/6d/60/60x45/6d603912.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 CVT (148 л.с.) 4WD  | #000000 | 1 199 000 |  2011  |  70 000 км  |  2.0 CVT (148 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 18.01.15
1006987731-f821 | http://is4.auto.ru/all/images/6a/23/60x45/6a23656f.jpg |  Toyota RAV 4 II (XA20)2.0 AT (150 л.с.) 4WD  | #000000 | 470 000 |  2000  |  140 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Нижний Новгород | 18.01.15
1002291281-c8cd | http://is15.auto.ru/all/images/cf/aa/60x45/cfaa6bfd.jpg |  Toyota RAV 4 I (XA10)2.0 AT (129 л.с.) 4WD  | #CACECB | 290 000 |  1995  |  167 800 км  |  2.0 AT (129 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 18.01.15
1006987673-17fb | http://is14.auto.ru/all/images/34/f3/60x45/34f3dd5f.jpg |  Toyota RAV 4 II (XA20) Рестайлинг2.0 AT (150 л.с.) 4WD  | #9c9999 | 600 000 |  2005  |  64 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 18.01.15
1006981301-91d06b | http://is18.auto.ru/all/images/7c/9f/60x45/7c9fd171.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 CVT (158 л.с.) 4WD  | #000000 | 1 350 000 |  2011  |  45 000 км  |  2.0 CVT (158 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 18.01.15
1005389237-e2e73 | http://is17.auto.ru/all/images/9c/a0/60x45/9ca07e00.jpg |  Toyota RAV 4 III (XA30)2.0 AT (152 л.с.) 4WD  | #9c9999 | 870 000 |  2007  |  74 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Липецк | 18.01.15
1006986267-00e7 | http://is13.auto.ru/all/images/2b/f0/60x45/2bf027f2.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 AT (152 л.с.) 4WD  | #000000 | 1 200 000 |  2012  |  17 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Нижневартовск | 18.01.15
1006985261-a75c2e | /i/all7/img/no-photo-thumb.gif |  Toyota RAV 4 III (XA30)2.4 AT (170 л.с.) 4WD  | #FF0000 | 880 000 |  2007  |  113 000 км  |  2.4 AT (170 л.с.) 4WDвнедорожник, бензин, полный  | Самара | 18.01.15
1006985345-c2f39e | http://is6.auto.ru/all/images/88/88/60x45/8888d679.jpg |  Toyota RAV 4 III (XA30)2.0 AT (152 л.с.) 4WD  | #000000 | 750 000 |  2006  |  125 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Саратов | 18.01.15
1006984575-49fce6 | http://is5.auto.ru/all/images/c0/c5/60x45/c0c58a7b.jpg |  Toyota RAV 4 III (XA30)2.0 AT (152 л.с.) 4WD  | #CACECB | 900 000 |  2008  |  45 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Балашиха | 18.01.15
1006861801-eea3e | http://is16.auto.ru/all/images/e6/35/60x45/e6352c13.jpg |  Toyota RAV 4 IV (CA40)2.0 MT (145 л.с.) 4WD  | #ffefd5 | 1 050 000 |  2012  |  49 000 км  |  2.0 MT (145 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 18.01.15
1006983807-97cc | /i/all7/img/no-photo-thumb.gif |  Toyota RAV 4 IV (CA40)2.2d AT (149 л.с.) 4WD  | #FFFFFF | 2 000 000 |  2014  |  36 км  |  2.2d AT (149 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 18.01.15
1006980211-28d2e | /i/all7/img/no-photo-thumb.gif |  Toyota RAV 4 II (XA20) Рестайлинг2.0 AT (150 л.с.) 4WD  | #9c9999 | 601 680 |  2004  |  210 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 18.01.15
1006800965-3675 | http://is1.auto.ru/all/images/d7/0a/60x45/d70a9f2f.jpg |  Toyota RAV 4 IV (CA40)2.0 MT (145 л.с.)  | #FFFFFF | 1 350 000 |  2014  |  1 км  |  2.0 MT (145 л.с.)внедорожник, бензин, передний  | Москва | 18.01.15
1006809989-20d88 | http://is13.auto.ru/all/images/4b/74/60x45/4b7441fc.jpg |  Toyota RAV 4 II (XA20) Рестайлинг2.4 MT 4WD  | #0000FF | 470 000 |  2006  |  86 000 км  |  2.4 MT 4WDвнедорожник, бензин, полный  | Москва | 18.01.15
1005858987-4b981e | http://is18.auto.ru/all/images/41/a9/60x45/41a9d222.jpg |  Toyota RAV 4 I (XA10)2.0 MT (129 л.с.) 4WD  | #34ba2b | 310 000 |  1997  |  250 000 км  |  2.0 MT (129 л.с.) 4WDвнедорожник, бензин, полный  | Ярославль | 18.01.15
47970630-5baee | http://is18.auto.ru/all/images/5f/3a/60x45/5f3afd27.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 CVT (158 л.с.) 4WD  | #0000FF | 1 170 000 |  2012  |  53 000 км  |  2.0 CVT (158 л.с.) 4WDвнедорожник, бензин, полный  | Железногорск | 18.01.15
1006627745-258b | http://is17.auto.ru/all/images/2d/5c/60x45/2d5c783e.jpg |  Toyota RAV 4 II (XA20)2.0 AT (150 л.с.) 4WD  | #CACECB | 450 000 |  2003  |  220 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Махачкала | 18.01.15
1006980443-4be474 | http://is4.auto.ru/all/images/f9/62/60x45/f9623675.jpg |  Toyota RAV 4 III (XA30)2.0 MT (152 л.с.) 4WD  | #FFFFFF | 699 000 |  2008  |  64 000 км  |  2.0 MT (152 л.с.) 4WDвнедорожник, бензин, полный  | Нижний Новгород | 18.01.15
1006979423-bab24 | http://is5.auto.ru/all/images/4f/1a/60x45/4f1a76fe.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 CVT (158 л.с.) 4WD  | #9c9999 | 1 150 000 |  2010  |  80 000 км  |  2.0 CVT (158 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 18.01.15
1006929787-b2ed | /i/all7/img/no-photo-thumb.gif |  Toyota RAV 4 III (XA30) Рестайлинг2.0 CVT (158 л.с.) 4WD  | #ffefd5 | 1 100 000 |  2011  |  98 000 км  |  2.0 CVT (158 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 18.01.15
1006978955-64fba1 | http://is18.auto.ru/all/images/b1/00/60x45/b100f987.jpg |  Toyota RAV 4 IV (CA40)2.0 CVT (151 л.с.) 4WD  | #000000 | 1 720 000 |  2014  |  6 000 км  |  2.0 CVT (151 л.с.) 4WDвнедорожник, бензин, полный  | Пермь | 18.01.15
1006877549-10c7f | http://is18.auto.ru/all/images/11/69/60x45/1169d38c.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 AT (152 л.с.) 4WD  | #FFFFFF | 1 150 000 |  2011  |  65 000 км  |  2.0 AT (152 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 18.01.15
1006524055-6ef8 | http://is5.auto.ru/all/images/7e/7c/60x45/7e7c55b1.jpg |  Toyota RAV 4 III (XA30) Рестайлинг2.0 CVT (158 л.с.) 4WD  | #FFFFFF | 1 275 000 |  2010  |  80 000 км  |  2.0 CVT (158 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 18.01.15
1006976705-3a50f | http://is11.auto.ru/all/images/4a/5a/60x45/4a5a54d9.jpg |  Toyota RAV 4 IV (CA40)2.0 CVT (145 л.с.) 4WD  | #926547 | 1 550 000 |  2014  |  7 400 км  |  2.0 CVT (145 л.с.) 4WDвнедорожник, бензин, полный  | Новосибирск | 18.01.15
1006937135-8104 | http://is3.auto.ru/all/images/96/50/60x45/96505c07.jpg |  Toyota RAV 4 I (XA10)2.0 AT (135 л.с.) 4WD  | #000000 | 195 000 |  1997  |  207 000 км  |  2.0 AT (135 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 18.01.15
