1006805051-16db | http://is7.auto.ru/all/images/34/30/60x45/34300528.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #CACECB | 880 000 |  2009  |  118 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Ростов-на-Дону | 22.01.15
1006754493-5441 | http://is15.auto.ru/all/images/5f/46/60x45/5f468a94.jpg |  Audi A4 II (B6)1.8 MT (150 л.с.)  | #000000 | 355 000 |  2002  |  240 000 км  |  1.8 MT (150 л.с.)седан, бензин, передний  | Старый Оскол | 17.01.15
45906308-df3043 | http://is11.auto.ru/all/images/c6/c9/60x45/c6c92edd.jpg |  Audi A4 II (B6)1.9d MT (130 л.с.)  | #0000FF | 500 000 |  2003  |  230 000 км  |  1.9d MT (130 л.с.)седан, дизель, передний  | Орел | 17.01.15
42039932-b5963f | http://is6.auto.ru/all/images/b4/14/60x45/b4143faa.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #fde910 | 840 000 |  2007  |  85 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 17.01.15
46120062-3b968c | http://is11.auto.ru/all/images/46/53/60x45/4653ee04.jpg |  Audi A4 II (B6)1.9d MT (130 л.с.) 4WD  | #9c9999 | 370 000 |  2004  |  309 000 км  |  1.9d MT (130 л.с.) 4WDседан, дизель, полный  | Белгород | 17.01.15
50254004-b829c6 | /i/all7/img/no-photo-thumb.gif |  Audi A4 II (B6)3.0 AT (220 л.с.) 4WD  | #FF0000 | 1 000 000 |  2003  |  73 000 км  |  3.0 AT (220 л.с.) 4WDседан, бензин, полный  | Москва | 17.01.15
25586402-6d29 | /i/all7/img/no-photo-thumb.gif |  Audi A4 II (B6)3.0 AT (220 л.с.) 4WD  | #926547 | 640 000 |  2003  |  250 000 км  |  3.0 AT (220 л.с.) 4WDседан, бензин, полный  | Видное | 17.01.15
36722182-604e | http://is15.auto.ru/all/images/a5/34/60x45/a53419e9.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #000000 | 840 000 |  2009  |  70 000 км  |  2.0 AT (200 л.с.) 4WDкабриолет, бензин, полный  | Москва | 17.01.15
1005161757-0bab | http://is10.auto.ru/all/images/b2/cc/60x45/b2ccbc81.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #9c9999 | 555 000 |  2004  |  156 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Троицк | 17.01.15
1002103945-f0aab2 | http://is5.auto.ru/all/images/a1/e8/60x45/a1e85eaf.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #CACECB | 665 000 |  2006  |  181 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Санкт-Петербург | 17.01.15
1006920481-35ba | http://is15.auto.ru/all/images/90/63/60x45/906347eb.jpg |  Audi A4 I (B5)1.9d MT (90 л.с.)  | #9966CC | 185 000 |  1995  |  370 000 км  |  1.9d MT (90 л.с.)седан, дизель, передний  | Великий Новгород | 17.01.15
1006920031-87bb | http://is15.auto.ru/all/images/ae/87/60x45/ae8745cc.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FFFFFF | 1 070 000 |  2012  |  80 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Красноярск | 17.01.15
1005637787-28415 | http://is15.auto.ru/all/images/7f/f8/60x45/7ff8a070.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #9c9999 | 400 000 |  2004  |  145 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Самара | 17.01.15
1006111567-bafc7 | http://is14.auto.ru/all/images/30/bb/60x45/30bb08fa.jpg |  Audi A4 I (B5) Рестайлинг1.8 AT (150 л.с.) 4WD  | #CACECB | 340 000 |  2000  |  150 000 км  |  1.8 AT (150 л.с.) 4WDседан, бензин, полный  | Владимир | 17.01.15
1006884995-f2b0 | http://is17.auto.ru/all/images/88/c9/60x45/88c9a587.jpg |  Audi A4 III (B7)2.0 CVT (200 л.с.)  | #0000FF | 530 000 |  2005  |  174 000 км  |  2.0 CVT (200 л.с.)седан, бензин, передний  | Новороссийск | 17.01.15
1006801163-b11de4 | http://is2.auto.ru/all/images/ed/29/60x45/ed291a6a.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 849 999 |  2008  |  130 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Клинцы | 17.01.15
1002017871-389f2 | http://is3.auto.ru/all/images/9d/7a/60x45/9d7a4b74.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #FFFFFF | 590 000 |  2005  |  141 800 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Электросталь | 17.01.15
1006617447-b28a8 | http://is18.auto.ru/all/images/83/b8/60x45/83b868f6.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #0000FF | 1 300 000 |  2013  |  44 500 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 17.01.15
1005463063-72fcee | http://is2.auto.ru/all/images/f5/4a/60x45/f54a8e44.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #CACECB | 770 000 |  2008  |  117 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006810863-924c7e | http://is12.auto.ru/all/images/b2/07/60x45/b2078341.jpg |  Audi A4 I (B5)1.8 MT (125 л.с.)  | #CACECB | 230 000 |  1997  |  335 000 км  |  1.8 MT (125 л.с.)универсал, бензин, передний  | Саров | 16.01.15
1006878269-6650c9 | http://is15.auto.ru/all/images/81/62/60x45/8162b0b8.jpg |  Audi A4 II (B6)1.8 CVT (150 л.с.)  | #CACECB | 405 000 |  2002  |  207 000 км  |  1.8 CVT (150 л.с.)седан, бензин, передний  | Нижний Новгород | 16.01.15
1003560474-942324 | http://is12.auto.ru/all/images/f6/7f/60x45/f67f1a9b.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #9c9999 | 919 000 |  2010  |  84 000 км  |  2.0d CVT (143 л.с.)седан, дизель, передний  | Нижний Новгород | 16.01.15
1006878145-f54a20 | http://is1.auto.ru/all/images/4a/35/60x45/4a357351.jpg |  Audi A4 III (B7)2.0 MT (130 л.с.)  | #000000 | 535 000 |  2005  |  120 000 км  |  2.0 MT (130 л.с.)седан, бензин, передний  | Наро-Фоминск | 16.01.15
1006877607-ed26 | http://is4.auto.ru/all/images/3c/e6/60x45/3ce68258.jpg |  Audi A4 II (B6)1.8 MT (170 л.с.) 4WD  | #9c9999 | 380 000 |  2002  |  248 000 км  |  1.8 MT (170 л.с.) 4WDседан, бензин, полный  | Наро-Фоминск | 16.01.15
47280994-12d64 | http://is10.auto.ru/all/images/39/af/60x45/39af3a8b.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 880 000 |  2010  |  74 500 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 16.01.15
46057414-481b | http://is10.auto.ru/all/images/22/93/60x45/22933078.jpg |  Audi A4 I (B5) Рестайлинг1.8 AT (125 л.с.)  | #CACECB | 290 000 |  1999  |  195 000 км  |  1.8 AT (125 л.с.)универсал, бензин, передний  | Орел | 16.01.15
1005861919-83929 | http://is9.auto.ru/all/images/2b/98/60x45/2b987538.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 1 100 000 |  2011  |  43 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Краснодар | 16.01.15
1006875815-3fc7c | http://is11.auto.ru/all/images/98/64/60x45/9864a99e.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (211 л.с.) 4WD  | #FF0000 | 1 450 000 |  2012  |  26 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Москва | 16.01.15
1006875555-659a4 | http://is17.auto.ru/all/images/86/22/60x45/86220234.jpg |  Audi A4 III (B7)1.9d MT (115 л.с.)  | #000000 | 650 000 |  2007  |  201 000 км  |  1.9d MT (115 л.с.)универсал, дизель, передний  | Пенза | 16.01.15
1005975065-e157 | http://is6.auto.ru/all/images/9c/90/60x45/9c90398f.jpg |  Audi A4 II (B6)1.8 CVT (163 л.с.)  | #0000FF | 450 000 |  2004  |  192 000 км  |  1.8 CVT (163 л.с.)седан, бензин, передний  | Егорьевск | 16.01.15
1006313261-d31ead | http://is2.auto.ru/all/images/a0/a6/60x45/a0a6e984.jpg |  Audi A4 I (B5) Рестайлинг2.5d MT (150 л.с.) 4WD  | #0000FF | 240 000 |  1999  |  230 000 км  |  2.5d MT (150 л.с.) 4WDседан, дизель, полный  | Тверь | 16.01.15
1006872431-2b6047 | http://is16.auto.ru/all/images/d8/7c/60x45/d87c4b11.jpg |  Audi A4 II (B6)1.8 CVT (150 л.с.)  | #9c9999 | 200 000 |  2000  |  300 000 км  |  1.8 CVT (150 л.с.)седан, бензин, передний  | Москва | 16.01.15
1006872513-5d94a | http://is8.auto.ru/all/images/36/39/60x45/36393d30.jpg |  Audi A4 I (B5) Рестайлинг1.6 MT (101 л.с.)  | #CACECB | 260 000 |  1999  |  280 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 16.01.15
1006872447-6259b | http://is16.auto.ru/all/images/d8/7c/60x45/d87c4b11.jpg |  Audi A4 II (B6)1.8 CVT (150 л.с.)  | #9c9999 | 200 000 |  2000  |  300 000 км  |  1.8 CVT (150 л.с.)седан, бензин, передний  | Москва | 16.01.15
1006870327-ff11 | http://is13.auto.ru/all/images/66/98/60x45/66981e73.jpg |  Audi A4 II (B6)1.6 MT (102 л.с.)  | #000000 | 360 000 |  2003  |  197 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Курск | 16.01.15
1006870337-7600f3 | http://is8.auto.ru/all/images/c6/8b/60x45/c68b2b27.jpg |  Audi A4 III (B7)2.0d CVT (140 л.с.) 8V  | #9c9999 | 680 000 |  2007  |  230 км  |  2.0d CVT (140 л.с.) 8Vседан, дизель, передний  | Смоленск | 16.01.15
37889790-58df | http://is15.auto.ru/all/images/8a/b5/60x45/8ab5b1a9.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #34ba2b | 195 000 |  1996  |  350 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Орел | 16.01.15
1006868899-d1ed | http://is6.auto.ru/all/images/85/34/60x45/8534d26c.jpg |  Audi A4 I (B5) Рестайлинг1.8 MT (150 л.с.)  | #0000FF | 240 000 |  1998  |  255 000 км  |  1.8 MT (150 л.с.)седан, бензин, передний  | Москва | 16.01.15
24754664-cfcc3 | http://is14.auto.ru/all/images/f6/8c/60x45/f68cb631.jpg |  Audi A4 II (B6)3.0 AT (220 л.с.) 4WD  | #000000 | 1 901 118 |  2003  |  90 000 км  |  3.0 AT (220 л.с.) 4WDседан, бензин, полный  | Москва | 16.01.15
1006796465-66a4a | http://is15.auto.ru/all/images/dc/ef/60x45/dcef03db.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #000000 | 620 000 |  2007  |  151 256 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Воронеж | 16.01.15
1006866533-bb9d6 | http://is9.auto.ru/all/images/75/ae/60x45/75aebd3c.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #9c9999 | 1 640 000 |  2013  |  20 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 16.01.15
1006866893-4018 | http://is5.auto.ru/all/images/70/24/60x45/7024cd24.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #ffefd5 | 595 000 |  2007  |  108 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 16.01.15
1003613262-14c076 | http://is9.auto.ru/all/images/5a/63/60x45/5a63dcbe.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #0000FF | 740 000 |  2008  |  109 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 16.01.15
1006259669-b8dbc | http://is18.auto.ru/all/images/e9/98/60x45/e998ac1d.jpg |  Audi A4 II (B6)3.0 AT (220 л.с.) 4WD  | #000000 | 1 206 227 |  2002  |  115 000 км  |  3.0 AT (220 л.с.) 4WDседан, бензин, полный  | Москва | 16.01.15
1006813833-519a80 | http://is13.auto.ru/all/images/b0/41/60x45/b0419533.jpg |  Audi A4 I (B5)1.8 AT (125 л.с.)  | #000000 | 189 000 |  1997  |  190 000 км  |  1.8 AT (125 л.с.)седан, бензин, передний  | Москва | 16.01.15
1006865695-ac4f | http://is1.auto.ru/all/images/40/b6/60x45/40b64672.jpg |  Audi A4 II (B6)1.8 CVT (163 л.с.)  | #CACECB | 440 000 |  2004  |  200 000 км  |  1.8 CVT (163 л.с.)седан, бензин, передний  | Воронеж | 16.01.15
1006864405-fed6f | /i/all7/img/no-photo-thumb.gif |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #000000 | 550 000 |  2006  |  176 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Тула | 16.01.15
1002485455-1c5c80 | http://is12.auto.ru/all/images/4c/3e/60x45/4c3ecd57.jpg |  Audi A4 IV (B8) Рестайлинг2.0d CVT (143 л.с.)  | #000000 | 900 000 |  2011  |  75 000 км  |  2.0d CVT (143 л.с.)универсал, дизель, передний  | Москва | 16.01.15
1005711365-96655e | http://is18.auto.ru/all/images/58/fe/60x45/58fea148.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 900 000 |  2011  |  80 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 16.01.15
1006801741-112ed2 | http://is14.auto.ru/all/images/86/48/60x45/86481918.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #FF0000 | 700 000 |  2006  |  185 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 16.01.15
1006862037-9666c | http://is18.auto.ru/all/images/b2/78/60x45/b278df57.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #000000 | 700 000 |  2007  |  130 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Лабытнанги | 16.01.15
1006862463-98c6 | http://is8.auto.ru/all/images/f6/c1/60x45/f6c18801.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #FF0000 | 700 000 |  2007  |  120 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 16.01.15
31463308-35c340 | http://is16.auto.ru/all/images/ff/cb/60x45/ffcb5bc5.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #9c9999 | 230 000 |  1999  |  220 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Окуловка | 16.01.15
39140700-abfa56 | http://is18.auto.ru/all/images/48/9f/60x45/489fc2ee.jpg |  Audi A4 III (B7)1.8 CVT (163 л.с.)  | #9c9999 | 620 000 |  2006  |  140 000 км  |  1.8 CVT (163 л.с.)седан, бензин, передний  | Сергиев Посад | 16.01.15
1003827414-d4e6 | http://is16.auto.ru/all/images/e4/f1/60x45/e4f148b0.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #000000 | 499 000 |  2005  |  134 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 16.01.15
1006861657-8d5520 | /i/all7/img/no-photo-thumb.gif |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #CACECB | 300 000 |  2001  |  170 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Махачкала | 16.01.15
1006861511-c33e43 | http://is15.auto.ru/all/images/93/9c/60x45/939cec48.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 695 500 |  2008  |  250 627 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Белгород | 16.01.15
1004469685-6737 | http://is7.auto.ru/all/images/ce/6c/60x45/ce6c6320.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #000000 | 565 000 |  2007  |  118 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Казань | 16.01.15
1001718051-7a00b | /i/all7/img/no-photo-thumb.gif |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 1 150 000 |  2011  |  92 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Оренбург | 16.01.15
1000700471-8867 | http://is11.auto.ru/all/images/70/61/60x45/7061e78e.jpg |  Audi A4 I (B5) Рестайлинг1.9d AT (116 л.с.)  | #0000FF | 250 000 |  2000  |  298 000 км  |  1.9d AT (116 л.с.)универсал, дизель, передний  | Балашиха | 16.01.15
1006856817-46f5d7 | http://is5.auto.ru/all/images/38/5f/60x45/385f6a84.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 970 000 |  2011  |  29 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 16.01.15
49259780-1c65e | http://is3.auto.ru/all/images/f8/db/60x45/f8db9c39.jpg |  Audi A4 I (B5) Рестайлинг1.8 MT (150 л.с.)  | #0000FF | 230 000 |  1997  |  230 000 км  |  1.8 MT (150 л.с.)седан, бензин, передний  | Малоярославец | 16.01.15
1006855653-82a198 | http://is6.auto.ru/all/images/92/c5/60x45/92c5a2c0.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #0000FF | 230 000 |  1995  |  240 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Заводоуковск | 16.01.15
1006840255-78e1 | http://is18.auto.ru/all/images/a3/37/60x45/a3371666.jpg |  Audi A4 I (B5) Рестайлинг1.8 MT (180 л.с.)  | #000000 | 280 000 |  2001  |  200 000 км  |  1.8 MT (180 л.с.)седан, бензин, передний  | Буденновск | 16.01.15
1006839729-78ae | http://is16.auto.ru/all/images/f5/3c/60x45/f53c65d4.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #FFFFFF | 1 030 000 |  2011  |  17 000 км  |  2.0 AT (211 л.с.) 4WDуниверсал, бензин, полный  | Москва | 16.01.15
1005815163-0449 | http://is8.auto.ru/all/images/3d/1b/60x45/3d1bc8c1.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FFFFFF | 1 739 000 |  2014  |  1 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 16.01.15
1006091475-a6544f | http://is8.auto.ru/all/images/31/7c/60x45/317ca588.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (211 л.с.) 4WD  | #926547 | 1 650 000 |  2013  |  20 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Ростов-на-Дону | 16.01.15
1006816975-840bf | http://is18.auto.ru/all/images/2d/7d/60x45/2d7d05ba.jpg |  Audi A4 III (B7)2.0d MT (140 л.с.) 8V  | #0000FF | 550 000 |  2007  |  147 500 км  |  2.0d MT (140 л.с.) 8Vуниверсал, дизель, передний  | Почеп | 16.01.15
1006112947-18cdf6 | http://is9.auto.ru/all/images/9d/9f/60x45/9d9f2494.jpg |  Audi A4 IV (B8)3.0 AT (333 л.с.) 4WD  | #000000 | 1 420 000 |  2009  |  53 000 км  |  3.0 AT (333 л.с.) 4WDседан, бензин, полный  | Санкт-Петербург | 16.01.15
1006265039-65e852 | http://is2.auto.ru/all/images/21/ae/60x45/21ae393d.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #0088ff | 850 000 |  2008  |  106 054 км  |  2.0d CVT (143 л.с.)седан, дизель, передний  | Тверь | 15.01.15
1006815975-b251 | http://is6.auto.ru/all/images/60/27/60x45/6027c33d.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (211 л.с.) 4WD  | #000000 | 1 550 000 |  2012  |  30 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Санкт-Петербург | 15.01.15
1006815945-3e0c | http://is4.auto.ru/all/images/0a/54/60x45/0a54c80f.jpg |  Audi A4 I (B5) Рестайлинг1.6 MT (101 л.с.)  | #0000FF | 240 000 |  1998  |  240 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Великий Новгород | 15.01.15
1006683763-600e3 | http://is11.auto.ru/all/images/53/14/60x45/5314f5c6.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #0088ff | 650 000 |  2007  |  79 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 15.01.15
1003360396-89f8 | http://is4.auto.ru/all/images/04/f0/60x45/04f08e9b.jpg |  Audi A4 I (B5) Рестайлинг1.9d MT (90 л.с.)  | #0000FF | 210 000 |  1999  |  358 000 км  |  1.9d MT (90 л.с.)универсал, дизель, передний  | Воронеж | 15.01.15
1005169173-a3712 | http://is4.auto.ru/all/images/ca/f1/60x45/caf12b86.jpg |  Audi A4 IV (B8)1.8 AT (160 л.с.)  | #000000 | 830 000 |  2008  |  86 000 км  |  1.8 AT (160 л.с.)седан, бензин, передний  | Санкт-Петербург | 15.01.15
1006814817-e5cb8 | http://is5.auto.ru/all/images/52/e9/60x45/52e9b42f.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.)  | #CACECB | 820 000 |  2009  |  102 000 км  |  2.0 AT (211 л.с.)седан, бензин, передний  | Москва | 15.01.15
1005807453-79a04 | http://is14.auto.ru/all/images/a9/61/60x45/a9617f3a.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #000000 | 625 000 |  2007  |  147 600 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Брянск | 15.01.15
1006814627-19d55 | http://is3.auto.ru/all/images/18/62/60x45/1862133a.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #34ba2b | 210 000 |  1995  |  390 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Белгород | 15.01.15
45047106-2c33 | http://is17.auto.ru/all/images/28/1e/60x45/281ebe7b.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #9c9999 | 410 000 |  2001  |  280 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Ступино | 15.01.15
1006814403-bd060 | http://is15.auto.ru/all/images/e2/3d/60x45/e23d9fda.jpg |  Audi A4 II (B6)1.6 MT (102 л.с.)  | #9c9999 | 370 000 |  2002  |  170 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 15.01.15
1005974739-2103dd | http://is8.auto.ru/all/images/3b/b1/60x45/3bb1d66c.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FFFFFF | 1 700 000 |  2014  |  1 600 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006812889-ab79d | http://is10.auto.ru/all/images/6d/9e/60x45/6d9e8fb5.jpg |  Audi A4 II (B6)1.8 CVT (170 л.с.)  | #000000 | 350 000 |  2002  |  240 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Петушки | 15.01.15
25230576-c87c | http://is2.auto.ru/all/images/ee/ac/60x45/eeac94c6.jpg |  Audi A4 II (B6)3.0 AT (220 л.с.) 4WD  | #0000FF | 1 494 672 |  2003  |  100 000 км  |  3.0 AT (220 л.с.) 4WDседан, бензин, полный  | Москва | 15.01.15
7558614-6ebcf | http://is9.auto.ru/all/images/bc/6e/60x45/bc6e9ebc.jpg |  Audi A4 II (B6)3.0 AT (220 л.с.) 4WD  | #FF0000 | 2 549 334 |  2004  |  46 000 км  |  3.0 AT (220 л.с.) 4WDседан, бензин, полный  | Москва | 15.01.15
24534636-1cdb5 | http://is3.auto.ru/all/images/f0/9b/60x45/f09bb7b5.jpg |  Audi A4 II (B6)3.0 AT (220 л.с.) 4WD  | #0000FF | 917 781 |  2002  |  150 000 км  |  3.0 AT (220 л.с.) 4WDуниверсал, бензин, полный  | Москва | 15.01.15
18686070-719205 | http://is17.auto.ru/all/images/b8/43/60x45/b8435435.jpg |  Audi A4 II (B6)3.0 CVT (220 л.с.)  | #0000FF | 550 000 |  2001  |  129 000 км  |  3.0 CVT (220 л.с.)седан, бензин, передний  | Москва | 15.01.15
1004968219-8b97db | http://is6.auto.ru/all/images/ab/4a/60x45/ab4a3845.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #000000 | 420 000 |  2002  |  243 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Санкт-Петербург | 15.01.15
1006812017-194089 | http://is3.auto.ru/all/images/d4/13/60x45/d4136012.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #9c9999 | 395 000 |  2002  |  200 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Москва | 15.01.15
30796394-b8580e | http://is8.auto.ru/all/images/62/65/60x45/6265229a.jpg |  Audi A4 I (B5) Рестайлинг1.6 MT (101 л.с.)  | #0000FF | 360 000 |  2000  |  180 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Орел | 15.01.15
1006811053-1233 | http://is7.auto.ru/all/images/55/30/60x45/5530a94d.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #000000 | 900 000 |  2009  |  56 100 км  |  2.0d CVT (143 л.с.)седан, дизель, передний  | Москва | 15.01.15
1006810879-0346 | http://is1.auto.ru/all/images/6e/b1/60x45/6eb1e378.jpg |  Audi A4 II (B6)2.0 MT (130 л.с.)  | #0000FF | 310 000 |  2001  |  220 000 км  |  2.0 MT (130 л.с.)седан, бензин, передний  | Ромоданово | 15.01.15
1006810889-295a1 | http://is9.auto.ru/all/images/60/b6/60x45/60b67e49.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 750 000 |  2008  |  170 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Киров | 15.01.15
1004970569-747bc | http://is17.auto.ru/all/images/58/18/60x45/581801f7.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 860 000 |  2009  |  100 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 15.01.15
1004910757-34596 | http://is16.auto.ru/all/images/e2/4f/60x45/e24f3e3d.jpg |  Audi A4 I (B5) Рестайлинг1.8 MT (125 л.с.)  | #CACECB | 290 000 |  1999  |  213 000 км  |  1.8 MT (125 л.с.)универсал, бензин, передний  | Калуга | 15.01.15
1006749875-0490a | http://is18.auto.ru/all/images/01/cb/60x45/01cb301f.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #ffefd5 | 375 000 |  2002  |  300 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Санкт-Петербург | 15.01.15
1006807199-7c444 | http://is11.auto.ru/all/images/c7/24/60x45/c724e018.jpg |  Audi A4 I (B5) Рестайлинг1.8 MT (125 л.с.)  | #000000 | 225 000 |  1998  |  330 000 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Чехов | 15.01.15
1006807009-6064 | http://is15.auto.ru/all/images/c7/15/60x45/c71560c5.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #000000 | 860 000 |  2008  |  89 000 км  |  2.0d CVT (143 л.с.)седан, дизель, передний  | Москва | 15.01.15
1006806715-88a2d5 | http://is12.auto.ru/all/images/55/08/60x45/5508bf7a.jpg |  Audi A4 II (B6)1.6 MT (102 л.с.)  | #0000FF | 380 000 |  2002  |  201 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Нелидово | 15.01.15
1005568243-ec086f | http://is3.auto.ru/all/images/8a/6b/60x45/8a6b9bf9.jpg |  Audi A4 III (B7)1.8 CVT (163 л.с.)  | #0000FF | 679 000 |  2006  |  102 000 км  |  1.8 CVT (163 л.с.)седан, бензин, передний  | Москва | 15.01.15
