36596518-52dc | http://is7.auto.ru/all/images/1f/5f/60x45/1f5fb583.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 260 000 |  2007  |  150 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Сургут | 29.07.14
1006988369-855c | http://is12.auto.ru/all/images/55/bf/60x45/55bf4270.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 320 000 |  2011  |  82 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006987571-bf8b9 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 205 000 |  2007  |  150 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ростов-на-Дону | 18.01.15
1005754231-13d9b3 | http://is11.auto.ru/all/images/33/73/60x45/33734780.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 360 000 |  2010  |  46 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Тверь | 18.01.15
1006988965-f079 | http://is15.auto.ru/all/images/be/11/60x45/be11cd6a.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 345 000 |  2011  |  80 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Орел | 18.01.15
1006989035-8907ef | http://is2.auto.ru/all/images/a1/71/60x45/a1712647.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 250 000 |  2007  |  152 001 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006814025-ee0b27 | http://is15.auto.ru/all/images/5d/a9/60x45/5da98d0d.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #000000 | 275 000 |  2008  |  74 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Тверь | 18.01.15
1006989403-30f885 | http://is10.auto.ru/all/images/bb/13/60x45/bb13358d.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 365 000 |  2013  |  26 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Кострома | 18.01.15
1006989637-aac8d | http://is9.auto.ru/all/images/23/2d/60x45/232deb1b.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 245 000 |  2009  |  72 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Белгород | 18.01.15
1006990667-4e48f | http://is16.auto.ru/all/images/d9/2c/60x45/d92c2114.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 320 000 |  2011  |  113 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006990951-8481dd | http://is16.auto.ru/all/images/03/e1/60x45/03e16e1f.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 235 000 |  2010  |  95 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Брянск | 18.01.15
1006990281-b5a7c5 | http://is12.auto.ru/all/images/12/b8/60x45/12b8295e.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 350 000 |  2010  |  75 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Кашира | 18.01.15
1006990423-a4554 | /i/all7/img/no-photo-thumb.gif |  Renault Logan II1.6 MT (102 л.с.)  | #0000FF | 610 000 |  2014  |  1 700 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Киров | 18.01.15
1005731453-42d16 | http://is16.auto.ru/all/images/31/d8/60x45/31d8b7ef.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 320 000 |  2010  |  62 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Смоленск | 18.01.15
1006991203-bbe049 | http://is10.auto.ru/all/images/fb/56/60x45/fb56fe28.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 210 000 |  2007  |  125 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Рязань | 18.01.15
1006990691-c7060 | http://is17.auto.ru/all/images/e5/0b/60x45/e50bfdd2.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 250 000 |  2009  |  116 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 18.01.15
1005446805-bf93b2 | http://is12.auto.ru/all/images/a6/3d/60x45/a63d1843.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 353 430 |  2009  |  76 011 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006991419-ebef | http://is3.auto.ru/all/images/7b/65/60x45/7b659d81.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #0000FF | 385 000 |  2011  |  35 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Вичуга | 18.01.15
1006991729-6a4cae | http://is6.auto.ru/all/images/1a/99/60x45/1a999b67.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 350 000 |  2012  |  29 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ефремов | 18.01.15
1006991723-d4a6 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 350 000 |  2012  |  29 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Елец | 18.01.15
1006514951-69beef | http://is7.auto.ru/all/images/95/aa/60x45/95aaea37.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 340 000 |  2011  |  87 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
1006753631-c25a | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 315 000 |  2008  |  120 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Пятигорск | 18.01.15
1005448607-d3eb | http://is3.auto.ru/all/images/0c/94/60x45/0c94fafe.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 200 000 |  2007  |  135 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Курск | 18.01.15
1006865681-5d87e | http://is8.auto.ru/all/images/f0/72/60x45/f0726f73.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 275 000 |  2007  |  77 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006928293-a16f0 | http://is16.auto.ru/all/images/05/bf/60x45/05bf3509.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #FFFFFF | 238 000 |  2012  |  58 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007031363-b3153a | http://is2.auto.ru/all/images/be/6d/60x45/be6d949e.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 318 000 |  2010  |  75 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Пенза | 19.01.15
1006632929-88b35 | http://is3.auto.ru/all/images/6d/66/60x45/6d66aa35.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 185 000 |  2011  |  99 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Щербинка | 19.01.15
1005450277-afe57 | http://is14.auto.ru/all/images/19/5b/60x45/195bdbf3.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 300 000 |  2012  |  61 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Орел | 19.01.15
1007033671-844a | http://is6.auto.ru/all/images/df/0a/60x45/df0a3a0f.jpg |  Renault Logan II1.6 MT (82 л.с.)  | #000000 | 598 000 |  2014  |  8 км  |  1.6 MT (82 л.с.)седан, бензин, передний  | Ростов-на-Дону | 19.01.15
1006865573-029e9 | http://is8.auto.ru/all/images/64/58/60x45/6458e424.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #ffefd5 | 400 000 |  2011  |  16 500 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 19.01.15
1002684957-ba6d34 | http://is11.auto.ru/all/images/ae/d9/60x45/aed91ccc.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 275 000 |  2012  |  62 700 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ростов-на-Дону | 19.01.15
1006516595-1e193 | http://is8.auto.ru/all/images/6b/6d/60x45/6b6d0f94.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #CACECB | 239 000 |  2008  |  110 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Тюмень | 19.01.15
1005752827-7900 | http://is4.auto.ru/all/images/ff/8f/60x45/ff8f586d.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 290 000 |  2010  |  114 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Тверь | 19.01.15
1006573783-3763 | http://is14.auto.ru/all/images/03/76/60x45/0376b7db.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 245 000 |  2009  |  85 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Смоленск | 19.01.15
1006872625-250d | http://is13.auto.ru/all/images/bf/f8/60x45/bff8051d.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 435 000 |  2013  |  48 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Брянск | 19.01.15
1005650951-6ad04e | http://is12.auto.ru/all/images/a1/64/60x45/a164a48a.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FF0000 | 345 000 |  2011  |  34 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Тула | 19.01.15
1007035189-588d6 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 400 000 |  2013  |  13 100 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ижевск | 19.01.15
1007035679-6213 | http://is5.auto.ru/all/images/d2/1d/60x45/d21d5a08.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #0000FF | 285 000 |  2011  |  68 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Невинномысск | 19.01.15
1006989385-ce496d | http://is6.auto.ru/all/images/20/c8/60x45/20c82434.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #ffefd5 | 365 000 |  2010  |  72 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Брянск | 19.01.15
1007035779-566b | http://is5.auto.ru/all/images/d5/c6/60x45/d5c6de4d.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 335 000 |  2009  |  77 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Мантурово | 19.01.15
1007035939-e97e | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 205 000 |  2006  |  110 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Рязань | 19.01.15
1007035753-e710d9 | http://is16.auto.ru/all/images/4e/73/60x45/4e73ca57.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 285 000 |  2012  |  100 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Орел | 19.01.15
1002229623-8d04 | http://is15.auto.ru/all/images/5f/fd/60x45/5ffddd6f.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #0000FF | 330 000 |  2010  |  90 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Орел | 19.01.15
1005633733-e82fe | http://is9.auto.ru/all/images/aa/f3/60x45/aaf3f9d2.jpg |  Renault Logan II1.6 MT (82 л.с.)  | #0000FF | 555 000 |  2014  |  1 500 км  |  1.6 MT (82 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007036179-014a | http://is1.auto.ru/all/images/30/f4/60x45/30f4ba1e.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 335 000 |  2010  |  69 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Воронеж | 19.01.15
1004837739-368fdf | http://is10.auto.ru/all/images/1d/52/60x45/1d52b4ab.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FFFFFF | 265 000 |  2012  |  62 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007037587-2f424 | http://is6.auto.ru/all/images/19/ac/60x45/19ac63ab.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 275 000 |  2009  |  54 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007037681-6a987 | http://is18.auto.ru/all/images/77/5e/60x45/775e3e0b.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 225 000 |  2007  |  55 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 19.01.15
1007036997-0887 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 430 000 |  2014  |  45 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Самара | 19.01.15
1007037993-3778 | http://is18.auto.ru/all/images/7e/e2/60x45/7ee2c0f3.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 310 000 |  2011  |  85 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Гусь-Хрустальный | 19.01.15
1006924941-e10d28 | http://is8.auto.ru/all/images/54/72/60x45/5472260d.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #9c9999 | 315 000 |  2012  |  97 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007038293-0f5a7f | http://is2.auto.ru/all/images/96/6b/60x45/966b961d.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 220 000 |  2008  |  77 500 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 19.01.15
1006420363-5a4049 | http://is4.auto.ru/all/images/58/9a/60x45/589af0b7.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 245 000 |  2006  |  123 700 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Александров | 19.01.15
1007037545-f4c898 | http://is8.auto.ru/all/images/46/07/60x45/46075458.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #ffefd5 | 310 000 |  2010  |  20 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 19.01.15
1007038537-6d6a | http://is13.auto.ru/all/images/9b/6c/60x45/9b6c5ac8.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 225 000 |  2006  |  100 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Воронеж | 19.01.15
1005457903-4cff | http://is4.auto.ru/all/images/ee/46/60x45/ee46f588.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 280 000 |  2008  |  87 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Владимир | 19.01.15
1007039115-a0a0e | http://is15.auto.ru/all/images/86/5b/60x45/865b6cd0.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #0000FF | 310 000 |  2011  |  40 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 19.01.15
1005310379-2e9e64 | http://is5.auto.ru/all/images/38/44/60x45/3844d364.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #000000 | 327 000 |  2010  |  73 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 19.01.15
1002815637-ec97 | http://is9.auto.ru/all/images/b1/7e/60x45/b17e35af.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 350 000 |  2013  |  80 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 19.01.15
1007040795-0b02d | http://is8.auto.ru/all/images/e7/41/60x45/e741c229.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 160 000 |  2005  |  189 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Дзержинск | 19.01.15
1007041039-a7850 | http://is5.auto.ru/all/images/98/97/60x45/9897825e.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 320 000 |  2013  |  119 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007041055-f9383c | http://is14.auto.ru/all/images/0d/42/60x45/0d42be6b.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #FFFFFF | 249 990 |  2009  |  60 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 19.01.15
1006741409-dc662 | http://is6.auto.ru/all/images/2b/50/60x45/2b508152.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0088ff | 245 000 |  2008  |  115 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 19.01.15
1006741077-017aa | http://is15.auto.ru/all/images/2e/b7/60x45/2eb71835.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0088ff | 225 000 |  2008  |  80 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007042317-23e7 | http://is9.auto.ru/all/images/89/b2/60x45/89b2f610.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 285 000 |  2011  |  56 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 19.01.15
1006572111-ec48 | http://is17.auto.ru/all/images/7e/7c/60x45/7e7c6bc4.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #0000FF | 355 000 |  2010  |  65 200 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Орел | 19.01.15
1007043401-1630fc | http://is18.auto.ru/all/images/95/05/60x45/9505c11a.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 330 000 |  2010  |  49 013 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ярославль | 19.01.15
1006154129-ff5ca | http://is3.auto.ru/all/images/77/6e/60x45/776e13a9.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 205 000 |  2006  |  132 500 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Обнинск | 19.01.15
1006934487-696a | http://is4.auto.ru/all/images/03/2f/60x45/032feb94.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 320 000 |  2011  |  76 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Тула | 19.01.15
1007035261-14e5 | http://is3.auto.ru/all/images/0f/24/60x45/0f244d8c.jpg |  Renault Logan I Рестайлинг1.6 AT (102 л.с.)  | #FFFFFF | 469 000 |  2014  |  19 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Ярославль | 19.01.15
1006562331-55e6c1 | http://is18.auto.ru/all/images/c2/b0/60x45/c2b057b4.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 225 000 |  2008  |  80 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 19.01.15
1006928039-3e499 | http://is4.auto.ru/all/images/f1/6e/60x45/f16e925b.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 225 000 |  2010  |  74 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 19.01.15
1006993791-c3f6 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 220 000 |  2007  |  120 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Рязань | 19.01.15
1004485823-fdf84 | http://is13.auto.ru/all/images/de/f6/60x45/def631c6.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 249 000 |  2008  |  65 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ейск | 19.01.15
1007045875-cc02a4 | http://is9.auto.ru/all/images/55/5f/60x45/555f5d2b.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #FF0000 | 277 000 |  2008  |  141 100 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Зеленоград | 19.01.15
1007034581-18eb | http://is9.auto.ru/all/images/45/bf/60x45/45bfc7b4.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #ffefd5 | 430 000 |  2013  |  61 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Мытищи | 19.01.15
1007047797-a3466 | http://is6.auto.ru/all/images/e1/92/60x45/e19202c1.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 310 000 |  2011  |  73 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 19.01.15
1007048639-f1e7 | http://is14.auto.ru/all/images/65/79/60x45/65799c9e.jpg |  Renault Logan I Рестайлинг1.6 AT (102 л.с.)  | #FFFFFF | 390 000 |  2011  |  58 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007047211-e75eb | http://is2.auto.ru/all/images/60/a3/60x45/60a3377f.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 230 000 |  2006  |  117 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Тамбов | 19.01.15
1007048127-0dee2e | http://is17.auto.ru/all/images/75/c4/60x45/75c44b8e.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 240 000 |  2006  |  94 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Рязань | 19.01.15
1005975959-0335 | http://is8.auto.ru/all/images/85/c4/60x45/85c4e79e.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 235 000 |  2008  |  82 500 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007049155-a48ef6 | http://is3.auto.ru/all/images/a7/66/60x45/a76694fd.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #FFFFFF | 180 000 |  2009  |  148 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Балашиха | 19.01.15
1007049245-46b5ea | http://is9.auto.ru/all/images/aa/58/60x45/aa581cce.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #000000 | 250 000 |  2007  |  125 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007049225-0f51 | http://is14.auto.ru/all/images/1d/4f/60x45/1d4ff3d0.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 250 000 |  2011  |  69 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Суздаль | 19.01.15
1007050357-1354 | http://is4.auto.ru/all/images/a7/d1/60x45/a7d13f78.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 180 000 |  2007  |  110 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Рязань | 19.01.15
1006927629-28dea | http://is18.auto.ru/all/images/33/be/60x45/33be1bb3.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 270 000 |  2011  |  44 700 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ярославль | 19.01.15
1007050817-ce4a | http://is2.auto.ru/all/images/65/04/60x45/6504ea1d.jpg |  Renault Logan II1.6 MT (102 л.с.)  | #FFFFFF | 605 000 |  2014  |  15 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Рязань | 19.01.15
1007050883-ae28 | http://is10.auto.ru/all/images/fe/2a/60x45/fe2a7f52.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 235 000 |  2009  |  76 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 19.01.15
1007050723-c0cdc2 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #9c9999 | 230 000 |  2010  |  51 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 19.01.15
1007051765-209d | http://is8.auto.ru/all/images/2e/cc/60x45/2ecc579a.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #9c9999 | 350 000 |  2011  |  60 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Удомля | 19.01.15
1007051953-faff32 | http://is9.auto.ru/all/images/d9/c5/60x45/d9c55e3f.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 300 000 |  2010  |  63 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Курск | 19.01.15
1007051967-791fc | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 280 000 |  2009  |  56 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Арзамас | 19.01.15
1007052589-340e | http://is5.auto.ru/all/images/67/34/60x45/6734e880.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 220 000 |  2007  |  80 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Иваново | 19.01.15
1006628351-1ef9 | http://is11.auto.ru/all/images/c4/79/60x45/c4792ca6.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 390 000 |  2011  |  32 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007054043-a5937 | http://is2.auto.ru/all/images/a5/c1/60x45/a5c1dcc5.jpg |  Renault Logan II1.6 MT (102 л.с.)  | #0000FF | 370 000 |  2014  |  5 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Ярославль | 19.01.15
1007054059-b3e9 | http://is5.auto.ru/all/images/21/15/60x45/2115900d.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 214 000 |  2005  |  83 500 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Курчатов | 19.01.15
50274754-8e58 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #ffefd5 | 280 000 |  2012  |  28 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Плавск | 19.01.15
1005318515-6c90fc | http://is12.auto.ru/all/images/17/55/60x45/175576fa.jpg |  Renault Logan II1.6 MT (82 л.с.)  | #000000 | 535 000 |  2014  |  1 834 км  |  1.6 MT (82 л.с.)седан, бензин, передний  | Иваново | 19.01.15
1006671973-8aa06c | http://is3.auto.ru/all/images/53/63/60x45/53633856.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FFFFFF | 360 000 |  2014  |  17 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Петрозаводск | 19.01.15
1007054587-b827 | http://is18.auto.ru/all/images/b5/71/60x45/b571ccc7.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 155 000 |  2006  |  135 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 19.01.15
48405748-0104 | http://is16.auto.ru/all/images/4b/03/60x45/4b039293.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 318 000 |  2008  |  23 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Воронеж | 19.01.15
1007054095-80f61 | http://is14.auto.ru/all/images/0d/90/60x45/0d909636.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0088ff | 389 000 |  2011  |  74 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Тверь | 19.01.15
1007054615-55a09f | http://is13.auto.ru/all/images/82/d3/60x45/82d3c486.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 298 000 |  2006  |  89 658 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Тверь | 19.01.15
