1007255473-928d | http://is8.auto.ru/all/images/f9/ed/60x45/f9edc7da.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #FFFFFF | 455 000 |  2011  |  98 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Протвино | 23.01.15
1006522161-1c9d6 | http://is15.auto.ru/all/images/bb/23/60x45/bb23ea0b.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #9c9999 | 800 000 |  2012  |  57 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
50191468-10456 | http://is9.auto.ru/all/images/87/8a/60x45/878a3c4c.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #FF0000 | 565 000 |  2011  |  73 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Краснодар | 19.01.15
1006364213-71a11 | http://is11.auto.ru/all/images/69/6d/60x45/696d1445.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #000000 | 970 000 |  2013  |  10 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
46542302-bf2fe4 | http://is2.auto.ru/all/images/c4/4e/60x45/c44ed7fa.jpg |  Kia Cee'd I2.0 MT (143 л.с.)  | #34ba2b | 435 000 |  2008  |  150 000 км  |  2.0 MT (143 л.с.)универсал, бензин, передний  | Москва | 19.01.15
1006111505-4637e9 | http://is6.auto.ru/all/images/b6/ee/60x45/b6ee62ad.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #ffefd5 | 700 000 |  2012  |  28 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Лермонтов | 19.01.15
40390982-1347 | http://is11.auto.ru/all/images/9a/94/60x45/9a9407cd.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #0088ff | 451 587 |  2007  |  110 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Алексин | 19.01.15
1007041095-825d7a | http://is6.auto.ru/all/images/67/dd/60x45/67ddfe37.jpg |  Kia Cee'd I2.0 AT (143 л.с.)  | #9c9999 | 500 000 |  2008  |  66 200 км  |  2.0 AT (143 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1006807813-6f2b7 | http://is3.auto.ru/all/images/92/23/60x45/92231c78.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #FF0000 | 485 000 |  2008  |  55 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Липецк | 19.01.15
1006924801-6d15a | http://is5.auto.ru/all/images/f1/c7/60x45/f1c70042.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 480 000 |  2010  |  76 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 19.01.15
1007041599-1e37 | http://is11.auto.ru/all/images/f7/13/60x45/f7138775.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 555 555 |  2008  |  74 999 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1007041423-04cb1b | http://is17.auto.ru/all/images/ec/4d/60x45/ec4d6979.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #CACECB | 550 000 |  2011  |  80 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 19.01.15
1007041179-bf20e | http://is2.auto.ru/all/images/29/3b/60x45/293bc73d.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #fde910 | 450 000 |  2008  |  128 000 км  |  1.4 MT (109 л.с.)универсал, бензин, передний  | Владимир | 19.01.15
1007041109-3a36 | http://is6.auto.ru/all/images/40/c7/60x45/40c71674.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #9c9999 | 620 000 |  2013  |  41 000 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1003134494-a1fa5b | http://is10.auto.ru/all/images/1a/68/60x45/1a683ccc.jpg |  Kia Cee'd II1.4 MT (100 л.с.)  | #ffefd5 | 580 000 |  2012  |  27 500 км  |  1.4 MT (100 л.с.)хэтчбек, бензин, передний  | Чебоксары | 19.01.15
1006800357-9132 | http://is18.auto.ru/all/images/59/7a/60x45/597a9a3e.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #9c9999 | 425 000 |  2010  |  57 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Серпухов | 19.01.15
1007038801-d7be0a | http://is11.auto.ru/all/images/76/7b/60x45/767b8000.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #9c9999 | 545 000 |  2010  |  79 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 19.01.15
1007040531-1dd2 | http://is9.auto.ru/all/images/84/60/60x45/8460e1db.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #ffefd5 | 450 000 |  2008  |  120 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 19.01.15
1006921639-62208 | http://is6.auto.ru/all/images/bd/23/60x45/bd23b59b.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #ffefd5 | 415 000 |  2010  |  60 100 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 19.01.15
1007040315-aadf9b | http://is15.auto.ru/all/images/a1/5f/60x45/a15f5fdd.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #CACECB | 539 000 |  2010  |  38 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Воронеж | 19.01.15
1006796495-86e677 | http://is15.auto.ru/all/images/93/a9/60x45/93a9604f.jpg |  Kia Cee'd I Рестайлинг1.4 MT (109 л.с.)  | #9c9999 | 499 000 |  2011  |  76 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Владимир | 19.01.15
1007039609-53a83 | http://is2.auto.ru/all/images/b3/1b/60x45/b31b3d9b.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #0000FF | 450 000 |  2008  |  170 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Камышин | 19.01.15
1004842533-7ddfe | http://is9.auto.ru/all/images/8e/96/60x45/8e96e705.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #CACECB | 400 000 |  2008  |  78 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Владимир | 19.01.15
1006988475-b008b4 | http://is18.auto.ru/all/images/16/a0/60x45/16a0448e.jpg |  Kia Cee'd I2.0 AT (143 л.с.)  | #000000 | 475 000 |  2008  |  110 000 км  |  2.0 AT (143 л.с.)универсал, бензин, передний  | Раменское | 19.01.15
1006937029-bdfd | http://is16.auto.ru/all/images/ab/e5/60x45/abe58f9e.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #926547 | 810 000 |  2013  |  40 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1006928155-f266 | http://is13.auto.ru/all/images/7a/18/60x45/7a185e49.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #9c9999 | 580 000 |  2010  |  79 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Орехово-Зуево | 19.01.15
1007035109-67c3 | http://is3.auto.ru/all/images/15/0f/60x45/150f072e.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 505 001 |  2009  |  106 032 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 19.01.15
1007034955-8ae2 | http://is13.auto.ru/all/images/09/5c/60x45/095c681f.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #000000 | 390 000 |  2008  |  86 500 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Ульяновск | 19.01.15
1006993505-0db3 | http://is2.auto.ru/all/images/3c/21/60x45/3c21d8f5.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #CACECB | 435 000 |  2010  |  65 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1006995293-49d5b | http://is15.auto.ru/all/images/e2/99/60x45/e2996a44.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #000000 | 385 000 |  2007  |  97 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1006472153-f543bc | http://is14.auto.ru/all/images/20/a0/60x45/20a0fe51.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #0000FF | 850 000 |  2013  |  30 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1006632777-fc7d43 | http://is7.auto.ru/all/images/59/ad/60x45/59ad270e.jpg |  Kia Cee'd I2.0 AT (143 л.с.)  | #9c9999 | 550 000 |  2008  |  92 000 км  |  2.0 AT (143 л.с.)универсал, бензин, передний  | Луховицы | 19.01.15
48049396-c31513 | http://is8.auto.ru/all/images/13/46/60x45/1346462b.jpg |  Kia Cee'd I1.6d MT (115 л.с.)  | #CACECB | 415 000 |  2007  |  64 123 км  |  1.6d MT (115 л.с.)хэтчбек, дизель, передний  | Зеленоград | 19.01.15
1006993095-dfb4 | http://is18.auto.ru/all/images/1b/96/60x45/1b96a46f.jpg |  Kia Cee'd II1.6 AT (135 л.с.)  | #CACECB | 850 000 |  2012  |  61 000 км  |  1.6 AT (135 л.с.)хэтчбек, бензин, передний  | Магнитогорск | 18.01.15
1006991807-797589 | http://is9.auto.ru/all/images/80/e9/60x45/80e989f9.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #9c9999 | 700 000 |  2012  |  66 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Курск | 18.01.15
1006812979-87fc5 | http://is16.auto.ru/all/images/1b/a9/60x45/1ba9aefe.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #ffefd5 | 395 000 |  2008  |  109 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006989621-389ae1 | /i/all7/img/no-photo-thumb.gif |  Kia Cee'd II1.6 AT (129 л.с.)  | #000000 | 400 000 |  2012  |  43 600 км  |  1.6 AT (129 л.с.)универсал, бензин, передний  | Москва | 18.01.15
1006992177-dccc7 | http://is7.auto.ru/all/images/15/35/60x45/1535336a.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #CACECB | 750 000 |  2012  |  8 441 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Вологда | 18.01.15
1006991653-4a9a8 | http://is2.auto.ru/all/images/2f/b7/60x45/2fb798bb.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #926547 | 830 000 |  2014  |  14 600 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 18.01.15
1006991633-04dc4 | http://is16.auto.ru/all/images/b3/26/60x45/b3264979.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #CACECB | 550 000 |  2010  |  90 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Саранск | 18.01.15
1006690547-3067 | http://is17.auto.ru/all/images/5a/10/60x45/5a109ea3.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #000000 | 830 000 |  2013  |  11 500 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1005759299-3b0fbf | http://is2.auto.ru/all/images/f6/8d/60x45/f68df717.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #FFFFFF | 890 000 |  2014  |  3 600 км  |  1.6 AT (129 л.с.)универсал, бензин, передний  | Москва | 18.01.15
49996348-0dd6 | http://is4.auto.ru/all/images/68/00/60x45/68004155.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #FF0000 | 690 000 |  2013  |  52 000 км  |  1.6 AT (129 л.с.)универсал, бензин, передний  | Владимир | 18.01.15
1006990083-a7ea7e | /i/all7/img/no-photo-thumb.gif |  Kia Cee'd I1.4 MT (109 л.с.)  | #9c9999 | 405 000 |  2008  |  129 000 км  |  1.4 MT (109 л.с.)универсал, бензин, передний  | Ярославль | 18.01.15
1005392573-7882 | http://is16.auto.ru/all/images/c4/75/60x45/c4755f96.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #CACECB | 390 000 |  2008  |  120 000 км  |  1.4 MT (109 л.с.)универсал, бензин, передний  | Москва | 18.01.15
1000130872-40ea | http://is4.auto.ru/all/images/85/8c/60x45/858c6564.jpg |  Kia Cee'd I1.6d AT (115 л.с.)  | #ffefd5 | 400 000 |  2009  |  74 500 км  |  1.6d AT (115 л.с.)хэтчбек, дизель, передний  | Москва | 18.01.15
1006988181-787949 | /i/all7/img/no-photo-thumb.gif |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #9c9999 | 520 000 |  2012  |  47 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Белгород | 18.01.15
1006866037-c8c199 | http://is3.auto.ru/all/images/9c/89/60x45/9c895849.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #ffefd5 | 895 000 |  2014  |  14 000 км  |  1.6 AT (129 л.с.)универсал, бензин, передний  | Москва | 18.01.15
1006987839-2479 | http://is8.auto.ru/all/images/9f/5b/60x45/9f5b008d.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #FFFFFF | 740 000 |  2013  |  24 000 км  |  1.6 AT (129 л.с.)универсал, бензин, передний  | Астрахань | 18.01.15
1005576393-f48a | http://is2.auto.ru/all/images/bf/ea/60x45/bfea5c29.jpg |  Kia Cee'd I Рестайлинг2.0 AT (143 л.с.)  | #9c9999 | 675 000 |  2011  |  40 928 км  |  2.0 AT (143 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1005973177-d804e | http://is2.auto.ru/all/images/fe/c9/60x45/fec94f2d.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #000000 | 680 000 |  2011  |  68 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006932471-323f | http://is9.auto.ru/all/images/4e/fc/60x45/4efc47ed.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #0088ff | 800 000 |  2014  |  13 560 км  |  1.6 MT (129 л.с.)универсал, бензин, передний  | Санкт-Петербург | 18.01.15
1006987695-93f0f3 | http://is9.auto.ru/all/images/1c/59/60x45/1c596863.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #0000FF | 399 000 |  2009  |  32 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006616695-28724e | http://is5.auto.ru/all/images/3b/dc/60x45/3bdcedb9.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #FF0000 | 570 000 |  2011  |  137 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 18.01.15
42617738-7dcca | http://is2.auto.ru/all/images/be/5a/60x45/be5a2586.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #000000 | 555 000 |  2011  |  68 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Ростов-на-Дону | 18.01.15
1006986471-8e67 | http://is2.auto.ru/all/images/61/26/60x45/61265223.jpg |  Kia Cee'd I Рестайлинг1.4 MT (109 л.с.)  | #9c9999 | 500 000 |  2010  |  75 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Егорьевск | 18.01.15
1006986231-4ab596 | http://is8.auto.ru/all/images/81/68/60x45/81689dd9.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #000000 | 850 000 |  2013  |  31 000 км  |  1.6 AT (129 л.с.)универсал, бензин, передний  | Москва | 18.01.15
1006863549-7f368 | http://is9.auto.ru/all/images/0f/8d/60x45/0f8d9763.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #CACECB | 425 000 |  2007  |  110 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Королев | 18.01.15
1006985057-9705 | http://is15.auto.ru/all/images/f2/81/60x45/f281d2ba.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #CACECB | 600 000 |  2011  |  16 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006626097-d0cb9 | http://is4.auto.ru/all/images/80/60/60x45/80602781.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #FFFFFF | 540 000 |  2011  |  69 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Ростов-на-Дону | 18.01.15
1006984309-5926 | http://is18.auto.ru/all/images/78/0e/60x45/780e73ba.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #0088ff | 450 000 |  2008  |  101 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Нягань | 18.01.15
1006982977-84fd | http://is16.auto.ru/all/images/08/70/60x45/0870c191.jpg |  Kia Cee'd I1.6d MT (115 л.с.)  | #9c9999 | 412 000 |  2008  |  135 000 км  |  1.6d MT (115 л.с.)универсал, дизель, передний  | Москва | 18.01.15
1006983253-f76c4 | http://is8.auto.ru/all/images/6f/28/60x45/6f28188e.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #0000FF | 420 000 |  2010  |  134 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 18.01.15
1006982881-6904 | http://is3.auto.ru/all/images/db/b6/60x45/dbb6db4d.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #0000FF | 730 000 |  2012  |  70 100 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006982677-e80fc | /i/all7/img/no-photo-thumb.gif |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #9c9999 | 579 000 |  2011  |  90 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 18.01.15
1006262943-f27c | http://is18.auto.ru/all/images/ae/e6/60x45/aee6a4fd.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #0000FF | 460 000 |  2009  |  30 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Рыбинск | 18.01.15
1006754033-1c637b | http://is16.auto.ru/all/images/16/45/60x45/16457420.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #ffefd5 | 845 000 |  2013  |  21 000 км  |  1.6 AT (129 л.с.)универсал, бензин, передний  | Москва | 18.01.15
1006980099-4a71d | http://is8.auto.ru/all/images/f3/4f/60x45/f34f4c43.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #0088ff | 500 000 |  2010  |  73 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006980079-5ff5 | http://is9.auto.ru/all/images/de/a9/60x45/dea9ca6e.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 410 000 |  2007  |  120 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Ставрополь | 18.01.15
1006260575-b482 | http://is5.auto.ru/all/images/81/e1/60x45/81e1612b.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #000000 | 815 000 |  2013  |  24 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006874331-c940d | http://is6.auto.ru/all/images/8f/24/60x45/8f244678.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #FF0000 | 505 000 |  2010  |  50 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 18.01.15
1006978075-37a9 | http://is17.auto.ru/all/images/15/44/60x45/1544370b.jpg |  Kia Cee'd I2.0 AT (143 л.с.)  | #000000 | 460 000 |  2009  |  115 000 км  |  2.0 AT (143 л.с.)хэтчбек, бензин, передний  | Чехов | 18.01.15
1006977101-c73f0 | http://is17.auto.ru/all/images/37/a1/60x45/37a16244.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #926547 | 385 000 |  2008  |  96 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 18.01.15
1006873745-ccf010 | http://is18.auto.ru/all/images/4f/c5/60x45/4fc5fbed.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #000000 | 485 000 |  2010  |  64 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 18.01.15
1006873251-7690 | http://is16.auto.ru/all/images/f1/db/60x45/f1db5f38.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #0000FF | 465 000 |  2009  |  72 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 18.01.15
1006933243-c8951 | http://is15.auto.ru/all/images/96/6b/60x45/966b4629.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #CACECB | 750 000 |  2013  |  21 000 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Владимир | 18.01.15
1006976641-fdb4 | http://is17.auto.ru/all/images/49/b1/60x45/49b194d0.jpg |  Kia Cee'd I Рестайлинг2.0 AT (143 л.с.)  | #000000 | 590 000 |  2011  |  106 553 км  |  2.0 AT (143 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006937953-c4be5 | http://is17.auto.ru/all/images/89/46/60x45/8946cd3c.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #9c9999 | 380 000 |  2008  |  105 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Петрозаводск | 18.01.15
1006937137-d3e6 | http://is12.auto.ru/all/images/f1/5a/60x45/f15a3821.jpg |  Kia Cee'd I1.6d AT (115 л.с.)  | #CACECB | 470 000 |  2008  |  100 000 км  |  1.6d AT (115 л.с.)универсал, дизель, передний  | Владимир | 18.01.15
1006936221-b2a2 | http://is15.auto.ru/all/images/44/d9/60x45/44d948c9.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #CACECB | 545 000 |  2011  |  52 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 17.01.15
1006867101-7d5d | http://is4.auto.ru/all/images/c2/1d/60x45/c21dc48d.jpg |  Kia Cee'd I Рестайлинг2.0 AT (143 л.с.)  | #ffefd5 | 620 000 |  2011  |  45 000 км  |  2.0 AT (143 л.с.)хэтчбек, бензин, передний  | Москва | 17.01.15
1006932187-b26c6 | http://is5.auto.ru/all/images/94/9d/60x45/949dee1a.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #FF0000 | 470 000 |  2008  |  99 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Брянск | 17.01.15
1006501255-c7d6 | http://is10.auto.ru/all/images/ee/2f/60x45/ee2fbd0d.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #CACECB | 460 000 |  2011  |  80 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 17.01.15
1002619541-c96e7 | http://is4.auto.ru/all/images/50/73/60x45/5073fed3.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #000000 | 390 000 |  2009  |  110 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Серпухов | 17.01.15
1006934721-333d7 | http://is18.auto.ru/all/images/3b/bf/60x45/3bbfa85a.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #FFFFFF | 620 000 |  2012  |  85 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 17.01.15
1006931761-eecb28 | http://is18.auto.ru/all/images/47/80/60x45/47800985.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #000000 | 880 000 |  2013  |  22 000 км  |  1.6 AT (129 л.с.)универсал, бензин, передний  | Санкт-Петербург | 17.01.15
1006933907-dc05 | http://is11.auto.ru/all/images/65/52/60x45/6552e3f5.jpg |  Kia Cee'd II1.6 MT (135 л.с.)  | #CACECB | 780 000 |  2014  |  5 000 км  |  1.6 MT (135 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 17.01.15
1005329477-ba015 | http://is2.auto.ru/all/images/d0/76/60x45/d0765aca.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #9c9999 | 730 000 |  2014  |  4 142 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Воронеж | 17.01.15
1005808105-bd393 | http://is8.auto.ru/all/images/2b/d2/60x45/2bd2f587.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #0000FF | 830 001 |  2012  |  5 238 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 17.01.15
1006931549-0203 | http://is9.auto.ru/all/images/34/21/60x45/342131cd.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #FFFFFF | 510 000 |  2011  |  88 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Казань | 17.01.15
1006930451-1162 | http://is14.auto.ru/all/images/ae/6b/60x45/ae6bdd24.jpg |  Kia Cee'd I2.0 AT (143 л.с.)  | #000000 | 485 000 |  2008  |  90 500 км  |  2.0 AT (143 л.с.)хэтчбек, бензин, передний  | Юбилейный | 17.01.15
1005316805-dc4770 | http://is2.auto.ru/all/images/6d/15/60x45/6d153ee6.jpg |  Kia Cee'd I2.0 AT (143 л.с.)  | #0000FF | 410 000 |  2008  |  84 000 км  |  2.0 AT (143 л.с.)хэтчбек, бензин, передний  | Липецк | 17.01.15
1005260593-e19791 | http://is14.auto.ru/all/images/90/fb/60x45/90fb408e.jpg |  Kia Cee'd II1.4 MT (100 л.с.)  | #CACECB | 800 000 |  2014  |  37 км  |  1.4 MT (100 л.с.)хэтчбек, бензин, передний  | Минводы | 17.01.15
1006566197-060c9 | http://is13.auto.ru/all/images/3b/46/60x45/3b4687c1.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #FF0000 | 600 000 |  2011  |  72 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Химки | 17.01.15
48201136-d6da09 | http://is3.auto.ru/all/images/c6/04/60x45/c604b0bc.jpg |  Kia Cee'd I2.0 AT (143 л.с.)  | #FFFFFF | 450 000 |  2008  |  97 000 км  |  2.0 AT (143 л.с.)универсал, бензин, передний  | Выкса | 17.01.15
1006928181-80ae | http://is18.auto.ru/all/images/0c/da/60x45/0cda5da2.jpg |  Kia Cee'd I Рестайлинг2.0 MT (143 л.с.)  | #9c9999 | 495 000 |  2010  |  31 475 км  |  2.0 MT (143 л.с.)универсал, бензин, передний  | Москва | 17.01.15
1006928065-27acd | http://is12.auto.ru/all/images/c6/db/60x45/c6db8bba.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #0000FF | 420 000 |  2008  |  112 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 17.01.15
1006927173-852d32 | http://is3.auto.ru/all/images/53/48/60x45/5348bdc4.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #9c9999 | 820 000 |  2014  |  9 000 км  |  1.6 AT (129 л.с.)универсал, бензин, передний  | Узловая | 17.01.15
1006927149-91c84 | http://is18.auto.ru/all/images/0c/22/60x45/0c227fa9.jpg |  Kia Cee'd I Рестайлинг1.4 MT (109 л.с.)  | #000000 | 405 000 |  2010  |  90 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Москва | 17.01.15
1006924381-9abd6 | http://is13.auto.ru/all/images/7d/6f/60x45/7d6f35c1.jpg |  Kia Cee'd I Рестайлинг2.0 AT (143 л.с.)  | #ffefd5 | 550 000 |  2010  |  101 000 км  |  2.0 AT (143 л.с.)универсал, бензин, передний  | Череповец | 17.01.15
