1003758136-b9f65c | http://is15.auto.ru/all/images/df/91/60x45/df91b079.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 MT (124 л.с.)  | #CACECB | 750 000 |  2011  |  55 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Воронеж | 23.01.15
1007033291-fc60a8 | http://is3.auto.ru/all/images/f9/f3/60x45/f9f30039.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #9c9999 | 449 000 |  2006  |  96 000 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 19.01.15
1005164959-8e33f | http://is15.auto.ru/all/images/38/fb/60x45/38fb6f1c.jpg |  Toyota Corolla X (E140, E150) Fielder1.5 CVT (110 л.с.)  | #CACECB | 555 000 Правый руль |  2010  |  78 000 км  |  1.5 CVT (110 л.с.)универсал, бензин, передний  | Белгород | 19.01.15
1007012549-68925 | http://is9.auto.ru/all/images/f7/fc/60x45/f7fcdc76.jpg |  Toyota Corolla VIII (E110)2.0d MT (72 л.с.)  | #CACECB | 210 002 |  1998  |  310 051 км  |  2.0d MT (72 л.с.)универсал, дизель, передний  | Калуга | 19.01.15
1006995163-ee698 | http://is7.auto.ru/all/images/d5/d7/60x45/d5d73d28.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #CACECB | 595 000 |  2010  |  41 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Санкт-Петербург | 19.01.15
1005508793-501c48 | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla VIII (E110) Levin1.6 MT (110 л.с.)  | #CACECB | 150 000 Правый руль |  1998  |  250 000 км  |  1.6 MT (110 л.с.)купе, бензин, передний  | Тверь | 19.01.15
1006420961-a8ed4 | http://is12.auto.ru/all/images/06/6e/60x45/066e71b0.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #9c9999 | 349 000 |  2004  |  140 000 км  |  1.6 MT (110 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1005187233-21d3 | http://is5.auto.ru/all/images/0d/b9/60x45/0db93e02.jpg |  Toyota Corolla VI (E90)1.6 MT (105 л.с.) 4WD  | #ffefd5 | 130 000 Правый руль |  1991  |  240 000 км  |  1.6 MT (105 л.с.) 4WDседан, бензин, полный  | Воронеж | 19.01.15
1005387113-b46481 | http://is6.auto.ru/all/images/fe/01/60x45/fe016e63.jpg |  Toyota Corolla VIII (E110)1.6 MT (110 л.с.)  | #34ba2b | 140 000 |  1998  |  245 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Рязань | 19.01.15
45543648-fd35e | http://is11.auto.ru/all/images/53/0d/60x45/530dde3c.jpg |  Toyota Corolla XI (E160, E170)1.6 MT (122 л.с.)  | #FFFFFF | 800 000 |  2013  |  15 555 км  |  1.6 MT (122 л.с.)седан, бензин, передний  | Ефремов | 19.01.15
1006994227-b65b0 | http://is2.auto.ru/all/images/6a/8c/60x45/6a8cfb4c.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #9c9999 | 520 000 |  2007  |  144 300 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Ставрополь | 18.01.15
1006994189-fe577c | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 380 000 |  2007  |  130 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006994015-5da76 | http://is2.auto.ru/all/images/f3/74/60x45/f37452f1.jpg |  Toyota Corolla VII (E100)1.6 MT (114 л.с.) 4WD  | #9c9999 | 139 999 Правый руль |  1995  |  200 000 км  |  1.6 MT (114 л.с.) 4WDседан, бензин, полный  | Екатеринбург | 18.01.15
1006993253-efc8c | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #CACECB | 450 000 |  2006  |  200 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Астрахань | 18.01.15
1006992473-f899 | http://is14.auto.ru/all/images/66/d3/60x45/66d3c65d.jpg |  Toyota Corolla IX (E120, E130)1.5 AT (110 л.с.)  | #CACECB | 295 000 Правый руль |  2001  |  190 000 км  |  1.5 AT (110 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
1006992631-d5770 | http://is7.auto.ru/all/images/3e/20/60x45/3e20d0e3.jpg |  Toyota Corolla XI (E160, E170)1.6 CVT (122 л.с.)  | #FF0000 | 1 045 000 |  2014  |  15 км  |  1.6 CVT (122 л.с.)седан, бензин, передний  | Краснодар | 18.01.15
1006992075-3293e1 | http://is2.auto.ru/all/images/e2/a8/60x45/e2a8ee70.jpg |  Toyota Corolla IX (E120, E130)1.4 MT (97 л.с.)  | #CACECB | 285 000 |  2002  |  128 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Пенза | 18.01.15
1006991725-d9129 | http://is8.auto.ru/all/images/9f/77/60x45/9f770cec.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 MT (124 л.с.)  | #CACECB | 630 000 |  2010  |  77 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Липецк | 18.01.15
1003544106-935d | http://is4.auto.ru/all/images/5d/96/60x45/5d96cafd.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.4 MT (97 л.с.)  | #000000 | 430 000 |  2006  |  41 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006990837-c3cd | http://is1.auto.ru/all/images/ca/79/60x45/ca79fbee.jpg |  Toyota Corolla VI (E90)1.3 MT (75 л.с.) i  | #0000FF | 50 000 |  1990  |  280 000 км  |  1.3 MT (75 л.с.) iхэтчбек, бензин, передний  | Белгород | 18.01.15
1006991227-ac974 | http://is6.auto.ru/all/images/bd/a1/60x45/bda1a484.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #0088ff | 320 000 |  2002  |  230 000 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Никольск | 18.01.15
1006991059-d5bd | http://is14.auto.ru/all/images/e3/60/60x45/e3603474.jpg |  Toyota Corolla VI (E90)1.3 MT (75 л.с.) i  | #0000FF | 50 000 |  1990  |  280 000 км  |  1.3 MT (75 л.с.) iхэтчбек, бензин, передний  | Белгород | 18.01.15
1006985301-6f68a0 | http://is18.auto.ru/all/images/ab/77/60x45/ab770c99.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #FFFFFF | 850 000 |  2012  |  17 600 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Ярославль | 18.01.15
1006991093-c925 | http://is17.auto.ru/all/images/4e/6a/60x45/4e6a707b.jpg |  Toyota Corolla VII (E100)1.5 AT (100 л.с.)  | #CACECB | 150 000 Правый руль |  1997  |  200 000 км  |  1.5 AT (100 л.с.)универсал, бензин, передний  | Воронеж | 18.01.15
1006991183-41d8f9 | http://is6.auto.ru/all/images/d1/95/60x45/d1951c68.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.4d AT (90 л.с.)  | #CACECB | 400 000 |  2007  |  102 000 км  |  1.4d AT (90 л.с.)хэтчбек, дизель, передний  | Ульяновск | 18.01.15
1006990371-290f | http://is2.auto.ru/all/images/78/1c/60x45/781ce435.jpg |  Toyota Corolla XI (E160, E170)1.6 MT (122 л.с.)  | #000000 | 880 000 |  2013  |  3 000 км  |  1.6 MT (122 л.с.)седан, бензин, передний  | Ярославль | 18.01.15
1006990069-9687 | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla VII (E100)1.5 AT (105 л.с.)  | #0088ff | 165 000 Правый руль |  1992  |  130 000 км  |  1.5 AT (105 л.с.)седан, бензин, передний  | Белгород | 18.01.15
1005863249-0b96 | http://is10.auto.ru/all/images/88/fd/60x45/88fdb250.jpg |  Toyota Corolla VII (E100)1.5 AT (100 л.с.)  | #FFFFFF | 140 000 Правый руль |  1999  |  153 000 км  |  1.5 AT (100 л.с.)универсал, бензин, передний  | Москва | 18.01.15
1006990291-2348 | http://is2.auto.ru/all/images/2b/a2/60x45/2ba2b7c6.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #FF0000 | 320 000 |  2004  |  248 000 км  |  1.6 MT (110 л.с.)хэтчбек, бензин, передний  | Тверь | 18.01.15
1006990061-2ce6 | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla XI (E160, E170)1.6 CVT (122 л.с.)  | #FFFFFF | 1 050 000 |  2014  |  900 км  |  1.6 CVT (122 л.с.)седан, бензин, передний  | Грозный | 18.01.15
1005648325-a4d17 | http://is5.auto.ru/all/images/0c/52/60x45/0c52ff86.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 470 000 |  2008  |  116 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Брянск | 18.01.15
1006741655-aca524 | http://is3.auto.ru/all/images/34/62/60x45/346210c8.jpg |  Toyota Corolla XI (E160, E170)1.6 CVT (122 л.с.)  | #000000 | 1 050 000 |  2014  |  700 км  |  1.6 CVT (122 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006987583-4ed1 | http://is8.auto.ru/all/images/37/10/60x45/3710b567.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 515 000 |  2008  |  104 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006419477-276d | http://is8.auto.ru/all/images/27/fb/60x45/27fbc826.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #000000 | 380 000 |  2007  |  130 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006985307-2e391 | http://is17.auto.ru/all/images/19/f9/60x45/19f9e612.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #0088ff | 400 000 |  2006  |  110 000 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006988081-3541ac | http://is2.auto.ru/all/images/b5/32/60x45/b532788b.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #9c9999 | 375 000 |  2003  |  200 000 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Новосибирск | 18.01.15
1006987623-bf4eb | http://is16.auto.ru/all/images/c5/c2/60x45/c5c2edc4.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #34ba2b | 310 000 |  2003  |  160 500 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006748583-ede6 | http://is4.auto.ru/all/images/a4/17/60x45/a4177441.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 630 000 |  2010  |  54 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006985853-cb4695 | http://is8.auto.ru/all/images/19/9a/60x45/199a8831.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #000000 | 470 000 |  2008  |  100 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Самара | 18.01.15
1006522423-86fe | http://is18.auto.ru/all/images/aa/bf/60x45/aabfbc12.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #0088ff | 390 000 |  2005  |  59 000 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 18.01.15
1004772753-43ebaf | http://is17.auto.ru/all/images/67/de/60x45/67de45cb.jpg |  Toyota Corolla IX (E120, E130)1.4 MT (97 л.с.)  | #FF0000 | 350 000 |  2004  |  160 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Воронеж | 18.01.15
1006985359-443c | http://is14.auto.ru/all/images/52/df/60x45/52df70d8.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #9c9999 | 350 000 |  2004  |  240 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Чита | 18.01.15
1006984125-29ab8c | http://is5.auto.ru/all/images/a8/f1/60x45/a8f188a0.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 530 000 |  2009  |  91 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006409693-d9e3a8 | http://is18.auto.ru/all/images/9d/77/60x45/9d776a62.jpg |  Toyota Corolla VIII (E110)1.5 AT (100 л.с.)  | #9c9999 | 170 000 Правый руль |  1995  |  245 000 км  |  1.5 AT (100 л.с.)седан, бензин, передний  | Бийск | 18.01.15
1006982403-31514 | http://is15.auto.ru/all/images/8e/c0/60x45/8ec071af.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #9c9999 | 455 000 |  2006  |  105 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
1006981361-84c5 | http://is2.auto.ru/all/images/79/44/60x45/794441dc.jpg |  Toyota Corolla X (E140, E150)1.4d MT (90 л.с.)  | #CACECB | 550 000 |  2009  |  100 000 км  |  1.4d MT (90 л.с.)седан, дизель, передний  | Тольятти | 18.01.15
1006754967-31c4 | http://is18.auto.ru/all/images/f8/a0/60x45/f8a068a8.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.4 MT (97 л.с.)  | #CACECB | 330 000 |  2005  |  160 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
1006968231-99564 | http://is3.auto.ru/all/images/2a/64/60x45/2a64a86a.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #CACECB | 759 000 |  2010  |  50 500 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
1006981149-3f1c1b | http://is4.auto.ru/all/images/d8/1c/60x45/d81c3d17.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #000000 | 500 000 |  2007  |  120 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Урюпинск | 18.01.15
1006980705-df25dc | http://is6.auto.ru/all/images/9c/be/60x45/9cbef91b.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #9c9999 | 330 000 |  2003  |  197 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Тверь | 18.01.15
1006417533-52608 | http://is4.auto.ru/all/images/f5/19/60x45/f5198f5c.jpg |  Toyota Corolla X (E140, E150) Axio1.8 CVT (136 л.с.)  | #000000 | 590 000 |  2008  |  81 000 км  |  1.8 CVT (136 л.с.)седан, бензин, передний  | Александров | 18.01.15
1006417273-ad7d0 | http://is14.auto.ru/all/images/b5/bf/60x45/b5bfc5f5.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #000000 | 370 000 |  2006  |  147 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006980417-1d59af | http://is13.auto.ru/all/images/48/8a/60x45/488a4b4c.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #CACECB | 755 000 |  2011  |  35 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Кораблино | 18.01.15
1006965799-28b5ab | http://is5.auto.ru/all/images/64/47/60x45/644789bb.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #9c9999 | 516 900 |  2008  |  148 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
1006980137-24eb6 | http://is1.auto.ru/all/images/cd/f1/60x45/cdf1fe13.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #CACECB | 460 000 |  2007  |  135 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Лебедянь | 18.01.15
1006314823-dea0fc | http://is15.auto.ru/all/images/03/e7/60x45/03e7cd64.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #9c9999 | 310 000 |  2003  |  224 000 км  |  1.6 MT (110 л.с.)универсал, бензин, передний  | Санкт-Петербург | 18.01.15
1006813475-c8c014 | http://is8.auto.ru/all/images/4d/d2/60x45/4dd2ec9f.jpg |  Toyota Corolla XI (E160, E170)1.3 MT (99 л.с.)  | #9c9999 | 945 000 |  2014  |  15 000 км  |  1.3 MT (99 л.с.)седан, бензин, передний  | Омск | 18.01.15
1006162695-eff6d | http://is12.auto.ru/all/images/0f/20/60x45/0f20a0a8.jpg |  Toyota Corolla VIII (E110)1.6 AT (110 л.с.)  | #9c9999 | 155 999 |  1998  |  222 222 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
1006872375-fd56 | http://is5.auto.ru/all/images/71/a8/60x45/71a87a39.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 520 000 |  2009  |  57 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006937543-3538b | http://is18.auto.ru/all/images/d5/06/60x45/d506f10e.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 670 000 |  2010  |  74 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006978295-dc1291 | http://is16.auto.ru/all/images/d6/8e/60x45/d68e6240.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #CACECB | 410 000 |  2006  |  125 000 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006309829-b61754 | http://is11.auto.ru/all/images/10/d5/60x45/10d5c583.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #9c9999 | 899 000 |  2011  |  29 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006818333-bf484 | http://is13.auto.ru/all/images/21/b5/60x45/21b57fba.jpg |  Toyota Corolla VII (E100) Levin1.6 MT (160 л.с.)  | #000000 | 151 000 Правый руль |  1991  |  333 000 км  |  1.6 MT (160 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006809795-70ab0b | http://is17.auto.ru/all/images/6d/8e/60x45/6d8ebbb4.jpg |  Toyota Corolla XI (E160, E170)1.8 CVT (140 л.с.)  | #FFFFFF | 1 130 000 |  2014  |  5 500 км  |  1.8 CVT (140 л.с.)седан, бензин, передний  | Челябинск | 18.01.15
1006977419-5eea63 | http://is16.auto.ru/all/images/a8/1d/60x45/a81da6ca.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 549 000 |  2009  |  89 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006975799-110c6 | http://is11.auto.ru/all/images/79/23/60x45/7923a4f0.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #CACECB | 490 000 |  2008  |  88 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Пенза | 18.01.15
1006968265-085237 | http://is16.auto.ru/all/images/35/c9/60x45/35c9a921.jpg |  Toyota Corolla IX (E120, E130) Runx1.5 AT (110 л.с.)  | #FFCC00 | 280 000 Правый руль |  2003  |  78 000 км  |  1.5 AT (110 л.с.)хэтчбек, бензин, передний  | Нерюнгри | 18.01.15
1006961067-f665e | http://is17.auto.ru/all/images/86/18/60x45/8618e3b0.jpg |  Toyota Corolla VIII (E110)1.6 MT (110 л.с.)  | #34ba2b | 125 000 |  1998  |  190 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
1003068538-0ff3a7 | http://is14.auto.ru/all/images/41/9b/60x45/419b3785.jpg |  Toyota Corolla IX (E120, E130)1.4 MT (97 л.с.)  | #CACECB | 319 000 |  2004  |  161 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Ростов-на-Дону | 18.01.15
48614288-3557ab | http://is18.auto.ru/all/images/4d/06/60x45/4d063148.jpg |  Toyota Corolla IX (E120, E130)1.4 MT (97 л.с.)  | #CACECB | 319 000 |  2004  |  161 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Таганрог | 18.01.15
1006921937-4b2fd | http://is5.auto.ru/all/images/85/82/60x45/85824b50.jpg |  Toyota Corolla XI (E160, E170)1.6 CVT (122 л.с.)  | #FFFFFF | 1 100 000 |  2014  |  500 км  |  1.6 CVT (122 л.с.)седан, бензин, передний  | Астрахань | 17.01.15
1004969831-4b237 | http://is15.auto.ru/all/images/b0/79/60x45/b07992e5.jpg |  Toyota Corolla VII (E100)1.5 AT (100 л.с.)  | #0000FF | 155 000 Правый руль |  1998  |  300 000 км  |  1.5 AT (100 л.с.)универсал, бензин, передний  | Ярославль | 17.01.15
1006935915-308610 | http://is6.auto.ru/all/images/0b/f4/60x45/0bf4b473.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #FF0000 | 750 000 |  2011  |  22 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Воронеж | 17.01.15
1000447425-46018a | http://is6.auto.ru/all/images/5e/30/60x45/5e308aa7.jpg |  Toyota Corolla IX (E120, E130) Fielder1.5 AT (110 л.с.)  | #FFFFFF | 350 000 Правый руль |  2002  |  170 000 км  |  1.5 AT (110 л.с.)универсал, бензин, передний  | Москва | 17.01.15
1005979759-9b696 | http://is15.auto.ru/all/images/c5/7e/60x45/c57e50a0.jpg |  Toyota Corolla IX (E120, E130)1.8 MT (192 л.с.)  | #CACECB | 390 000 |  2003  |  190 000 км  |  1.8 MT (192 л.с.)хэтчбек, бензин, передний  | Белгород | 17.01.15
1006935959-e50e | http://is5.auto.ru/all/images/e2/73/60x45/e273333b.jpg |  Toyota Corolla VII (E100)1.6 MT (114 л.с.)  | #9c9999 | 120 000 |  1992  |  280 800 км  |  1.6 MT (114 л.с.)лифтбек, бензин, передний  | Псков | 17.01.15
1006935523-81b5b3 | http://is12.auto.ru/all/images/4d/4d/60x45/4d4def11.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #FF0000 | 400 000 |  2006  |  130 000 км  |  1.6 MT (110 л.с.)хэтчбек, бензин, передний  | Ставрополь | 17.01.15
1006935627-70313 | http://is18.auto.ru/all/images/5d/b8/60x45/5db8eba3.jpg |  Toyota Corolla X (E140, E150)1.4 MT (97 л.с.)  | #9c9999 | 495 000 |  2008  |  103 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006935539-edcc6 | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #000000 | 435 000 |  2007  |  134 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Шигоны | 17.01.15
1006935395-c4150 | http://is7.auto.ru/all/images/f2/69/60x45/f2691c6a.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 415 000 |  2006  |  95 555 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Серпухов | 17.01.15
1006576153-639fc9 | http://is15.auto.ru/all/images/bc/dc/60x45/bcdcd92e.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 MT (124 л.с.)  | #000000 | 615 000 |  2012  |  5 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006935059-d0369c | http://is6.auto.ru/all/images/73/ba/60x45/73ba0685.jpg |  Toyota Corolla VI (E90)1.6 AT (95 л.с.)  | #FFFFFF | 60 000 Правый руль |  1989  |  270 000 км  |  1.6 AT (95 л.с.)седан, бензин, передний  | Кунгур | 17.01.15
1006933285-40d8 | http://is2.auto.ru/all/images/3f/a9/60x45/3fa997fc.jpg |  Toyota Corolla VII (E100)1.4 AT (88 л.с.)  | #FF0000 | 160 000 |  1994  |  230 000 км  |  1.4 AT (88 л.с.)лифтбек, бензин, передний  | Москва | 17.01.15
1006934471-ce12c | http://is9.auto.ru/all/images/ce/ee/60x45/ceeecce5.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.4 MT (97 л.с.)  | #CACECB | 350 000 |  2005  |  169 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Москва | 17.01.15
1006934073-27ef7 | http://is15.auto.ru/all/images/bb/c3/60x45/bbc331a4.jpg |  Toyota Corolla X (E140, E150)1.4 MT (97 л.с.)  | #000000 | 580 000 |  2008  |  34 500 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006933885-169a6 | http://is8.auto.ru/all/images/85/3a/60x45/853ae4de.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #000000 | 550 000 |  2008  |  110 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Липецк | 17.01.15
1006362407-28839 | http://is2.auto.ru/all/images/09/84/60x45/09846f81.jpg |  Toyota Corolla VII (E100)1.3 AT (88 л.с.)  | #FFCC00 | 90 000 Правый руль |  1993  |  310 000 км  |  1.3 AT (88 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006933849-f567fb | http://is9.auto.ru/all/images/1a/f0/60x45/1af0c456.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #000000 | 470 000 |  2006  |  137 700 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 17.01.15
1002806051-4a43 | http://is2.auto.ru/all/images/b0/6e/60x45/b06eaeff.jpg |  Toyota Corolla IX (E120, E130)1.8 MT (132 л.с.)  | #CACECB | 400 000 |  2004  |  150 000 км  |  1.8 MT (132 л.с.)седан, бензин, передний  | Воронеж | 17.01.15
1006932945-827be4 | http://is16.auto.ru/all/images/b1/8a/60x45/b18a1271.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #CACECB | 290 000 |  2002  |  170 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Псков | 17.01.15
1006630987-decd | http://is2.auto.ru/all/images/61/43/60x45/61436b51.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 MT (124 л.с.)  | #9c9999 | 600 000 |  2012  |  35 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006929641-0cca3 | http://is5.auto.ru/all/images/92/4b/60x45/924b2ef7.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #0000FF | 350 000 |  2006  |  160 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Тверь | 17.01.15
1006678767-ea7d2 | http://is12.auto.ru/all/images/c4/c6/60x45/c4c6021f.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #CACECB | 375 000 |  2006  |  102 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Тверь | 17.01.15
1004223299-a15470 | http://is4.auto.ru/all/images/b5/d6/60x45/b5d65bec.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 465 000 |  2009  |  74 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 17.01.15
1005519107-9ad4 | http://is17.auto.ru/all/images/b2/d2/60x45/b2d24db6.jpg |  Toyota Corolla IX (E120, E130)1.4 MT (97 л.с.)  | #0088ff | 380 000 |  2006  |  149 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Брянск | 17.01.15
1005866633-fed4 | http://is6.auto.ru/all/images/c9/bc/60x45/c9bc8072.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #000000 | 780 000 |  2012  |  52 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 17.01.15
